,公司代號,公司名稱,發言日期,發言時間,主旨
0,1537,廣隆,108/03/04,14:10:04,公告本公司法人監察人改派代表人
1,1537,廣隆,108/03/22,17:14:29,公告本公司董事會通過107年度個體及合併財務報告
2,1537,廣隆,108/03/22,17:14:46,公告董事會決議召開108年度股東常會相關事宜
3,1537,廣隆,108/03/22,17:55:16,董事會決議分派107年度現金股利每股10元
4,1537,廣隆,108/04/22,15:30:54,本公司受邀參加2019年4月23日臺灣證券交易所主辦的2019年「智慧製造」主題式業績發表會
5,1537,廣隆,108/04/29,14:58:01,公告本公司董事會通過108年第一季合併財務報告
6,1537,廣隆,108/04/29,14:58:37,公告本公司薪資報酬委員會委員異動
7,1537,廣隆,108/06/12,15:37:38,108年股東常會重要決議事項
8,1537,廣隆,108/06/12,17:08:45,本公司受邀參加2019年6月13日日盛證劵所主辦的「太陽獅大中華夏季論壇」
9,1537,廣隆,108/07/05,14:23:50,公告本公司訂定108年除息基準日
10,1537,廣隆,108/08/09,14:52:20,公告本公司董事會通過108年第二季合併財務報告
11,1537,廣隆,108/08/20,15:17:16,本公司受邀參加2019年8月21日元富證劵所主辦的「2019年秋季元富投資論壇」
12,1537,廣隆,108/08/22,14:17:45,代重要子公司-利隆(越南)責任有限公司公告董事會決議 發放股利事宜
13,1537,廣隆,108/11/01,16:55:16,公告本公司董事會通過108年第三季合併財務報告
