,公司代號,公司名稱,發言日期,發言時間,主旨
0,1540,喬福,109/03/25,14:36:37,董事會決議股利分派
1,1540,喬福,109/03/25,14:46:20,本公司董事會決議召開 一０九年股東常會相關事宜
2,1540,喬福,109/03/25,15:00:15,喬福機械公司董事會擬定 每普通股配發1元現金股利
3,1540,喬福,109/03/25,16:57:50,更正本公司董事會決議召開 一０九年股東常會相關事宜
4,1540,喬福,109/05/12,14:24:39,公告董事會通過本公司 一○九年度第一季個別財務報表
5,1540,喬福,109/06/24,13:47:54,公告本公司109年 股東常會重要決議事項
6,1540,喬福,109/06/24,15:07:54,公告本公司109年股東常會 改選董事
7,1540,喬福,109/06/24,16:33:17,更正109年股東大會 議事錄
8,1540,喬福,109/06/24,16:50:17,第三屆薪酬委員任期 屆滿解任
9,1540,喬福,109/06/24,17:00:01,審計委員會成立
10,1540,喬福,109/07/02,14:26:18,公告本公司董事會選任董事長 及副董事長
11,1540,喬福,109/07/02,14:31:16,公告本公司董事會聘任三位 薪資報酬委員
12,1540,喬福,109/07/02,14:41:09,公告本公司董事會通過除息基準日及 其他報告和董監責任險案
13,1540,喬福,109/08/12,17:17:21,公告董事會通過本公司 一○九年度第二季個別財務報表
