,公司代號,公司名稱,發言日期,發言時間,主旨
0,1541,錩泰,105/01/04,09:51:23,澄清媒體報導
1,1541,錩泰,105/01/26,18:14:47,本公司及其子公司對單一企業資金貸與餘額達 本公司最近期財務報表淨值百分之十以上
2,1541,錩泰,105/01/26,18:15:18,本公司及其子公司新增資金貸與金額達新台幣一千萬元 以上且達本公司最近期財務報表淨值百分之二以上。
3,1541,錩泰,105/03/21,17:58:27,本公司董事會決議召開股東常會
4,1541,錩泰,105/03/21,18:00:24,董事會決議股利分派
5,1541,錩泰,105/03/21,18:20:54,公告本公司董事會通過104年度員工及董監酬勞分派情形案
6,1541,錩泰,105/05/09,17:43:05,依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第四款公告
7,1541,錩泰,105/06/28,14:24:49,公告本公司105年股東常會重要決議事項
8,1541,錩泰,105/06/28,14:35:09,公告本公司105年股東常會全面改選董事及監察人
9,1541,錩泰,105/06/28,14:41:34,公告本公司董事會選任董事長
10,1541,錩泰,105/06/28,14:46:21,公告本公司董事會決議委任第三屆薪資報酬委員會委員
11,1541,錩泰,105/06/28,14:50:43,公告本公司第三屆薪資報酬委員會召集人
12,1541,錩泰,105/08/08,16:31:58,公告本公司董事會決議105年除息基準日
