,公司代號,公司名稱,發言日期,發言時間,主旨
0,1568,倉佑,107/01/23,10:35:27,本公司及其子公司對單一企業(WTY)背書保證餘額 達該公開發行公司最近期財務報表淨值百分之二十以上。
1,1568,倉佑,107/03/02,16:17:03,公告子公司（Business International Corp.） 新增資金貸與金額達新臺幣一千萬元以上且達 本公司最近期財務報表淨值百分之二以上。
2,1568,倉佑,107/03/19,15:30:36,公告本公司董事會通過民國106年度合併財務報告
3,1568,倉佑,107/03/19,15:31:25,公告本公司董事會決議召開107年股東常會相關事宜
4,1568,倉佑,107/03/19,15:31:58,董事會決議股利分派
5,1568,倉佑,107/03/22,16:50:05,公告本公司將於107年3月29日受邀參加凱基證券『汽車零組件產業論壇』會
6,1568,倉佑,107/04/02,08:54:29,公告本公司董事長逝世
7,1568,倉佑,107/04/02,16:30:18,公告本公司董事會決議選任董事長
8,1568,倉佑,107/04/02,16:30:57,代重要子公司All-Aspect International Corp.公告董事會決議 選任董事長
9,1568,倉佑,107/04/02,16:31:34,代重要子公司Giant Finance Inc.公告董事會決議選任董事長
10,1568,倉佑,107/04/02,16:32:17,代重要子公司Business International Corp.公告董事會 決議選任董事長
11,1568,倉佑,107/04/02,16:32:56,代重要子公司無錫倉佑汽車配件有限公司公告董事會決議 選任董事長
12,1568,倉佑,107/04/10,17:16:16,公告更正本公司董事長異動
13,1568,倉佑,107/04/11,16:12:04,公告更正本公司107年3月資金貸與明細表資料
14,1568,倉佑,107/05/07,14:00:58,公告本公司董事會通過民國107年第一季合併財務報告
15,1568,倉佑,107/05/18,14:07:59,公告本公司對單一企業(無錫倉佑)新增背書保證 金額達新臺幣三千萬元以上且達本公司最近期財 務報表淨值百分之五以上。
16,1568,倉佑,107/05/25,16:59:06,公告本公司財務主管異動
17,1568,倉佑,107/06/08,17:59:07,公告本公司新任重要營運主管
18,1568,倉佑,107/06/13,18:28:52,公告本公司107年度股東常會重要決議
19,1568,倉佑,107/06/13,18:37:42,公告本公司董事任期屆滿全面改選
20,1568,倉佑,107/06/13,18:38:54,公告本公司董事會決議配息基準日
21,1568,倉佑,107/06/13,18:39:59,公告本公司新任重要營運主管
22,1568,倉佑,107/06/13,18:40:50,公告本公司董事會通過財務主管事宜
23,1568,倉佑,107/06/13,18:42:14,公告本公司薪酬委員會委員任期屆滿改選
24,1568,倉佑,107/06/13,18:45:19,公告本公司董事會推選董事長
25,1568,倉佑,107/06/13,18:47:16,公告本公司股東會決議許可董事從事競業行為
26,1568,倉佑,107/06/13,18:48:14,公告本公司審計委員會委員任期屆滿改選
27,1568,倉佑,107/08/06,17:59:55,公告本公司董事會通過民國107年第二季合併財務報告
28,1568,倉佑,107/08/06,18:00:52,代重要子公司無錫倉佑汽車配件有限公司公告法人改派董事。
29,1568,倉佑,107/10/01,16:52:29,公告子公司（Giant Finance Inc.）新增資金貸與 金額達新臺幣一千萬元以上且達本公司最近期財務 報表淨值百分之二以上。
30,1568,倉佑,107/10/01,16:53:17,公告子公司（Business International Corp.）新增 資金貸與金額達新臺幣一千萬元以上且達本公司最近 期財務報表淨值百分之二以上。
31,1568,倉佑,107/11/05,16:55:42,公告本公司董事會決議買回庫藏股
32,1568,倉佑,107/11/05,18:03:30,公告本公司董事會通過民國107年第三季合併財務報告
33,1568,倉佑,107/11/05,18:04:10,公告本公司董事會通過銀行融資額度申貸案。
34,1568,倉佑,107/11/05,18:05:03,公告本公司新增資金貸與金額達新臺幣一千萬元以上且 達本公司最近期財務報表淨值百分之二以上。
35,1568,倉佑,107/11/05,18:07:00,公告本公司新增資金貸與金額達新臺幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
36,1568,倉佑,107/11/05,18:07:40,公告本公司對單一企業(無錫倉佑)新增背書保證金額 達新臺幣三千萬元以上且達本公司最近期財務報表淨 值百分之五以上。
37,1568,倉佑,107/12/07,16:30:18,公告本公司資金貸與子公司(Giant Finance Inc.)餘額 達本公司最近期財務報表淨值百分之十以上。
38,1568,倉佑,107/12/24,14:33:46,代重要子公司–無錫倉佑汽車配件有限公司公告總經理異動。
