,公司代號,公司名稱,發言日期,發言時間,主旨
0,1568,倉佑,108/01/08,15:17:22,公告本公司第一次買回庫藏股期間屆滿執行情況申報
1,1568,倉佑,108/01/11,17:24:05,公告本公司第一次買回庫藏股期間屆滿執行情況申報(更正實際買 回期間)
2,1568,倉佑,108/03/22,16:35:01,公告本公司董事會通過民國107年度合併財務報告
3,1568,倉佑,108/03/22,16:35:42,公告本公司董事會通過修訂「買回股份轉讓員工辦法」 部分條文
4,1568,倉佑,108/03/22,16:36:17,公告本公司董事會決議召開108年股東常會相關事宜
5,1568,倉佑,108/03/22,16:37:12,董事會決議股利分派
6,1568,倉佑,108/04/01,18:52:52,公告本公司研發主管異動
7,1568,倉佑,108/05/08,16:43:15,公告本公司董事會通過民國108年第一季合併財務報告
8,1568,倉佑,108/05/08,16:46:54,公告本公司新增資金貸與金額達新臺幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
9,1568,倉佑,108/06/18,16:07:50,公告本公司108年度股東常會重要決議
10,1568,倉佑,108/06/18,16:09:06,公告本公司董事會決議配息基準日
11,1568,倉佑,108/08/06,15:55:59,公告本公司有價證券於集中交易市場達公佈注意交易 資訊標準，故公布相關財務業務等重大訊息，以利投資 人區別暸解。
12,1568,倉佑,108/08/09,15:26:39,公告本公司對單一企業(無錫倉佑)新增背書保證 金額達新臺幣三千萬元以上且達本公司最近期 財務報表淨值百分之五以上。
13,1568,倉佑,108/08/19,16:44:56,公告本公司將於108年8月26日受臺灣證券交易所邀請參加2019年「汽車工業」主題式業績發表會。
14,1568,倉佑,108/11/11,16:17:48,公告本公司新增資金貸與金額達新臺幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
15,1568,倉佑,108/11/11,16:19:00,公告本公司新增資金貸與金額達新臺幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
16,1568,倉佑,108/11/21,10:56:15,公告本公司將於108年11月28日受台新綜合證券股份有限公司邀請參加「台新證券聯合法人說明會」。
17,1568,倉佑,108/12/13,16:03:52,代重要子公司–無錫倉佑汽車配件有限公司公告總經理異動。
