,公司代號,公司名稱,發言日期,發言時間,主旨
0,1582,信錦,103/01/03,17:14:41,公告本公司申請股票上櫃轉上市時所出具之承諾事項 暨其後續執行情形
1,1582,信錦,103/01/10,16:16:11,公告本公司新增背書保證金額達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第二款之公告標準
2,1582,信錦,103/01/10,16:17:19,公告本公司新增背書保證金額達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第四款之公告標準
3,1582,信錦,103/03/28,15:41:48,公告子公司(廣進)新增資金貸與金額達「公開發行公司資金貸與 及背書保證處理準則」第二十二條第一項第三款之公告標準
4,1582,信錦,103/03/28,18:02:25,公告本公司董事會決議召開103年股東常會日期、召集 事由及停止變更股東名簿記載之日期
5,1582,信錦,103/03/28,18:02:49,董事會決議股利分派
6,1582,信錦,103/04/01,19:24:37,公告本公司申請股票上櫃轉上市時所出具之承諾事項 暨其後續執行情形
7,1582,信錦,103/04/25,15:39:56,公告本公司新增資金貸與金額達「公開發行公司資金貸與 及背書保證處理準則」第二十二條第一項第三款之公告標準
8,1582,信錦,103/04/25,15:40:07,公告子公司(信薩)新增資金貸與金額達「公開發行公司資金貸與 及背書保證處理準則」第二十二條第一項第三款之公告標準
9,1582,信錦,103/04/25,15:40:16,公告子公司(廣進)新增資金貸與金額達「公開發行公司資金貸與 及背書保證處理準則」第二十二條第一項第三款之公告標準
10,1582,信錦,103/04/25,15:40:27,公告子公司(富大)新增資金貸與金額達「公開發行公司資金貸與 及背書保證處理準則」第二十二條第一項第三款之公告標準
11,1582,信錦,103/04/25,15:40:37,公告子公司(富京)新增資金貸與金額達「公開發行公司資金貸與 及背書保證處理準則」第二十二條第一項第三款之公告標準
12,1582,信錦,103/04/25,15:41:34,公告子公司(富鴻昌)新增資金貸與金額達「公開發行公司資金 貸與及背書保證處理準則」第二十二條第一項第三款之公告標準
13,1582,信錦,103/04/25,15:41:44,公告子公司(福州富鴻齊)新增資金貸與金額達「公開發行公司 資金貸與及背書保證處理準則」第二十二條第一項第三款之公 告標準
14,1582,信錦,103/04/25,15:51:41,公告子公司(中山市富鴻齊)新增資金貸與金額達「公開發行 公司資金貸與及背書保證處理準則」第二十二條第一項 第三款之公告標準
15,1582,信錦,103/05/13,11:02:52,澄清103年05月13日經濟日報C5版報導
16,1582,信錦,103/05/23,15:03:59,本公司受邀參加台灣證券交易所103年5月26日舉辦103年「上市公司業績說明會」。
17,1582,信錦,103/06/13,15:36:55,公告本公司新增背書保證金額達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第四款之公告標準
18,1582,信錦,103/06/13,15:37:44,公告本公司新增背書保證金額達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第四款之公告標準
19,1582,信錦,103/06/13,15:38:10,公告本公司新增背書保證金額達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第四款之公告標準
20,1582,信錦,103/06/19,18:21:56,公告信錦企業103年股東常會重要決議事項
21,1582,信錦,103/06/19,18:22:17,公告信錦企業103年股東常會改選董事名單
22,1582,信錦,103/06/19,18:22:29,公告信錦企業103年股東常會改選監察人名單
23,1582,信錦,103/06/19,18:22:50,公告信錦企業103年股東常會通過新任董事競業禁止責任免除案
24,1582,信錦,103/06/19,18:23:07,公告本公司董事會決議選任董事長案
25,1582,信錦,103/06/26,14:33:07,本公司受邀參加統一證券主辦之2014年投資展望說明會
26,1582,信錦,103/06/27,15:40:36,公告子公司(廣進)新增資金貸與金額達「公開發行公司資金貸與 及背書保證處理準則」第二十二條第一項第三款之公告標準
27,1582,信錦,103/06/27,18:23:51,公告本公司董事會決議股利配發基準日
28,1582,信錦,103/06/27,18:24:21,公告本公司聘任薪資報酬委員會
29,1582,信錦,103/07/02,15:38:28,公告本公司申請股票上櫃轉上市時所出具之承諾事項 暨其後續執行情形
30,1582,信錦,103/07/10,19:15:48,代重要子公司富京發展有限公司公告董事會決議發放股利
31,1582,信錦,103/07/10,19:15:58,代重要子公司富京發展有限公司公告決議股利配發基準日
32,1582,信錦,103/07/10,19:16:07,代重要子公司廣進有限公司公告董事會決議發放股利
33,1582,信錦,103/07/10,19:16:18,代重要子公司廣進有限公司公告決議股利配發基準日
34,1582,信錦,103/07/14,14:04:32,代重要子公司蘇州富鴻齊電子有限公司公告董事會決議發放股利
35,1582,信錦,103/07/14,14:04:44,代重要子公司蘇州富鴻齊電子有限公司公告決議股利配發基準日
36,1582,信錦,103/07/17,14:27:33,代重要子公司信錦企業(薩摩亞)股份有限公司公告董事會 決議發放股利
37,1582,信錦,103/07/17,14:27:45,代重要子公司信錦企業(薩摩亞)股份有限公司公告決議 股利配發基準日
38,1582,信錦,103/07/18,10:26:49,澄清103年07月18日工商時報B5版報導
39,1582,信錦,103/07/21,14:37:28,公告修訂本公司102年度年報部分資料
40,1582,信錦,103/07/22,13:53:09,代重要子公司廣進有限公司公告董事會決議發放股利
41,1582,信錦,103/07/22,13:53:23,代重要子公司廣進有限公司公告決議股利配發基準日
42,1582,信錦,103/10/02,17:33:04,公告本公司申請股票上櫃轉上市時所出具之承諾事項 暨其後續執行情形
43,1582,信錦,103/11/07,17:46:13,公告本公司董事會決議發行國內第二次無擔保轉換公司債
44,1582,信錦,103/11/07,20:42:10,公告子公司(富鴻昌)新增資金貸與金額達「公開發行公司資金 貸與及背書保證處理準則」第二十二條第一項第三款之公告標準
45,1582,信錦,103/12/04,15:22:57,本公司受邀參加犇亞證券主辦之2014冬季投資趨勢論壇
