,公司代號,公司名稱,發言日期,發言時間,主旨
0,1589,永冠-KY,107/01/09,15:30:11,公告本公司董事會通過重大決議事項
1,1589,永冠-KY,107/01/09,15:30:48,代重要子公司永誠亞太有限公司公告董事長及總經理異動
2,1589,永冠-KY,107/01/09,15:31:27,公告本公司因會計師事務所內部職務調整更換簽證會計師
3,1589,永冠-KY,107/01/09,15:31:54,公告本公司董事會決議買回庫藏股
4,1589,永冠-KY,107/01/25,14:58:25,公告本公司庫藏股買回數量達已發行股份總數百分之二
5,1589,永冠-KY,107/02/09,14:43:13,本公司與Siemens Gamesa Renewable Energy公司簽訂合作備忘錄
6,1589,永冠-KY,107/02/12,16:35:54,公告本公司庫藏股買回數量達已發行股份總數百分之四
7,1589,永冠-KY,107/03/07,16:53:55,公告本公司受邀參加凱基證券舉辦之『法人說明會』
8,1589,永冠-KY,107/03/07,16:54:10,公告本公司庫藏股買回數量達已發行股份總數百分之六
9,1589,永冠-KY,107/03/08,17:11:15,公告本公司董事會通過重大決議事項
10,1589,永冠-KY,107/03/08,17:21:53,公告本公司董事會決議通過召開2018年股東常會相關事宜
11,1589,永冠-KY,107/03/08,17:22:16,依公開發行公司資金貸與及背書保證處理準則第二十五條第一項 第四款規定辦理公告
12,1589,永冠-KY,107/03/08,17:23:13,本公司董事會決議股利分派
13,1589,永冠-KY,107/03/09,17:37:48,公告本公司買回股份執行完畢
14,1589,永冠-KY,107/03/13,11:12:34,公告本公司董事會決議第一次買回庫藏股註銷減資基準日
15,1589,永冠-KY,107/03/31,16:25:50,本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解
16,1589,永冠-KY,107/03/31,16:40:48,代重要子公司寧波永祥鑄造有限公司公告決議不發放2017年股利
17,1589,永冠-KY,107/03/31,16:41:06,代重要子公司寧波陸霖機械鑄造有限公司公告 決議不發放2017年股利
18,1589,永冠-KY,107/04/20,13:59:46,代重要子公司江蘇鋼銳精密機械有限公司公告 決議不發放2017年股利
19,1589,永冠-KY,107/04/30,16:45:08,公告本公司董事會通過重大決議事項
20,1589,永冠-KY,107/04/30,17:07:57,依公開發行公司資金貸與及背書保證處理準則第二十五條第一項 第四款規定辦理公告
21,1589,永冠-KY,107/04/30,17:08:20,依公開發行公司資金貸與及背書保證處理準則第二十五條第一項 第四款規定辦理公告
22,1589,永冠-KY,107/05/04,16:18:23,公告本公司及子公司英屬維京群島商永冠能源材料股份有限公司 台灣分公司、永誠亞太有限公司共同與台灣土地銀行等十家金融 機構籌組之授信銀行團簽訂聯貸合約事宜
23,1589,永冠-KY,107/05/08,17:33:16,公告本公司提報董事會2018年第一季合併財務報表
24,1589,永冠-KY,107/05/08,17:34:45,代重要子公司永冠控股股份有限公司公告董事會通過盈餘分配案
25,1589,永冠-KY,107/05/08,17:35:02,代重要子公司永誠亞太有限公司公告董事會通過盈餘分配案
26,1589,永冠-KY,107/05/08,17:36:00,代重要子公司永誠亞太有限公司依公開發行公司資金貸與及背書 保證處理準則第二十二條第一項第三條公告
27,1589,永冠-KY,107/05/28,17:25:40,公告本公司受邀參加滙豐證券舉辦之法人說明會
28,1589,永冠-KY,107/06/05,17:55:38,公告本公司2018年股東常會重要決議事項
29,1589,永冠-KY,107/06/05,17:57:25,公告本公司2018年股東常會補選董事選舉結果
30,1589,永冠-KY,107/06/05,18:00:00,公告本公司2018年股東常會通過解除新任董事競業禁止之限制
31,1589,永冠-KY,107/06/05,18:01:35,公告本公司董事會決議2018年除息基準日等相關事宜
32,1589,永冠-KY,107/06/15,14:41:54,代重要子公司永誠亞太有限公司公告財務主管異動
33,1589,永冠-KY,107/06/25,11:53:49,公告本公司調整現金股利配息率
34,1589,永冠-KY,107/06/28,17:06:33,公告本公司執行副總經理職務異動
35,1589,永冠-KY,107/07/18,15:05:23,公告本公司2017年度年報更正事宜
36,1589,永冠-KY,107/07/31,15:21:30,公告本公司董事龔興源先生辭世，原董事職務自然解任
37,1589,永冠-KY,107/07/31,15:23:12,代重要子公司江蘇鋼銳精密機械有限公司公告財務主管異動
38,1589,永冠-KY,107/08/10,17:25:57,公告本公司提報董事會2018年上半年度合併財務報表
39,1589,永冠-KY,107/08/10,17:26:21,代重要子公司江蘇鋼銳精密機械有限公司公告現有廠區將配合溧 陽市政府當地建設規劃政策進行搬遷，待與當地政府簽訂搬遷補 償協議後，預計費時三年進行搬遷
40,1589,永冠-KY,107/08/10,18:48:21,公告本公司受邀參加群益證券舉辦之『法人說明會 』
41,1589,永冠-KY,107/08/22,17:53:24,代子公司江蘇鋼銳精密機械有限公司更正107年7月衍生性商品 交易資訊
42,1589,永冠-KY,107/10/09,16:32:37,公告本公司受邀參加凱基證券舉辦之『法人說明會』
43,1589,永冠-KY,107/10/22,16:24:48,公告本公司受邀參加寬量國際舉辦之『Taiwan CEO Day』
44,1589,永冠-KY,107/11/08,17:54:35,公告本公司提報董事會2018年第三季合併財務報表
45,1589,永冠-KY,107/11/08,17:55:35,本公司百分之百持有之子公司東莞永冠鑄造廠有限公司擬增資 大陸子公司上海機床鑄造一廠(蘇州)有限公司。
46,1589,永冠-KY,107/12/06,19:47:45,公告本公司徐清雄副總經理升任執行副總經理
47,1589,永冠-KY,107/12/20,14:33:10,公告本公司董事會通過重大決議事項
48,1589,永冠-KY,107/12/20,14:42:17,公告本公司董事會決議第二次買回庫藏股事宜
