,公司代號,公司名稱,發言日期,發言時間,主旨
0,1590,亞德客-KY,107/01/08,16:50:05,公告本公司106年12月份自結合併營收
1,1590,亞德客-KY,107/01/19,17:04:06,公告本公司董事會通過台南廠二期廠房預算及工程發包案
2,1590,亞德客-KY,107/01/22,15:53:11,(補充107年1月19日之公告內容)公告本公司自地委建 廠辦新建工程(第二期)工程承攬契約
3,1590,亞德客-KY,107/02/07,14:18:32,本公司公告106年第四季及年度自結合併財務報表相關資訊
4,1590,亞德客-KY,107/02/07,14:21:03,公告本公司107年1月份自結合併營收
5,1590,亞德客-KY,107/02/12,16:27:09,代本公司之分公司與聯貸銀行團簽訂聯合授信合約
6,1590,亞德客-KY,107/02/26,19:08:50,公告本公司受邀參加大和國泰證券股份有限公司舉辦之法人說明會
7,1590,亞德客-KY,107/02/26,19:09:19,公告本公司受邀參加美林證券股份有限公司舉辦之法人說明會
8,1590,亞德客-KY,107/02/26,19:10:03,公告本公司受邀參加瑞士商瑞士信貸銀行股份有限公司舉辦之法人說明會
9,1590,亞德客-KY,107/03/06,15:01:18,公告本公司107年2月份自結合併營收
10,1590,亞德客-KY,107/03/12,18:24:26,董事會決議股利分派
11,1590,亞德客-KY,107/03/12,18:25:36,本公司董事會決議召開107年股東常會之相關事宜
12,1590,亞德客-KY,107/03/12,18:27:14,公告本公司經會計師查核之106年度合併財務報表
13,1590,亞德客-KY,107/03/30,17:36:30,公告本公司受邀參加統一綜合證券股份有限公司舉辦之法人說明會
14,1590,亞德客-KY,107/04/09,17:02:05,公告本公司107年3月份自結合併營收
15,1590,亞德客-KY,107/04/24,15:30:18,公告本公司107年第一季度自結合併財務報表
16,1590,亞德客-KY,107/05/07,16:58:04,公告本公司107年4月份自結合併營收
17,1590,亞德客-KY,107/05/09,17:55:10,本公司受邀參加富邦綜合證券股份有限公司舉辦之「2018年第二季富邦投資論壇」
18,1590,亞德客-KY,107/05/10,16:08:27,公告本公司經會計師核閱之107年第1季合併財務報表
19,1590,亞德客-KY,107/05/11,16:21:10,公告本公司受邀參加香港上海匯豐證券股份有限公司舉辦之法人說明會
20,1590,亞德客-KY,107/05/11,16:21:30,公告本公司受邀參加大和國泰證券股份有限公司舉辦之法人說明會
21,1590,亞德客-KY,107/05/11,16:21:49,公告本公司受邀參加香港商野村國際證券有限公司舉辦之法人說明會
22,1590,亞德客-KY,107/05/11,16:22:29,公告本公司受邀參加日盛證券舉辦之法人說明會
23,1590,亞德客-KY,107/05/23,17:45:31,公告本公司受邀參加瑞銀證券股份有限公司舉辦之法人說明會
24,1590,亞德客-KY,107/06/05,16:16:48,公告本公司107年5月份自結合併營收
25,1590,亞德客-KY,107/06/11,18:26:58,公告本公司2018年股東常會重要決議事項
26,1590,亞德客-KY,107/06/11,18:49:19,公告本公司董事會決議配息基準日
27,1590,亞德客-KY,107/06/11,18:57:51,公告本公司董事會通過間接對大陸投資案
28,1590,亞德客-KY,107/06/25,16:30:41,代子公司公告-亞德客(中國)有限公司董事會決議 不發放現金股利
29,1590,亞德客-KY,107/06/25,16:31:02,代子公司公告-香港亞德客實業有限公司董事會決議 不發放現金股利
30,1590,亞德客-KY,107/06/25,16:31:31,代子公司公告-寧波亞德客自動化工業有限公司 董事會決議不發放股利
31,1590,亞德客-KY,107/06/25,16:36:26,代子公司公告-亞德客(江蘇)自動化有限公司董事會決議 不發放股利
32,1590,亞德客-KY,107/07/03,19:52:18,公告本公司107年6月份自結合併營收
33,1590,亞德客-KY,107/07/23,14:54:30,修正本公司106年度股東會年報資料
34,1590,亞德客-KY,107/08/03,14:18:23,公告本公司107年第二季度及上半年度自結合併財務報表
35,1590,亞德客-KY,107/08/03,14:24:27,公告本公司107年7月份自結合併營收
36,1590,亞德客-KY,107/08/09,16:20:48,公告本公司經會計師核閱之107年第2季合併財務報表
37,1590,亞德客-KY,107/08/16,17:54:48,公告本公司受邀參加瑞士商瑞士信貸銀行股份有限公司舉辦之法人說明會
38,1590,亞德客-KY,107/08/16,17:55:01,公告本公司受邀參加香港商里昂證券有限公司舉辦之法人說明會
39,1590,亞德客-KY,107/09/04,14:20:14,公告本公司107年8月份自結合併營收
40,1590,亞德客-KY,107/09/10,16:38:37,公告本公司配發現金股利新台幣金額
41,1590,亞德客-KY,107/09/21,17:19:57,台灣證券交易所要求本公司公告本公司有價券於集中交易市 場達公布注意交易資訊標準，故公佈相關財務業務等重大訊息， 以利投資人區別了解。
42,1590,亞德客-KY,107/10/09,17:26:14,公告本公司107年9月份自結合併營收
43,1590,亞德客-KY,107/10/17,10:43:58,澄清工商時報B4版新聞內容
44,1590,亞德客-KY,107/10/17,17:30:35,公告本公司受邀參加香港上海匯豐證券股份有限公司舉辦之法人說明會
45,1590,亞德客-KY,107/10/29,13:31:34,公告本公司107年第三季度及前三季度自結合併財務報表
46,1590,亞德客-KY,107/10/29,13:57:49,本公司受邀參加富邦綜合證券股份有限公司舉辦之海外論壇
47,1590,亞德客-KY,107/11/01,16:37:41,公告本公司經會計師核閱之 107年第3季合併財務報表
48,1590,亞德客-KY,107/11/06,15:50:22,台灣證券交易所要求本公司公告本公司有價券於集中交易市 場達公布注意交易資訊標準，故公佈相關財務業務等重大訊息， 以利投資人區別了解。
49,1590,亞德客-KY,107/11/09,15:04:44,公告本公司107年10月份自結合併營收
50,1590,亞德客-KY,107/11/29,15:44:21,澄清工商時報B4版新聞內容
51,1590,亞德客-KY,107/12/05,16:12:00,公告本公司107年11月份自結合併營收
52,1590,亞德客-KY,107/12/28,18:40:34,公告本公司受邀參加美商高盛亞洲證券及台灣證交所舉辦之「TWSE-GS Taiwan Corporate Day」
