,公司代號,公司名稱,發言日期,發言時間,主旨
0,1592,英瑞-KY,109/01/17,14:05:26,更正本公司108年11、12月資金貸與他人申報資訊
1,1592,英瑞-KY,109/01/30,14:37:46,代重要大陸子公司公告春節復工時間延至2月10日
2,1592,英瑞-KY,109/02/10,17:16:27,代重要子公司公告獲准自2月10日如期復工
3,1592,英瑞-KY,109/02/15,13:41:19,"代重要子公司Fruitage International Co., Ltd. 依公開發行公司資金貸與及背書保證第二十二條第一項第三款 規定辦理公告"
4,1592,英瑞-KY,109/02/15,13:41:55,代重要子公司揚州英諦車材實業有限公司 依公開發行公司資金貸與及背書保證第二十二條第一項第三款 規定辦理公告
5,1592,英瑞-KY,109/03/07,00:47:01,公告本公司第四屆第十五次董事會重要決議事項
6,1592,英瑞-KY,109/03/07,00:47:41,公告本公司經會計師查核之108年度合併財務報表
7,1592,英瑞-KY,109/03/07,00:48:18,本公司董事會決議不分派股利
8,1592,英瑞-KY,109/03/07,00:48:52,公告本公司董事會決議不分配員工酬勞及董事監察人酬勞
9,1592,英瑞-KY,109/03/07,00:49:29,公告本公司董事會決議召開109年股東常會相關事宜
10,1592,英瑞-KY,109/03/07,00:49:59,"代重要子公司Fruitage International Co., Ltd. 依公開發行公司資金貸與及背書保證第二十二條第一項第三款 規定辦理公告"
11,1592,英瑞-KY,109/03/07,00:50:33,"代重要子公司Fruitage International Co., Ltd.資金貸與 依公開發行公司資金貸與及背書保證第二十二條第一項第三款 規定辦理公告"
12,1592,英瑞-KY,109/03/07,00:51:04,代重要子公司揚州英諦車材實業有限公司 依公開發行公司資金貸與及背書保證第二十二條第一項第三款 規定辦理公告
13,1592,英瑞-KY,109/03/07,00:51:47,代子公司Enterex Europe Holding公告董事會通過 對Enterex Polska Sp.z.o.o.增資案
14,1592,英瑞-KY,109/03/07,00:52:15,本公司董事會決議辦理私募普通股
15,1592,英瑞-KY,109/03/07,00:52:44,"代重要子公司Fruitage International Co., Ltd.資金貸與 依公開發行公司資金貸與及背書保證第二十二條第一項第三款 規定辦理公告"
16,1592,英瑞-KY,109/03/07,17:17:54,公告本公司董事會通過取消子公司背書保證額度
17,1592,英瑞-KY,109/04/30,14:32:22,公告本公司109年03月份自結合併財務報表之高流動性資產、 短期借款及一年內到期之長期負債等相關財務資訊
18,1592,英瑞-KY,109/04/30,14:32:50,公告本公司公司治理主管異動
19,1592,英瑞-KY,109/05/10,11:34:44,公告本公司第四屆第十六次董事會重要決議事項
20,1592,英瑞-KY,109/05/10,11:35:06,公告本公司董事會通過2020年第一季合併財務報告
21,1592,英瑞-KY,109/05/10,11:35:29,公告本公司內部稽核主管異動
22,1592,英瑞-KY,109/05/10,11:35:54,公告本公司財務主管及會計主管異動
23,1592,英瑞-KY,109/05/10,11:36:16,公告本公司發言人及代理發言人異動
