,公司代號,公司名稱,發言日期,發言時間,主旨
0,1598,岱宇,107/01/09,14:45:10,公告本公司庫藏股買回數量達已發行股份總數百分之二
1,1598,岱宇,107/02/13,10:38:31,公告本公司買回庫藏股數量累積達已發行股份總數百分之四
2,1598,岱宇,107/02/21,17:28:42,公告本公司第一次買回股份期間屆滿之執行資訊
3,1598,岱宇,107/02/26,19:53:47,公告本公司董事會決議召開107年股東會事宜
4,1598,岱宇,107/02/26,20:37:33,公告本公司英國客戶NEW LEVEL UK LTD.進入管理令程序 (Administration)，其對本公司財務與業務之影響。
5,1598,岱宇,107/03/26,18:18:15,本公司董事會通過對財團法人岱宇國際慈善基金會捐贈事宜
6,1598,岱宇,107/03/26,18:50:44,董事會決議股利分派
7,1598,岱宇,107/03/26,18:53:13,公告本公司董事會決議變更107年股東常會召集事由
8,1598,岱宇,107/03/26,20:13:42,本公司董事會決議辦理私募普通股
9,1598,岱宇,107/03/26,22:13:38,依公開發行公司資金貸與及背書保證處理準則 第25條規定公告事宜
10,1598,岱宇,107/04/11,17:49:52,更正申報本公司106年12月份資金貸與明細表資訊
11,1598,岱宇,107/05/14,21:02:46,公告本公司董事會決議處分原詠安公司使用之土地與廠房
12,1598,岱宇,107/05/14,21:10:57,更正誤植-公告本公司董事會決議處分原詠安公司使用之土地 與廠房
13,1598,岱宇,107/05/14,22:34:11,依公開發行公司資金貸與及背書保證處理準則 第25條規定公告事宜
14,1598,岱宇,107/05/30,15:49:42,公告本公司股東會決議事項
15,1598,岱宇,107/05/30,16:47:23,公告本公司董事會決議通過辦理現金增資發行新股案
16,1598,岱宇,107/06/01,14:33:57,本公司公告除息基準日事宜
17,1598,岱宇,107/07/23,10:23:19,公告修正本公司106年度股東會年報第25頁部分內容
18,1598,岱宇,107/08/20,17:00:04,更正申報本公司107年6月份資金貸與明細表資訊
19,1598,岱宇,107/08/27,17:19:43,公告本公司107年現金增資認股基準日等相關事宜
20,1598,岱宇,107/08/28,09:34:42,澄清媒體報導
21,1598,岱宇,107/08/31,14:38:01,公告本公司董事辭任
22,1598,岱宇,107/09/06,17:44:16,公告本公司107年現金增資代收及存儲價款專戶機構
23,1598,岱宇,107/09/14,14:46:16,公告本公司訂定107年現金增資每股發行價格
24,1598,岱宇,107/09/27,15:19:34,本公司董事會決議擬向主管機關申請撤銷現金增資發行普通股案
25,1598,岱宇,107/10/02,18:25:56,公告主管機關核准本公司申請撤銷現金增資發行普通股乙案
26,1598,岱宇,107/10/31,17:35:20,公告本公司董事會通過擬購置台北辦公室
27,1598,岱宇,107/11/09,16:07:29,更正申報本公司107年10月份資金貸與明細表資訊
28,1598,岱宇,107/11/20,15:44:07,更正申報本公司107年9月份資金貸與明細表資訊
29,1598,岱宇,107/12/07,15:59:08,代子公司東莞達宇運動器材有限公司公告股東會決議通過 辦理解散清算事宜
30,1598,岱宇,107/12/24,18:01:45,本公司受邀參加日盛證券舉辦之法人說明會
