,公司代號,公司名稱,發言日期,發言時間,主旨
0,1605,華新,102/01/02,08:52:34,公告子公司：華新(南京)置業開發有限公司處分南京市建鄴區 C1地塊建物。
1,1605,華新,102/02/25,16:31:31,公告本公司董事變動
2,1605,華新,102/03/05,19:15:53,代子公司Ally Energy Limited 公告轉投資之Solarion AG （德國公司）聲請重整（pre-insolvency restructuring proceedings）
3,1605,華新,102/03/21,21:26:34,公告董事會解除經理人競業禁止限制
4,1605,華新,102/03/21,21:30:21,董事會決議召開102年股東常會相關事宜公告
5,1605,華新,102/03/21,21:36:49,董事會決議不分派股利
6,1605,華新,102/03/27,16:17:18,102/3/27地震對本公司財務業務並無重大影響
7,1605,華新,102/03/29,19:57:58,公告子公司-江陰華新鋼纜有限公司處分江陰市濱江東路12號 土地使用權及附屬建築物。
8,1605,華新,102/04/29,17:48:27,董事會決議提請股東常會同意授權董事會就現金增資 發行私募普通股及/或現金增資參與發行私募 海外存託憑證擇一或搭配辦理。
9,1605,華新,102/04/29,17:49:07,董事會決議召開102年股東常會補充公告(增列議案)
10,1605,華新,102/05/14,18:08:40,訂定註銷買回股份減資基準日
11,1605,華新,102/06/11,17:03:51,本公司102年股東常會重要決議事項
12,1605,華新,102/06/11,17:04:03,股東會解除董事競業禁止之限制
13,1605,華新,102/06/20,17:13:42,註銷公司買回股份減資變更登記完成
14,1605,華新,102/07/03,18:10:34,公告子公司-華新特殊鋼控股有限公司 取得大陸地區投資事業股權事宜
15,1605,華新,102/08/12,18:12:58,公告本公司內部稽核主管異動
16,1605,華新,102/08/12,18:39:23,依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款代子公司華新特殊鋼有限公司 公告資金貸與常熟華新特殊鋼有限公司
17,1605,華新,102/08/13,17:36:37,"公告子公司：華新(南京)置業開發有限公司華新城C地塊 土建工程累積簽約金額RMB110,325千元"
18,1605,華新,102/08/19,18:21:49,代子公司金鑫投資股份有限公司公告 取得華邦電子股份有限公司普通股股權事宜
19,1605,華新,102/10/07,08:11:49,代子公司金澄建設股份有限公司公告向關係人取得不動產 相關事宜
20,1605,華新,102/11/13,18:13:44,公告本公司處分金鑫投資股份有限公司普通股股權事宜
21,1605,華新,102/11/13,18:13:59,公告子公司-華新特殊鋼控股有限公司取得大陸地區 投資事業股權事宜
22,1605,華新,102/11/13,18:14:08,公告子公司-常州武進大眾鋼鐵有限公司處分土地使用權
23,1605,華新,102/11/14,18:23:51,補充說明102年11月13日公告之本公司累積處分 金鑫投資股份有限公司普通股股權事宜
24,1605,華新,102/11/28,17:14:29,公告子公司-華新(中國)投資有限公司 處分大陸地區投資事業股權事宜
25,1605,華新,102/12/10,15:24:10,本公司變更股務單位辦公處所
26,1605,華新,102/12/19,19:52:47,依公開發行公司資金貸與及背書保證處理準則第二十二條 第一項第三款代子公司華新特殊鋼控股有限公司公告資金 貸與江陰華新特殊合金材料有限公司
27,1605,華新,102/12/19,19:52:59,依公開發行公司資金貸與及背書保證處理準則第二十二條 第一項第三款代子公司華新特殊鋼控股有限公司公告資金 貸與華新麗華控股有限公司
28,1605,華新,102/12/19,19:53:13,依公開發行公司資金貸與及背書保證處理準則第二十二條 第一項第三款代子公司華新特殊鋼有限公司公告資金貸與 華新麗華控股有限公司
