,公司代號,公司名稱,發言日期,發言時間,主旨
0,1609,大亞,107/03/15,16:54:46,公告本公司董事會決議對子公司大亞綠能科技股份有限公司增資案
1,1609,大亞,107/03/15,16:55:12,公告本公司董事會決議召開股東會事宜
2,1609,大亞,107/04/11,16:00:09,係因本公司有價證券於集中交易市場達公佈注意交易資訊標準 ，故公佈相關財務、業務等重大訊息，以利投資人區別暸解。
3,1609,大亞,107/04/17,14:28:06,董事會決議股利分派
4,1609,大亞,107/04/25,16:05:10,代子公司華亞創業投資(股)公司及大亞創新投資(股)公司合併案
5,1609,大亞,107/06/05,17:10:44,公告本公司107年股東會決議事項
6,1609,大亞,107/06/05,17:10:57,大亞電線電纜(股)公司公告107年股東常會通過解除 董事競業禁止之限制案
7,1609,大亞,107/06/05,17:11:13,本公司董事長續任公告
8,1609,大亞,107/06/05,17:11:28,本公司107年獨立董事改選
9,1609,大亞,107/06/05,17:11:46,本公司107年董事全面改選
10,1609,大亞,107/06/05,17:12:00,大亞電線電纜(股)公司公告107年股東常會通過解除 董事競業禁止之限制案
11,1609,大亞,107/06/12,15:28:55,補充公告獨立董事改選暨成立審計委員會
12,1609,大亞,107/06/20,14:53:32,代子公司恒亞電工有限公司更正107年1至5月衍 生性商品交易公告資訊
13,1609,大亞,107/07/03,12:01:47,公告本公司配息基準日
14,1609,大亞,107/07/30,14:38:23,代子公司恒亞電工有限公司更正107年6月衍生性商品交易公告資訊
15,1609,大亞,107/08/06,17:14:56,大亞電線電纜股份有限公司發行107年度有擔保普通公司債
16,1609,大亞,107/08/16,14:42:32,更正本公司107年第2季IFRSs合併財務報表附表五
17,1609,大亞,107/10/11,15:18:43,公告本公司召開法說會相關內容
18,1609,大亞,107/10/15,11:40:24,澄清107年10月13日工商時報對本公司相關報導
19,1609,大亞,107/11/06,16:01:13,董事會決議關係人捐贈
20,1609,大亞,107/11/15,16:42:42,本公司更正107年10月衍生性商品交易公告資訊
21,1609,大亞,107/11/15,17:38:10,補充更正本公司更正107年10月衍生性商品交易公告資訊
22,1609,大亞,107/11/20,09:13:16,更正本公司107年第3季合併財務報告關係人交易資訊
