,公司代號,公司名稱,發言日期,發言時間,主旨
0,1611,中電,101/01/19,10:33:08,公告本公司取得台南樹谷園區土地
1,1611,中電,101/03/01,09:03:58,公告本公司董事會通過 100年度財務報表及合併財務報表
2,1611,中電,101/03/15,16:24:43,公告本公司薪資報酬委員會召集人
3,1611,中電,101/03/15,17:36:07,公告本公司薪資報酬委員會召集人
4,1611,中電,101/03/20,16:43:32,本公司董事會決議召開一○一年股東常會公告
5,1611,中電,101/03/20,16:44:04,本公司董事會決議發放股利
6,1611,中電,101/04/27,15:54:35,公告本公司董事會通過 101年度第一季財務報表及合併財務報表
7,1611,中電,101/05/02,16:56:43,關係人交易申報數與會計師查核 （核閱）數差異說明
8,1611,中電,101/06/21,13:52:40,公告本公司101年股東常會決議事項
9,1611,中電,101/06/21,13:53:02,公告本公司董事任期屆滿改選事宜
10,1611,中電,101/06/21,13:53:18,公告本公司監察人任期屆滿改選事宜
11,1611,中電,101/06/21,13:53:33,公告本公司薪資報酬委員任期屆滿解任
12,1611,中電,101/06/21,13:53:44,公告本公司股東會決議解除新任董事競業禁止限制事宜
13,1611,中電,101/06/21,13:54:05,101年股東常會決議授權董事長訂定除息基準日 及國內第一次無擔保轉換公司債停止轉換期間
14,1611,中電,101/07/13,15:45:26,公告更新本公司一○○年度年報
15,1611,中電,101/08/16,16:37:24,公告本公司董事會通過 101年上半年度財務報表及合併財務報表
16,1611,中電,101/08/16,16:38:04,公告本公司董事會決議委任第二屆薪酬委員會委員
17,1611,中電,101/08/20,13:54:45,澄清媒體報導
18,1611,中電,101/09/04,12:02:34,澄清媒體報導
19,1611,中電,101/09/13,16:44:26,本公司轉投資公司威力盟電子與隆達電子合併案
20,1611,中電,101/10/11,14:02:50,公告本公司法人董事辭任
21,1611,中電,101/10/25,16:35:36,公告本公司董事會決議發行無擔保可轉換公司債
22,1611,中電,101/10/25,16:36:55,公告本公司董事會通過 101年度前三季財務報表及合併財務報表
