,公司代號,公司名稱,發言日期,發言時間,主旨
0,1616,億泰,103/03/12,15:28:54,公告本公司從事衍生性金融商品交易 單筆達交易合約10%損失上限
1,1616,億泰,103/03/14,16:40:27,公告本公司從事衍生性金融商品交易 單筆達交易合約10%損失上限
2,1616,億泰,103/03/17,13:58:01,公告本公司對單一企業資金貸與金額符合公開發行公司 資金貸與及背書保證處理準則同時符合第二十二條第一 項第二款、第三款
3,1616,億泰,103/03/17,14:01:17,董事會決議召開股東會
4,1616,億泰,103/03/17,16:35:34,本公司103年股東常會受理股東提案權公告
5,1616,億泰,103/03/17,16:42:27,董事會決議不發放股利
6,1616,億泰,103/03/19,09:09:48,公告本公司第二屆薪資報酬委員會委員異動
7,1616,億泰,103/05/12,14:47:07,公告本公司對單一企業背書保證金額符合公開發行公司 背書保證處理準則符合第二十五條第一項第三款
8,1616,億泰,103/05/14,08:53:27,代子公司億泰高科技責任有限公司(越南)公告
9,1616,億泰,103/05/15,09:11:30,本公司越南廠因應越南暴動事宜
10,1616,億泰,103/06/17,13:05:20,公告本公司一○三年股東常會重要決議事項
11,1616,億泰,103/06/17,13:12:06,公告本公司董事會補行委任薪酬委員會委員
12,1616,億泰,103/06/27,12:01:20,澄清媒體報導
13,1616,億泰,103/07/04,12:04:32,更正背書保證公告內容
14,1616,億泰,103/07/10,16:21:58,澄清103年6月27日媒體報導
15,1616,億泰,103/08/07,14:09:22,公告本公司對單一企業背書保證金額符合公開發行公司 資金貸與及背書保證處理準則同時符合第二十五條第一 項第三款、第四款
16,1616,億泰,103/10/23,11:46:44,代子公司公告對單一企業資金貸與金額符合公開發行公司 資金貸與及背書保證處理準則符合第二十二條第一項第三款
17,1616,億泰,103/11/10,17:21:21,公告本公司對單一企業資金貸與金額符合公開發行公司 資金貸與及背書保證處理準則同時符合第二十二條第一 項第二款、第三款
18,1616,億泰,103/11/10,17:21:43,公告本公司對單一企業背書保證金額符合公開發行公司 資金貸與及背書保證處理準則同時符合第二十五條第一 項第三款、第四款
19,1616,億泰,103/12/29,14:14:52,公告本公司總經理異動
20,1616,億泰,103/12/29,14:15:15,公告本公司發言人、代理發言人異動
21,1616,億泰,103/12/29,14:34:50,公告本公司對單一企業背書保證金額符合公開發行公司 背書保證處理準則符合第二十五條第一項第三款
22,1616,億泰,103/12/30,13:39:31,公告本公司從事衍生性金融商品交易 單筆達交易合約10%損失上限
