,公司代號,公司名稱,發言日期,發言時間,主旨
0,1618,合機,100/02/18,15:25:27,公告董事會決議變更本公司台北營業地址
1,1618,合機,100/03/02,17:46:07,公告董事會通過赴大陸投資相關事宜
2,1618,合機,100/03/14,11:36:11,公告100/03/11日本地震對本公司財務及業務並無重大影響
3,1618,合機,100/03/17,14:48:24,公告本公司法人監察人雅士晶業股份有限公司(原秀森實業)辭任
4,1618,合機,100/03/21,13:59:19,公告本公司股務代理機構：群益證券股份有限公司 股務代理部變更營業處所事宜
5,1618,合機,100/03/25,14:43:39,公告召開本公司100年度股東常會事宜
6,1618,合機,100/04/11,15:45:23,公告本公司4/11起遷移台北營業地址
7,1618,合機,100/04/18,16:38:26,公告召開本公司一○○年度股東常會事宜 (第二階段盈餘分配等相關公告)
8,1618,合機,100/04/18,16:39:25,本公司董事會決議發放股利
9,1618,合機,100/04/18,16:42:36,董事會決議通過盈餘轉增資發行新股
10,1618,合機,100/04/20,18:04:54,補充4/18公告召開本公司一○○年度股東常會事宜 (第二階段盈餘分配等相關公告)
11,1618,合機,100/05/09,09:54:48,更正100年3月關係人交易申報處分固定資產金額
12,1618,合機,100/06/15,17:52:26,本公司依「公開發行公司取得或處分資產處理準則」公告
13,1618,合機,100/06/22,15:18:01,本公司一○○年股東常會重要決議
14,1618,合機,100/06/22,15:18:26,公告本公司補選監察人一席
15,1618,合機,100/06/22,15:18:46,公告本公司100年股東常會通過解除現任董事競業禁止之限制
16,1618,合機,100/07/06,18:47:10,公告董事會決議除權息基準日
17,1618,合機,100/07/15,11:30:34,公告修正本公司99年度股東會年報部分資料
18,1618,合機,100/09/29,10:56:09,公告桃園縣政府裁罰本公司違反水污染防治法第十八條
19,1618,合機,100/12/30,14:54:10,公告本公司設置「薪資報酬委員會」，訂定「薪資報酬委員會 組織規程」，並委任本公司薪資報酬委員會成員。
