,公司代號,公司名稱,發言日期,發言時間,主旨
0,1701,中化,104/03/04,14:03:46,代本公司重要子公司中化裕民健康事業(股)公司 公告其董事會決議發放股利
1,1701,中化,104/03/05,13:41:38,代本公司重要子公司蘇州中化藥品工業有限公司 公告其董事會決議不發放股利
2,1701,中化,104/03/05,13:42:52,"代本公司重要子公司TIMPCO INTERNATIONAL CO., LTD 公告其董事會決議不發放股利"
3,1701,中化,104/03/05,13:44:08,"代本公司重要子公司CHUNGHWA HOLDING CO., LTD 公告其董事會決議不發放股利"
4,1701,中化,104/03/06,14:03:32,公告本公司第二十二屆第十二次董事會決議 召開104年度股東常會相關事宜
5,1701,中化,104/03/06,14:37:03,董事會決議股利分派
6,1701,中化,104/04/01,13:41:13,公告本公司法人董事變動
7,1701,中化,104/04/20,10:11:11,說明104年4月18日衛生福利部食品藥物管理署公告 碳酸鎂(鈣)原料之查核結果
8,1701,中化,104/05/28,16:04:42,公告本公司104年度股東常會重要決議事項
9,1701,中化,104/07/02,13:53:10,公告本公司董事會決議配息基準日
10,1701,中化,104/08/17,13:38:00,代本公司重要子公司中化裕民健康事業股份有限公司 公告其董事會決議發放股利
11,1701,中化,104/08/20,17:17:22,代公告本公司之子公司變更公司名稱事宜
12,1701,中化,104/10/01,14:30:04,代本公司重要子公司蘇州中化藥品工業有限公司 公告其董事會決議變更發放現金股利
13,1701,中化,104/11/06,13:34:22,代本公司重要子公司蘇州中化藥品工業有限公司公告 其董事會決議變更發放股票股利
14,1701,中化,104/11/14,13:19:40,本公司負責人於臺灣臺北地方法院103年度 金訴字第23號案宣判乙事
15,1701,中化,104/11/26,16:38:10,"代本公司重要子公司TIMPCO INTERNATIONAL CO., LTD 公告其董事會決議變更發放現金股利"
16,1701,中化,104/11/27,13:37:16,"代本公司重要子公司CHUNGHWA HOLDING CO., LTD 公告其董事會決議變更發放現金股利"
