,公司代號,公司名稱,發言日期,發言時間,主旨
0,1702,南僑,105/01/05,18:28:05,公告說明今日媒體報導有關本公司前因進口食用油脂，未依 法辦理食物查驗登記通關被裁罰經行政訴訟遭駁回案。
1,1702,南僑,105/01/20,17:34:46,公告本公司104年12月自結合併損益。
2,1702,南僑,105/02/22,11:58:26,公告說明105/2/20經濟日報B5版報導。
3,1702,南僑,105/02/22,18:09:10,公告本公司105年1月自結合併損益。
4,1702,南僑,105/03/16,16:54:26,代重要子公司皇家可口股份有限公司公告董事會決議 105年股東常會召開事宜。
5,1702,南僑,105/03/16,16:55:21,代重要子公司皇家可口股份有限公司公告董事會決議 104年度盈餘分配案。
6,1702,南僑,105/03/16,16:55:58,代重要子公司皇家可口股份有限公司公告董事會決議通過 104年員工酬勞分派案。
7,1702,南僑,105/03/17,17:02:03,公告本公司董事會決議105年股東常會召開事宜。
8,1702,南僑,105/03/17,17:03:13,公告本公司董事會決議通過104年董監及員工酬勞分派案。
9,1702,南僑,105/03/17,17:03:47,公告本公司董事會決議104年股利分派
10,1702,南僑,105/03/17,17:05:16,公告本公司董事會決議通過財務主管異動
11,1702,南僑,105/03/21,17:30:06,公告本公司105年2月自結合併損益。
12,1702,南僑,105/04/20,18:07:15,公告本公司105年3月自結合併損益。
13,1702,南僑,105/04/21,11:53:00,公告說明今日工商時報B4版報導。
14,1702,南僑,105/05/20,17:36:29,公告本公司105年4月自結合併損益。
15,1702,南僑,105/05/31,17:38:19,代重要子公司南新國際有限公司公告法人董事代表人辭職。
16,1702,南僑,105/05/31,17:39:13,代重要子公司皇家可口股份有限公司公告監察人辭職。
17,1702,南僑,105/05/31,17:40:53,代重要子公司皇家可口股份有限公司公告董事會決議召開 105年度第1次股東臨時會相關事宜。
18,1702,南僑,105/06/07,14:00:18,代重要子公司皇家可口股份有限公司公告105年股東常會重要決議 事項。
19,1702,南僑,105/06/08,16:39:39,公告本公司105年股東常會重要決議事項。
20,1702,南僑,105/06/08,16:41:18,公告本公司105年股東常會改選監察人。
21,1702,南僑,105/06/16,16:11:23,代重要子公司皇家可口股份有限公司公告105年度第1次股東臨時會 重要決議事項。
22,1702,南僑,105/06/16,16:13:05,代重要子公司皇家可口股份有限公司公告新任監察人。
23,1702,南僑,105/06/20,17:22:48,公告本公司105年5月自結合併損益。
24,1702,南僑,105/06/28,17:29:15,代子公司上海僑興企業管理有限公司公告對其子公司 上海僑好食品有限公司實行增資
25,1702,南僑,105/07/07,12:55:25,公告說明今日經濟日報A16版報導。
26,1702,南僑,105/07/07,17:04:46,公告本公司董事會決議104年度現金股利配發基準日
27,1702,南僑,105/07/07,17:49:36,代子公司皇家可口股份有限公司公告出售其持有之南僑公司股票。
28,1702,南僑,105/07/15,16:42:35,代重要子公司皇家可口股份有限公司公告董事會決議股利配發 基準日
29,1702,南僑,105/07/20,17:19:31,公告本公司105年6月自結合併損益。
30,1702,南僑,105/07/29,17:25:31,公告修正本公司104年度股東會年報部份內容
31,1702,南僑,105/08/22,17:04:36,公告本公司105年7月自結合併損益。
32,1702,南僑,105/09/14,16:28:30,公告本公司新增背書保證金額達公開發行公司資金貸與及背書 保證處理準則第二十五條第一項第二款及第四款公告標準。
33,1702,南僑,105/09/20,17:30:54,公告本公司105年8月自結合併損益。
34,1702,南僑,105/10/20,17:27:40,公告本公司105年9月自結合併損益。
35,1702,南僑,105/10/21,11:05:29,公告說明今日工商時報A5版及經濟日報C1版報導。
36,1702,南僑,105/11/11,16:18:40,公告本公司董事會決議發行105年度第一次有擔保普通公司債
37,1702,南僑,105/11/11,16:19:06,公告本公司董事會通過重要決議事項(大陸食品投資事業組織重組)
38,1702,南僑,105/11/11,16:19:51,公告本公司董事會通過頂好開曼公司轉讓對天津南僑/ 廣州南僑/上海南僑三家子公司100%股份予上海僑興公 司。
39,1702,南僑,105/11/21,17:50:33,公告本公司105年10月自結合併損益。
40,1702,南僑,105/11/25,16:29:02,代重要子公司天津南僑食品有限公司及廣州南僑食品有限公司公告 董事會決議發放股利
41,1702,南僑,105/11/30,19:03:16,公告本公司董事會通過子公司南新國際公司對其子公司 上海僑好貿易有限公司實行增資
42,1702,南僑,105/11/30,19:04:57,公告本公司董事會通過子公司頂好(開曼島)控股公司對 其子公司上海僑興企業管理有限公司實行增資
43,1702,南僑,105/11/30,19:05:38,代子公司上海僑興企業管理有限公司公告轉讓子公司上海 僑好食品有限公司100%股權予上海僑好貿易有限公司
44,1702,南僑,105/12/01,20:20:53,更正105/11/30兩則增資大陸子公司重訊 (因原公告格式不符， 現以正確格式「赴大陸地區投資者」重新公告)
45,1702,南僑,105/12/01,20:22:50,代重要子公司上海僑興企業管理有限公司公告董事會決議發放股利
46,1702,南僑,105/12/01,20:30:13,代重要子公司天津南僑食品有限公司及廣州南僑食品有限公司公告 董事及監事異動
47,1702,南僑,105/12/01,20:33:09,代重要子公司天津南僑食品有限公司及廣州南僑食品有限公司 公告新任重要營運主管
48,1702,南僑,105/12/01,20:36:16,代重要子公司天津南僑食品有限公司及廣州南僑食品有限公司公告 董事會決議停止發放股利
49,1702,南僑,105/12/20,17:24:28,代重要子公司頂好(開曼島)控股公司公告董事會決議發放股利
50,1702,南僑,105/12/20,17:25:17,公告本公司105年11月自結合併損益。
51,1702,南僑,105/12/26,18:13:59,公告本公司自然人董事辭職
52,1702,南僑,105/12/26,18:15:52,代重要子公司南新國際公司/頂好(開曼島)控股公司/天津南僑食品 有限公司/廣州南僑食品有限公司公告法人董事代表人辭職
