,公司代號,公司名稱,發言日期,發言時間,主旨
0,1712,興農,102/02/04,13:31:20,本公司澄清2/04經濟日報C5版報導
1,1712,興農,102/03/20,18:59:28,董事會決議股利分派
2,1712,興農,102/03/20,19:00:22,公告本公司董事會決議102年股東常會相關事宜
3,1712,興農,102/03/20,19:04:34,公告本公司董事會重大決議事項
4,1712,興農,102/03/20,19:06:13,代子公司台灣楓康超市(股)公司公告董事會決議發放股利
5,1712,興農,102/03/20,19:08:18,代子公司台灣楓康超市(股)公司公告董事會 決議102年股東常會事宜
6,1712,興農,102/03/27,17:44:36,公告102年03月27日地震對本公司財務業務並無重大影響
7,1712,興農,102/05/08,15:23:00,公告本公司董事會重大決議事項
8,1712,興農,102/05/08,15:25:17,補充公告本公司董事會決議102年股東常會事宜 (新增受理1%股東提案之審查報告案)
9,1712,興農,102/05/21,19:11:19,代重要子公司台灣楓康超市(股)公司公告102年 股東常會重要決議事項
10,1712,興農,102/06/03,11:22:34,公告102年06月02日地震對本公司財務業務並無重大影響
11,1712,興農,102/06/17,19:30:52,代重要子公司台灣楓康超市股份有公司 公告102年除息基準日
12,1712,興農,102/06/21,20:09:09,公告本公司102年股東常會重要決議事項
13,1712,興農,102/06/21,20:09:37,公告本公司102年股東常會改選董事及監察人情形
14,1712,興農,102/06/21,20:10:01,公告本公司第一屆薪資報酬委員會委員任期屆滿。
15,1712,興農,102/06/21,20:10:35,公告本公司股東常會通過許可新任董事及其代表人從事競業行為案
16,1712,興農,102/06/21,20:11:05,公告本公司董事會重大決議事項
17,1712,興農,102/07/04,16:31:01,本公司董事會決議通過發行國內第一次無擔保轉換公司債
18,1712,興農,102/07/04,16:31:51,公告本公司董事會決議委任第二屆薪資報酬委員會委員。
19,1712,興農,102/07/09,18:15:56,公告102年除息基準日
20,1712,興農,102/07/11,11:45:16,更正102年07月05日公告之公開說明書部分資料
21,1712,興農,102/07/15,10:28:18,公告蘇力颱風對本公司財務或業務並無重大影響
22,1712,興農,102/08/06,13:59:11,公告本公司國內第一次無擔保轉換公司債代收債款及 專戶存儲行庫
23,1712,興農,102/08/06,14:18:07,公告本公司董事會重大報告事項
24,1712,興農,102/08/07,17:25:45,公告本公司發行國內第一次無擔保轉換公司債之轉換價格 及溢價率
25,1712,興農,102/08/13,16:03:54,公告本公司國內第一次無擔保轉換公司債收足應募價款
26,1712,興農,102/08/22,11:28:27,本公司澄清8/22經濟日報C7版報導
27,1712,興農,102/10/08,10:10:37,本公司澄清10月8日自由時報C1版報導
28,1712,興農,102/11/01,11:40:34,公告102年10月31日地震對本公司財務業務無重大影響
29,1712,興農,102/11/11,16:57:52,公告本公司董事會通過許可經理人從事競業行為情形
30,1712,興農,102/11/11,17:23:59,公告本公司董事會重大決議事項
