,公司代號,公司名稱,發言日期,發言時間,主旨
0,1717,長興,104/01/14,13:47:47,代重要子公司Eternal Holdings Inc.公告董事會決議 增資發行新股
1,1717,長興,104/01/14,13:48:02,"代重要子公司Eternal International (BVI) Co.,Ltd. 公告董事會決議增資發行新股"
2,1717,長興,104/03/20,16:36:39,公告本公司董事會通過解除 經理人競業禁止之限制
3,1717,長興,104/03/20,16:36:56,代子公司E-Electron Corp.公告董事會決議通過 結束營運辦理註銷。
4,1717,長興,104/03/20,16:37:11,"代子公司Eternal Polymer Co., Ltd.公告董事會決議 通過結束營運辦理註銷。"
5,1717,長興,104/03/20,16:37:25,代重要子公司Eternal Holdings Inc.公告董事會決議 通過辦理銀行聯合授信案。
6,1717,長興,104/03/20,16:37:39,公告本公司董事會召集104年股東常會相關事宜
7,1717,長興,104/03/20,16:41:39,董事會決議股利分派
8,1717,長興,104/03/20,16:44:20,公告本公司達「資金貸與及背書保證處理準則」第二十五條 第一項第三款及第四款公告標準。
9,1717,長興,104/03/20,17:00:58,本公司代子公司長興材料(馬來西亞)有限公司公告 取得土地使用權
10,1717,長興,104/03/23,16:00:58,代子公司長興化學材料(蘇州)有限公司公告累積取得 及處分保證收益型理財產品
11,1717,長興,104/05/08,16:03:10,公告本公司董事會通過解除經理人 競業禁止之限制
12,1717,長興,104/05/08,16:03:28,本公司董事會通過辦理額度上限為新台幣45億元之聯貸案
13,1717,長興,104/05/08,16:03:42,代子公司公告新增資金貸與金額達新臺幣一仟萬元以上 且達本公司最近期財務報表淨值百分之二以上者。
14,1717,長興,104/05/08,16:03:55,本公司董事會通過增資長興材料(馬來西亞)有限公司
15,1717,長興,104/06/10,18:16:44,本公司一○四年股東常會重要決議
16,1717,長興,104/06/15,18:11:05,公告本公司現金股利配息基準日
17,1717,長興,104/06/23,15:50:27,代子公司長興化學材料(蘇州)有限公司公告累積取得 及處分保證收益型理財產品
18,1717,長興,104/07/24,14:57:55,公告本公司董事會通過解除 經理人競業禁止之限制
19,1717,長興,104/08/04,16:12:01,補充公告100年12月31日子公司長興科技(上海)有限公司 (併為：長興（中國）投資有限公司)自地委建案
20,1717,長興,104/08/10,10:23:09,公告蘇迪勒颱風對本公司財務或業務無重大影響
21,1717,長興,104/11/26,11:51:37,說明經濟日報報導內容
22,1717,長興,104/12/30,15:04:43,重要營運主管異動
