,公司代號,公司名稱,發言日期,發言時間,主旨
0,1718,中纖,109/01/09,16:28:01,公告本公司審計委員會委員解任
1,1718,中纖,109/01/09,16:29:00,公告本公司薪資報酬委員會委員解任
2,1718,中纖,109/01/09,16:29:53,公告本公司獨立董事解任
3,1718,中纖,109/01/13,17:21:35,公告本公司董事會通過解除經理人競業禁止之限制案
4,1718,中纖,109/03/16,17:39:12,公告本公司董事會決議召開109年股東常會
5,1718,中纖,109/03/16,17:42:05,公告本公司董事會決議不分派現金股利及股票股利。
6,1718,中纖,109/03/16,17:48:27,公告本公司新任薪資報酬委員會委員
7,1718,中纖,109/03/20,18:56:35,公告本公司董事會決議第16次買回庫藏股
8,1718,中纖,109/03/27,17:05:44,公告本公司董事會決議第16次買回庫藏股
9,1718,中纖,109/04/20,16:22:11,公告本公司董事會通過修訂「買回股份轉讓員工辦法」 部分條文
10,1718,中纖,109/04/20,16:45:46,公告本公司擬於雲林工業區土地新建太陽能發電設備。
11,1718,中纖,109/05/25,14:01:41,公告本公司第十六次買回庫藏股執行情形
12,1718,中纖,109/05/28,17:25:57,公告本公司109年股東常會原訂場地因防疫措施暫停外借， 經董事會決議擬更改開會地點。
13,1718,中纖,109/06/01,15:15:01,公告本公司召開法說會相關內容
14,1718,中纖,109/06/02,17:23:28,公告本公司109年股東常會重大決議事項
15,1718,中纖,109/06/02,17:25:45,公告本公司股東會補選審計委員會委員乙名
16,1718,中纖,109/06/02,17:27:55,公告本公司獨立董事就任
17,1718,中纖,109/08/05,15:57:32,代子公司台中銀租賃事業股份有限公司公告更正109年6月份 背書保證明細表資訊
18,1718,中纖,109/08/19,17:38:37,本公司董事會決議出售雲林縣斗六市科加段169地號等六筆土地
19,1718,中纖,109/10/12,13:30:44,更正代子公司台中銀租賃事業股份有限公司公告109年9月份 資金貸與明細表資訊
