,公司代號,公司名稱,發言日期,發言時間,主旨
0,1720,生達,105/01/29,16:41:13,公告本公司間接赴大陸地區投資相關資訊
1,1720,生達,105/03/25,17:02:32,公告本公司董事會決議通過104年度員工酬勞及董監事酬勞分派案
2,1720,生達,105/03/25,17:03:51,公告本公司董事會決議召開一○五年股東常會事宜
3,1720,生達,105/03/25,17:04:22,代本公司之重要子公司端強實業股份有限公司公告董事會決議通過 104年度員工酬勞及董監酬勞分派案
4,1720,生達,105/03/25,17:04:54,代本公司之重要子公司端強實業股份有限公司公告董事會決議 召開一○五年股東常會事宜
5,1720,生達,105/03/25,17:07:47,代本公司之重要子公司端強實業股份有限公司公告董事會 決議股利分派事宜
6,1720,生達,105/03/25,17:23:16,公告本公司董事會決議股利分派事宜
7,1720,生達,105/03/25,17:23:46,公告本公司發言人異動相關事宜
8,1720,生達,105/04/07,17:05:36,本公司Pecolin Suspension“STANDARD”高克痢懸浮液藥品 相關事項說明
9,1720,生達,105/05/16,17:00:32,代本公司之重要子公司端強實業股份有限公司公告 一○五年度股東常會重要決議事項
10,1720,生達,105/05/16,17:00:56,代本公司之重要子公司端強實業股份有限公司公告 董事任期屆滿改選相關事宜
11,1720,生達,105/05/16,17:01:21,代本公司之重要子公司端強實業股份有限公司公告 監察人任期屆滿改選相關事宜
12,1720,生達,105/05/16,17:01:41,代本公司之重要子公司端強實業股份有限公司公告 法人董事改派代表人
13,1720,生達,105/05/16,17:02:02,代本公司之重要子公司端強實業股份有限公司公告 股東會決議通過解除新任董事之競業禁止
14,1720,生達,105/05/16,17:02:24,本公司之重要子公司端強實業股份有限公司公告 董事會選任董事長
15,1720,生達,105/05/16,17:02:47,代本公司之重要子公司端強實業股份有限公司公告 財務及會計主管異動相關事宜
16,1720,生達,105/05/26,15:44:50,代本公司之重要子公司端強實業股份有限公司公告 董事會決議配息權利基準日
17,1720,生達,105/06/17,15:06:49,公告本公司一○五年度股東常會重要決議事項
18,1720,生達,105/07/15,16:21:30,公告本公司董事會決議配息及資本公積配發現金之基準日
19,1720,生達,105/07/22,14:32:03,補正本公司104年度年報部分資訊
20,1720,生達,105/08/25,17:35:21,代本公司之重要子公司端強實業股份有限公司公告董事會決議 召開一○五年股東臨時會事宜
21,1720,生達,105/09/23,16:01:30,代本公司之重要子公司端強實業股份有限公司公告 一○五年第一次股東臨時會重要決議事項
22,1720,生達,105/10/25,11:28:26,說明媒體報導
23,1720,生達,105/11/04,16:12:00,依「公開發行公司資金貸與及背書保證處理準則」 第二十二條第一項第三款公告
24,1720,生達,105/11/23,14:57:06,"代子公司Standard Pharmaceutical Co., Ltd. 公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第3款之公告標準"
