,公司代號,公司名稱,發言日期,發言時間,主旨
0,1723,中碳,108/01/31,11:30:45,本公司總經理屆齡退休
1,1723,中碳,108/01/31,11:38:31,董事會通過本公司副總經理人事任命案
2,1723,中碳,108/01/31,11:52:53,本公司董事辭任
3,1723,中碳,108/02/01,15:00:06,中鋼公司改派董事代表人
4,1723,中碳,108/02/20,13:52:27,本公司受邀參加華南永昌證券舉辦之法人說明會
5,1723,中碳,108/02/22,14:46:36,本公司變更代理發言人
6,1723,中碳,108/03/20,15:30:06,董事會決議召開108年股東常會相關事宜
7,1723,中碳,108/03/20,15:30:41,本公司董事會決議股利分派
8,1723,中碳,108/03/20,15:31:28,公告本公司董事會通過員工及董監事酬勞分派議案
9,1723,中碳,108/03/20,15:31:55,本公司對中鋼集團教育基金會捐贈
10,1723,中碳,108/04/01,09:55:15,本公司生產技術助理副總經理上任
11,1723,中碳,108/05/22,14:56:39,中碳公司與台塑河靜鋼廠共同出資成立之子公司 煤焦油加工處理廠動工典禮
12,1723,中碳,108/06/12,15:25:45,公告108年度股東會重大決議案
13,1723,中碳,108/06/12,15:26:05,公告本公司第十一屆董事(含獨立董事)當選名單
14,1723,中碳,108/06/12,15:26:19,本公司受邀參加富邦證券於台南舉辦之「2019富邦南部論壇」法人說明會
15,1723,中碳,108/06/24,08:52:26,本公司成立審計委員會
16,1723,中碳,108/06/24,16:57:20,公告本公司除息基準日
17,1723,中碳,108/06/24,17:09:28,本公司第十一屆第一次董事會選任董事長
18,1723,中碳,108/06/24,17:10:15,本公司薪酬委員會屆滿改選
19,1723,中碳,108/08/08,17:25:41,公告本公司原訂108年08月09日發放現金股利， 若遇颱風停止上班，將順延至下一個營業日發放。
20,1723,中碳,108/08/12,14:13:53,公告本公司現金股利發放日因受颱風停止上班影響， 變更 為108/08/12
21,1723,中碳,108/09/18,15:24:52,本公司受邀參加元大證券舉辦之法人說明會
22,1723,中碳,108/10/29,13:19:13,中鋼公司改派法人董事代表人
23,1723,中碳,108/10/31,15:18:31,本公司董事長變更
24,1723,中碳,108/11/11,15:30:15,本公司將參加富邦證券舉辦之中鋼集團聯合法說
25,1723,中碳,108/12/24,16:59:22,本公司向關係人中鋼公司承租集團總部大樓到期續約。
