,公司代號,公司名稱,發言日期,發言時間,主旨
0,1724,台硝,100/03/14,10:52:01,公告有關日本強震對本公司 財務、業務無造成影響
1,1724,台硝,100/03/25,13:37:55,本公司董事會決議召開100年股東常會事宜。
2,1724,台硝,100/04/15,15:39:07,係因本公司有價證券於集中交易市場 有異常交易情形，故公布基本資料及相關財務業務等重大訊息。
3,1724,台硝,100/04/28,13:36:01,更新本公司董事會決議召開100年股東常會議程公告。
4,1724,台硝,100/04/28,13:38:25,公告本公司100年4月28日董事會重要決議。
5,1724,台硝,100/04/28,13:39:44,本公司董事會決議發放股利。
6,1724,台硝,100/05/09,09:33:59,更正99年12月從事衍生性金融商品交易 資訊公告
7,1724,台硝,100/06/15,09:56:37,本公司100年6月15日股東常會之重要 決議事項
8,1724,台硝,100/08/11,13:37:40,公告本公司董事會決議訂定除息基準日
9,1724,台硝,100/08/11,13:38:50,公告本公司第十屆第六次董事會 決議重大事項
10,1724,台硝,100/10/04,17:33:54,公告收到桃園縣政府裁處本公司 擅自變更排水設施，違反水利法之規定處以罰鍰。
11,1724,台硝,100/10/14,20:16:57,公告本公司確認優先債權 存在案判決敗訴。
12,1724,台硝,100/11/03,13:52:44,更正100年9月衍生性金融商品交易 公告
13,1724,台硝,100/11/10,16:51:24,公告收到桃園縣政府裁處本公司 違反水污染防治法罰鍰。
14,1724,台硝,100/12/22,14:05:31,公告本公司董事會決議通過設置薪資 報酬委員會並聘任薪資報酬委員會委員
