,公司代號,公司名稱,發言日期,發言時間,主旨
0,1725,元禎,107/03/20,16:54:59,董事會決議召開107年股東常會
1,1725,元禎,107/03/20,17:02:31,董事會決議股利分派
2,1725,元禎,107/06/11,13:46:54,公告本公司一○七年股東常會重要決議事項
3,1725,元禎,107/06/11,13:55:55,公告本公司一○七年六月十一日股東常會改選董事、監察人
4,1725,元禎,107/06/11,14:02:31,公告本公司董事會決議推舉徐振隆先生續任董事長
5,1725,元禎,107/06/11,14:09:24,公告本公司一○七年六月十一日股東常會決議解除董事競業之限制
6,1725,元禎,107/07/10,14:52:45,公告本公司董事會決議普通股股利配發基準日
7,1725,元禎,107/07/18,16:07:25,公告修正本公司106年度年報部分內容
8,1725,元禎,107/07/25,11:14:49,公告本公司董事會決議委任薪酬委員會委員
9,1725,元禎,107/09/07,15:06:47,公告本公司董事會決議轉讓庫藏股予員工並訂定認股基準日
10,1725,元禎,107/09/14,16:22:05,公告本公司法人監察人辭任
11,1725,元禎,107/09/14,16:23:04,公告本公司法人監察人代表人辭任
12,1725,元禎,107/09/18,13:44:40,公告本公司召開法說會相關內容
