,公司代號,公司名稱,發言日期,發言時間,主旨
0,1727,中華化,103/03/25,17:18:45,公告本公司第25屆董事會決議：股東會日期、召集事由及 停止過戶之日期等
1,1727,中華化,103/03/25,17:19:10,本公司董事會決議盈餘轉增資發行新股
2,1727,中華化,103/03/25,17:19:28,公告本公司第25屆第11次董事會決議發放股利之種類及金額
3,1727,中華化,103/03/25,17:22:03,董事會通過公告本公司從事大陸投資之相關資訊
4,1727,中華化,103/05/13,16:35:50,公告本公司董事會通過103年第一季合併財務報表
5,1727,中華化,103/05/13,16:36:08,因應未來業務發展之需求，擬購置土地案
6,1727,中華化,103/05/15,14:03:44,公告更正本公司103年第一季合併財務報告中每股盈餘金額
7,1727,中華化,103/06/13,17:18:01,本公司103年股東常會通過重要決議事項
8,1727,中華化,103/06/13,17:18:43,公告本公司董事會決議訂定103年除權息基準日相關事宜
9,1727,中華化,103/08/05,18:20:23,公告本公司董事會通過103年第二季合併財務報告
10,1727,中華化,103/08/05,18:21:26,公告本公司薪酬委員會成員異動
11,1727,中華化,103/11/11,17:23:56,公告本公司董事會通過103年第三季合併財務報告
12,1727,中華化,103/11/11,17:25:19,公告本公司稽核主管異動
