,公司代號,公司名稱,發言日期,發言時間,主旨
0,1732,毛寶,103/03/03,15:18:06,公告本公司內部稽核主管異動
1,1732,毛寶,103/03/19,14:11:09,公告本公司薪酬委員異動
2,1732,毛寶,103/03/27,16:03:01,公告本公司召開一0三年度股東常會。
3,1732,毛寶,103/03/27,16:03:45,董事會決議股利分派
4,1732,毛寶,103/03/27,16:04:59,公告本公司內部稽核主管異動
5,1732,毛寶,103/03/27,16:06:20,公告本公司董事會決議委任薪酬委員
6,1732,毛寶,103/05/14,09:59:34,103/05/13越南平陽省暴動對本公司財務及營運無影響
7,1732,毛寶,103/05/20,12:02:22,代子公司PACIFIC WORLDWIDE HOLDINGS LTD.公告更正資金貸與.
8,1732,毛寶,103/06/20,16:21:15,公告本公司一0三年股東常會重要決議事項
9,1732,毛寶,103/06/20,16:21:31,本公司股東常會決議通過解除董事競業禁止之限制
10,1732,毛寶,103/06/20,16:21:53,公告本公司一0三年度股東常會董事當選名單
11,1732,毛寶,103/06/20,16:22:14,公告本公司一0三年度股東常會監察人當選名單
12,1732,毛寶,103/06/20,16:22:31,公告本公司薪酬委員異動
13,1732,毛寶,103/06/23,16:33:14,公告本公司董事會推舉董事長事宜
14,1732,毛寶,103/08/12,16:36:11,公告本公司總經理變動
15,1732,毛寶,103/08/12,16:38:19,公告本公司董事會決議解除經理人競業禁止限制
16,1732,毛寶,103/08/12,16:38:45,公告本公司薪酬委員異動
17,1732,毛寶,103/09/16,16:44:20,更正103年8月營收公告
18,1732,毛寶,103/10/21,08:54:09,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布基本資料及相關財務業務等重大訊息，以利投資人區 別瞭解。
