,公司代號,公司名稱,發言日期,發言時間,主旨
0,1733,五鼎,108/02/26,17:17:36,公告本公司董事會決議召開108年度股東常會相關事宜
1,1733,五鼎,108/03/22,15:36:10,公告本公司董事會決議變更股東常會召集事由
2,1733,五鼎,108/03/22,15:36:32,公告本公司董事會通過107年度員工酬勞及董事酬勞分派
3,1733,五鼎,108/03/22,15:36:51,董事會決議股利分派
4,1733,五鼎,108/03/22,16:37:40,公告本公司依國際會計準則第36號公報認列資產減損
5,1733,五鼎,108/03/22,16:38:15,董事會決議合併直接及間接持股100%之SAMOA子公司 Apexbio Investment Limited及孫公司Apexbio China Investment Ltd.
6,1733,五鼎,108/05/21,16:47:28,本公司受邀參加兆豐證券舉辦之法人說明會
7,1733,五鼎,108/05/31,14:05:31,公告本公司108年股東常會重要決議事項
8,1733,五鼎,108/05/31,14:06:17,公告本公司決議除息基準日
9,1733,五鼎,108/06/11,16:24:48,本公司受邀參加日盛證券舉辦之「日盛證券大中華夏季論壇」
10,1733,五鼎,108/06/14,15:32:39,調整本公司108年度盈餘分派案之配息率
11,1733,五鼎,108/07/12,14:33:56,更正108年5、6月背書保證明細表資訊
12,1733,五鼎,108/12/10,14:04:48,本公司受邀參加元大證券舉辦之法人說明會
