,公司代號,公司名稱,發言日期,發言時間,主旨
0,1734,杏輝,104/01/09,18:14:10,公告本公司103年12月份自結合併營收
1,1734,杏輝,104/02/10,18:11:07,公告本公司104年1月份自結合併營收
2,1734,杏輝,104/03/10,14:06:28,公告本公司104年2月份自結合併營收
3,1734,杏輝,104/03/12,14:18:01,公告本公司104年2月份自結合併營收(更正)
4,1734,杏輝,104/03/25,18:12:15,本公司董事會決議104年股東常會召開日期
5,1734,杏輝,104/03/25,18:14:04,公告本公司內部稽核主管變動
6,1734,杏輝,104/03/25,18:17:58,本公司董事會決議股利分派
7,1734,杏輝,104/04/10,18:05:54,公告本公司104年3月份自結合併營收
8,1734,杏輝,104/04/26,19:08:57,公告與雲南省科學技術院簽署科技合作框架協議
9,1734,杏輝,104/05/08,18:32:04,公告本公司104年4月份自結合併營收
10,1734,杏輝,104/05/15,18:42:27,媒體報導說明
11,1734,杏輝,104/05/18,23:25:09,媒體報導說明
12,1734,杏輝,104/05/29,16:24:55,媒體報導說明
13,1734,杏輝,104/06/09,16:58:51,公告本公司104年5月份自結合併營收
14,1734,杏輝,104/06/10,19:52:39,公告本公司植物提取物異類葉升麻(廿甘) (Isoacteoside)取得台灣發明專利證書。
15,1734,杏輝,104/06/18,16:07:24,公告本公司104年股東常會重要決議事項
16,1734,杏輝,104/06/18,16:26:38,公告杏輝藥品工業股份有限公司董事、監察人當選名單
17,1734,杏輝,104/06/18,16:40:59,公告104年股東常會通過解除董事競業禁止之限制案
18,1734,杏輝,104/06/18,16:50:56,本公司董事長續任公告
19,1734,杏輝,104/06/18,17:00:07,公告本公司薪資報酬委員會委員任期屆滿
20,1734,杏輝,104/07/06,16:41:10,公告本公司董事會決議股利分派除息基準日
21,1734,杏輝,104/07/06,16:47:01,公告本公司董事會決議委任薪資報酬委員會委員
22,1734,杏輝,104/07/09,15:46:37,公告本公司104年6月份自結合併營收
23,1734,杏輝,104/08/03,18:23:58,代子公司杏輝天力(杭州)藥業有限公司以自地委建方式取得不動產
24,1734,杏輝,104/08/10,11:57:44,公告蘇迪勒颱風對本公司財務及業務並無重大影響
25,1734,杏輝,104/08/10,19:15:01,公告本公司104年7月份自結合併營收
26,1734,杏輝,104/08/11,15:01:20,公告本公司財務主管異動
27,1734,杏輝,104/09/30,11:28:55,公告杜鵑颱風對本公司財務及業務並無重大影響
28,1734,杏輝,104/10/19,17:49:19,代重要子公司SUNETIC BIOTECH INC.公告 董事會決議民國103年度盈餘分派案
