,公司代號,公司名稱,發言日期,發言時間,主旨
0,1776,展宇,107/02/21,10:26:01,展宇董事會決議召開107年股東常會公告
1,1776,展宇,107/03/26,17:54:13,展宇董事會決議召開107年股東常會公告(公告盈餘分派擬案 及新增討論事項)
2,1776,展宇,107/03/26,18:33:41,公告本公司董事會決議發行限制員工權利新股案
3,1776,展宇,107/03/26,18:56:11,董事會決議股利分派
4,1776,展宇,107/04/10,13:58:27,公告本公司因會計師事務所內部輪調更換會計師
5,1776,展宇,107/04/10,16:47:21,更正公告107年3月營業收入
6,1776,展宇,107/05/07,15:22:45,"公告本公司為子公司背書保證,符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第二、三、四款之規定 公告"
7,1776,展宇,107/05/24,17:27:52,代重要子公司-展宇材料科技(上海)有限公司公告暫時停工事宜
8,1776,展宇,107/05/28,17:55:01,公告本公司107年度股東常會重要決議事項
9,1776,展宇,107/05/28,17:56:03,公告本公司107年度股東常會改選董事(含獨立董事)。
10,1776,展宇,107/05/28,17:56:44,公告本公司107年度股東常會解除第16屆董事競業禁止之限制
11,1776,展宇,107/05/28,18:09:47,代重要子公司-展宇材料科技(上海)有限公司公告復工事宜
12,1776,展宇,107/06/30,17:48:18,公告本公司董事會決議股利配發基準日
13,1776,展宇,107/06/30,17:56:36,"公告本公司第三屆薪資報酬委員任期屆滿,董事會決議委任 第四屆薪資報酬委員會"
14,1776,展宇,107/06/30,17:57:58,公告本公司審計委員會成立
15,1776,展宇,107/06/30,17:59:50,公告本公司第16屆董事(含獨立董事)就任
16,1776,展宇,107/06/30,18:00:57,公告本公司董事會選任董事長
17,1776,展宇,107/06/30,18:01:41,公告本公司總經理異動
18,1776,展宇,107/06/30,18:02:30,代子公司展宇科技材料(越南)責任有限公司公告總經理異動
19,1776,展宇,107/06/30,18:11:25,公告本公司資金貸與子公司，符合公開發行公司 資金貸與及背書保證處理準則第二十二條第一項 第三款之規定公告。
20,1776,展宇,107/06/30,18:13:56,公告本公司為子公司背書保證，符合公開發行公司資金貸與及 背書保證處理準則第二十五條第一項第三、四款之規定公告
21,1776,展宇,107/10/03,08:46:16,更正公告107年8月資金貸與他人資訊
22,1776,展宇,107/10/03,13:17:24,公告本公司稽核主管異動
23,1776,展宇,107/10/03,14:50:39,公告本公司為子公司背書保證，符合公開發行公司 資金貸與及背書保證處理準則第二十五條第一項第 二、三、四款之規定公告
24,1776,展宇,107/10/22,15:08:43,代重要子公司-展宇材料科技(上海)有限公司公告配合中國 國際進口博覽會期間暫時停工事宜
25,1776,展宇,107/11/09,16:10:25,公告本公司為子公司背書保證，符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第三款之規定公告
26,1776,展宇,107/11/09,16:48:18,公告本公司代理發言人異動
27,1776,展宇,107/11/20,17:34:48,代子公司展宇材料科技(上海)有限公司公告受上海市 奉賢區環境保護局行政處罰達新台幣壹佰萬元以上
28,1776,展宇,107/12/24,15:28:40,代子公司上海展宇公告停止生產暨變更經營方式
29,1776,展宇,107/12/25,08:58:17,召開法人說明會公告
