,公司代號,公司名稱,發言日期,發言時間,主旨
0,1786,科妍,107/03/05,12:34:36,澄清媒體報導
1,1786,科妍,107/03/08,15:49:08,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
2,1786,科妍,107/03/09,17:23:36,董事會決議股利分派
3,1786,科妍,107/03/09,17:35:21,公告董事會決議召開107年股東常會相關事宜
4,1786,科妍,107/03/09,17:37:21,公告本公司董事會決議庫藏股註銷及訂定減資 基準日
5,1786,科妍,107/03/23,15:56:39,本公司注射用修飾透明質酸鈉凝膠(醫美微整形用玻尿酸皮下 填補劑)取得中國國家食品藥品監督管理總局(CFDA)核發醫療器械 銷售許可證
6,1786,科妍,107/03/23,16:05:44,公告本公司辦理庫藏股註銷減資變更登記完成
7,1786,科妍,107/04/10,16:20:31,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
8,1786,科妍,107/05/10,16:31:11,更正本公司107年1-3月份營業收入及關係人銷貨金額
9,1786,科妍,107/05/29,15:16:59,公告本公司一○七年股東常會重要決議事項
10,1786,科妍,107/05/29,15:19:29,公告本公司民國107年配息基準日
11,1786,科妍,107/08/09,14:43:43,"本公司""德撫癒""可吸收防沾黏凝膠(""DEFEHERE"" Absorbable Adhesion Barrier)取得台灣衛生福利部食品藥物 管理署(TFDA)核發上市許可證。"
12,1786,科妍,107/09/13,18:11:13,公告本公司受邀參加元大證券舉辦之法人說明會。
13,1786,科妍,107/09/19,13:34:18,"公告本公司與美國客戶OrthogenRx,Inc.公司簽署 HYAJOINT Plus(1針劑型關節腔注射劑)獨家總經銷合約"
14,1786,科妍,107/09/19,17:25:19,補充科妍生物科技股份有限公司107/09/19 13:34之重訊內容
15,1786,科妍,107/09/20,11:53:49,澄清媒體報導
16,1786,科妍,107/09/21,17:25:30,公告本公司董事會決議通過發行國內第一次無擔保轉換 公司債
17,1786,科妍,107/09/21,17:26:20,公告本公司董事會決議通過辦理現金增資發行新股
18,1786,科妍,107/09/28,17:22:59,公告本公司含麻藥利度卡因(Lidocaine)透明質酸皮下填補劑 取得歐盟CE醫療器材銷售許可證。
19,1786,科妍,107/11/09,17:11:05,澄清媒體報導
20,1786,科妍,107/12/19,14:33:49,公告本公司決定現金增資認股基準日等相關事宜
21,1786,科妍,107/12/27,16:31:28,公告本公司決定現金增資認股基準日等相關事宜(補充發行價格)
22,1786,科妍,107/12/27,16:42:09,公告本公司自107年第四季起變更簽證會計師事務所及簽證會計師
23,1786,科妍,107/12/28,15:46:00,"公告本公司與泰宗生物科技股份有限公司簽署德撫癒可吸收 防沾黏凝膠(""DEFEHERE""Absorbable Adhesion Barrier)之臺灣 獨家經銷合約"
