,公司代號,公司名稱,發言日期,發言時間,主旨
0,1802,台玻,106/02/08,14:24:26,更正本公司公告105年12月資金貸與明細表資訊
1,1802,台玻,106/02/18,11:21:00,澄清106-02-18工商時報B4版台玻大陸市場Q1可望虧轉盈 報導內容
2,1802,台玻,106/03/20,17:18:43,公告本公司董事會通過105年度個體及合併財務報告
3,1802,台玻,106/03/20,17:21:46,公告本公司董事會決議召開106年股東常會事宜
4,1802,台玻,106/03/20,17:32:00,董事會決議股利分派
5,1802,台玻,106/03/20,17:36:59,"公告本公司董事會通過間接轉增資台玻悅達汽車玻璃 有限公司U$7,800千元案。"
6,1802,台玻,106/03/20,17:37:34,本公司依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第四款規定辦理公告
7,1802,台玻,106/04/12,16:40:53,"公告本公司透過台灣玻璃中國控股有限公司轉增資香港地區 實聯中國控股有限公司U$12,978,324"
8,1802,台玻,106/05/08,16:03:12,"公告本公司董事會通過間接轉增資台玻悅達太陽能鏡板 有限公司U$16,500仟元案"
9,1802,台玻,106/06/08,16:12:16,公告本公司106年股東常會重要決議事項
10,1802,台玻,106/06/08,16:37:53,"公告本公司董事會通過間接轉增資台嘉成都玻纖有限公司 U$26,000仟元"
11,1802,台玻,106/07/20,13:56:12,補正本公司105年度股東會年報部份內容
12,1802,台玻,106/08/07,17:28:04,"公告本公司董事會通過撤銷間接轉投資淮安實源采鹵有限公司 U$2,635,840案"
13,1802,台玻,106/08/07,17:31:39,"公告本公司董事會通過撤銷赴大陸地區投資U$2,635,840案， 改為轉增資香港地區實聯中國控股有限公司"
14,1802,台玻,106/08/07,17:36:41,"公告董事會通過台玻資金貸與子公司台灣玻璃中國控股有限公司 U$15,000,000債權轉增資案"
15,1802,台玻,106/08/11,11:17:29,澄清106-08-11工商時報B4版台玻今年營收估增1成 報導內容
16,1802,台玻,106/08/11,16:38:44,公告本公司依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理
17,1802,台玻,106/08/16,14:12:42,公告更正本公司106年第二季合併財報附註揭露資訊附表九 電子書、赴大陸投資資訊及XBRL申報資訊
18,1802,台玻,106/10/11,16:50:20,公告本公司依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理
19,1802,台玻,106/10/25,16:23:59,公告本公司法人董事改派代表人
20,1802,台玻,106/11/10,17:19:31,本公司依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第四款規定辦理公告
21,1802,台玻,106/11/29,17:32:44,本公司受邀參加富邦證券舉辦之法人說明會
