,公司代號,公司名稱,發言日期,發言時間,主旨
0,1805,寶徠,109/01/21,09:32:51,公告本公司108年12月自結合併財務報表中高流動性資產 及短期借款等財務資訊。
1,1805,寶徠,109/02/27,16:42:07,公告本公司109年01月自結合併財務報表中高流動性資產 及短期借款等財務資訊。
2,1805,寶徠,109/03/19,17:14:16,本公司董事會決議民國109年股東常會相關事宜。
3,1805,寶徠,109/03/19,17:14:38,公告本公司董事會決議不分派股利。
4,1805,寶徠,109/03/19,17:15:09,公告本公司董事會通過「信義案」委託關係人興建。
5,1805,寶徠,109/03/19,17:16:45,公告董事會通過向關係人購置台北市松山區美仁段之土地。
6,1805,寶徠,109/03/20,13:42:31,公告本公司109年02月自結合併財務報表中高流動性資產 及短期借款等財務資訊。
7,1805,寶徠,109/03/20,17:00:07,補充公告-董事會通過向關係人購置台北市松山區 美仁段之土地。
8,1805,寶徠,109/04/20,13:53:20,公告本公司109年03月自結合併財務報表中高流動性資產 及短期借款等財務資訊。
9,1805,寶徠,109/04/24,12:16:20,公告本公司法人董事改派代表人。
10,1805,寶徠,109/05/06,17:32:29,公告本公司民國108年以私募方式辦理發行普通股案，截至 109年股東常會開會日前尚未執行之數額將不再執行。
11,1805,寶徠,109/05/06,17:33:08,公告董事會決議辦理私募現金增資發行普通股案。
12,1805,寶徠,109/05/06,17:33:45,補充公告本公司董事會決議109年股東常會相關事宜(新增議案)。
13,1805,寶徠,109/05/06,17:37:51,公告本公司新增資金貸與金額達新臺幣一千萬元以上且達公司 最近期財務報表淨值百分之二以上。
14,1805,寶徠,109/05/06,17:38:30,公告本公司向關係人原取得之租賃範圍減少致使用權資產減少。
15,1805,寶徠,109/05/19,09:10:02,公告本公司109年4月自結合併財務報表中高流動性資產 及短期借款等財務資訊。
16,1805,寶徠,109/06/18,15:49:30,本公司民國109年股東常會通過之重要決議事項。
17,1805,寶徠,109/06/18,15:50:04,公告本公司109年股東常會全面改選董事當選名單。
18,1805,寶徠,109/06/18,15:50:27,109年股東常會通過解除新任董事及其代表人之競業限制案。
19,1805,寶徠,109/06/18,15:51:01,公告本公司監察人任期屆滿解任。
20,1805,寶徠,109/06/18,15:51:28,公告本公司董事會推選鍾喜吉董事續任董事長。
21,1805,寶徠,109/06/18,15:51:59,公告本公司委任第四屆薪資報酬委員會委員。
22,1805,寶徠,109/06/18,15:52:33,公告本公司委任第一屆審計委員會委員。
23,1805,寶徠,109/06/19,15:37:11,公告本公司109年5月自結合併財務報表中高流動性資產 及短期借款等財務資訊。
24,1805,寶徠,109/07/17,14:31:15,公告本公司109年6月自結合併財務報表中高流動性資產 及短期借款等財務資訊。
25,1805,寶徠,109/08/17,17:07:51,公告本公司109年7月自結合併財務報表中高流動性資產 及短期借款等財務資訊。
26,1805,寶徠,109/08/19,10:38:06,更正本公司109年5月至7月與關係人交易申報金額誤植。
27,1805,寶徠,109/09/18,16:49:55,公告本公司109年8月自結合併財務報表中高流動性資產 及短期借款等財務資訊。
