,公司代號,公司名稱,發言日期,發言時間,主旨
0,1806,冠軍,102/02/21,11:54:07,補充說明102年1月份營收與去年同期差異甚大 原因。
1,1806,冠軍,102/03/27,13:47:54,公告102/03/27南投發生地震對本公司財務業務並無重大影響。
2,1806,冠軍,102/03/28,17:15:38,公告本公司董事會決議召開102年股東常會。
3,1806,冠軍,102/05/06,16:27:40,公告董事會決議股利分派。
4,1806,冠軍,102/06/03,10:36:18,公告6月2日南投地震對本公司財務業務並無重大影響。
5,1806,冠軍,102/06/18,13:39:52,公告本公司102年股東常會決議事項。
6,1806,冠軍,102/06/27,10:14:26,新聞報導本公司澄清說明。
7,1806,冠軍,102/07/22,15:30:03,公告本公司101年年報修訂事宜。
8,1806,冠軍,102/08/09,11:17:28,新聞報導本公司澄清說明。
9,1806,冠軍,102/08/12,16:59:02,依公開發行公司資金貸與及背書保證處理準則 第25條規定公告事宜。
10,1806,冠軍,102/08/15,14:52:10,"代子公司SWANVIEW INTERNATIONAL,LTD.資金貸與公告。"
11,1806,冠軍,102/08/15,14:52:22,"代子公司SWANVIEW INTERNATIONAL,LTD.資金貸與公告。"
12,1806,冠軍,102/08/19,08:30:00,代子公司信益陶瓷(中國)有限公司 背書保證公告。
13,1806,冠軍,102/11/01,11:46:57,公告10/31花蓮強震對本公司財務業務並無重大影響。
14,1806,冠軍,102/12/05,17:35:24,公告董事會通過關接對大陸投資案。 (依規定向投審會申請核准後進行)
15,1806,冠軍,102/12/05,17:54:19,代子公司公告SWANVIEW INTERNATIONAL LTD. 及信益陶瓷(中國)有限公司增加投資信益陶瓷 (蓬萊)有限公司。
