,公司代號,公司名稱,發言日期,發言時間,主旨
0,1808,潤隆,108/01/31,18:40:50,公告本公司研發主管解任
1,1808,潤隆,108/02/26,16:57:32,公告本公司取得台中市西屯區惠安段223地號等13筆土地 (含地上建物)
2,1808,潤隆,108/03/08,13:19:03,董事會決議股利分派
3,1808,潤隆,108/03/08,13:44:09,公告本公司董事會決議召開一Ｏ八年股東常會相關事宜
4,1808,潤隆,108/03/08,13:48:06,本公司董事會決議發行一○八年度第一次有擔保普通公司債
5,1808,潤隆,108/03/08,13:50:30,本公司董事會決議發行一○八年度第二次有擔保普通公司債
6,1808,潤隆,108/05/15,10:35:32,澄清媒體報導
7,1808,潤隆,108/05/31,14:17:41,本公司因有價證券於集中市場達公布注意交易資訊標準， 公布相關財務業務資訊，以利投資人區別瞭解
8,1808,潤隆,108/06/10,13:17:06,本公司一Ｏ八年股東常會重要決議事項
9,1808,潤隆,108/06/26,15:37:37,公告本公司董事會授權參與土地投標額度
10,1808,潤隆,108/06/26,15:38:08,公告本公司第四屆薪資報酬委員會委員異動
11,1808,潤隆,108/06/28,17:13:09,公告本公司地址變更
12,1808,潤隆,108/08/13,17:19:16,公告本公司董事會通過簽訂台中市西屯區惠安段238及241 地號2筆土地合建契約
13,1808,潤隆,108/09/25,12:29:59,公告本公司董事會決議除息基準日、現金股利發放日
14,1808,潤隆,108/09/25,12:31:56,公告本公司處分新北市鶯歌區德昌段土地及建物
15,1808,潤隆,108/11/08,15:45:47,本公司董事會決議發行一○八年度第三次有擔保普通公司債
16,1808,潤隆,108/11/08,15:46:37,本公司董事會決議發行一○八年度第四次有擔保普通公司債
17,1808,潤隆,108/11/22,14:47:13,公告本公司變更一○八年度第三次有擔保普通公司債發行總額
18,1808,潤隆,108/11/22,14:47:37,公告本公司取消發行一○八年度第四次有擔保普通公司債
19,1808,潤隆,108/11/25,10:17:55,公告本公司召開法人說明會事宜
20,1808,潤隆,108/12/02,16:24:15,公告本公司取得桃園市中壢區青昇段439、440地號等2筆土地
21,1808,潤隆,108/12/26,10:30:22,公告更正本公司背書保證資訊揭露明細表資訊、108年第2季 及第3季合併財務報告附註揭露事項之資訊
