,公司代號,公司名稱,發言日期,發言時間,主旨
0,1809,中釉,105/01/06,13:32:08,公告本公司新任執行長
1,1809,中釉,105/03/24,15:32:06,公告本公司董事會決議辦理現金減資案
2,1809,中釉,105/03/24,15:33:02,本公司董事會決議召開105年股東常會相關事宜
3,1809,中釉,105/03/24,15:33:40,本公司董事會通過104年度員工酬勞及董監酬勞分派案
4,1809,中釉,105/03/24,15:34:04,董事會決議股利分派
5,1809,中釉,105/03/29,13:51:04,公告本公司股務代理機構「福邦證券股份有限公司」變更 營業處所相關事宜
6,1809,中釉,105/03/29,13:51:47,公告本公司研發主管異動
7,1809,中釉,105/04/07,14:42:59,代子公司C.G.C.DEVELOPMENT LTD.公告董事會決議股利分派
8,1809,中釉,105/04/07,14:43:32,代子公司廣東三水大鴻製釉有限公司公告董事會決議分派股利
9,1809,中釉,105/04/07,14:43:55,代子公司龍華有限公司公告董事會決議分派股利
10,1809,中釉,105/04/07,14:44:14,代子公司富豪有限公司公告董事會決議不分派股利
11,1809,中釉,105/04/07,14:44:34,代子公司PT.CHINA GLAZE INDONESIA公告董事會決議不分派股利
12,1809,中釉,105/04/07,14:45:05,代子公司龍華有限公司公告董事會通過104年度員工酬勞及 董監酬勞分派案
13,1809,中釉,105/04/28,15:53:59,代子公司龍華有限公司公告董事長訂定股利配發基準日 及發放日等相關事宜
14,1809,中釉,105/05/11,14:30:00,補充公告修改本公司召開105年股東常會議程
15,1809,中釉,105/06/15,15:43:47,代子公司廣東三水大鴻製釉有限公司公告訂定股利配發基準日
16,1809,中釉,105/06/22,15:14:48,公告本公司105年股東常會重要決議事項
17,1809,中釉,105/06/22,15:15:13,公告本公司董事長訂定股利配發基準日及發放日等相關事宜
18,1809,中釉,105/06/22,15:15:36,本公司辦理現金減資致債權人公告
19,1809,中釉,105/06/28,14:06:40,代子公司C.G.C.DEVELOPMENT LTD.公告訂定股利配發基準日 及發放日
20,1809,中釉,105/08/11,15:21:40,公告本公司，新增資金貸與金額達新臺幣一仟萬元以上且達 本公司最近期財務報表淨值百分之二以上
21,1809,中釉,105/08/19,15:35:30,公告本公司訂定現金減資基準日、換發股票 作業計畫書及減資換發股票基準日等相關事宜
22,1809,中釉,105/08/25,13:58:48,代子公司龍華有限公司公告，新增資金貸與金額達新臺幣 一仟萬元以上且達本公司最近期財務報表淨值百分之二以上
23,1809,中釉,105/09/02,15:12:14,公告本公司現金減資辦理資本變更登記完成
