,公司代號,公司名稱,發言日期,發言時間,主旨
0,1810,和成,104/02/06,13:33:42,本公司背書保證達公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第三款及第四款公告
1,1810,和成,104/02/10,09:45:11,更正本公司103年12月資金貸與他人資料
2,1810,和成,104/03/27,11:30:04,本公司背書保證達公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第三款及第四款公告
3,1810,和成,104/03/27,13:41:49,董事會決議104年股東常會召集相關事項
4,1810,和成,104/05/08,13:29:49,董事會決議股利分派
5,1810,和成,104/05/08,14:03:37,董事會決議104年股東常會召集相關事項(第二階段公告)
6,1810,和成,104/06/25,13:42:12,公告本公司104年股東常會重要決議事項
7,1810,和成,104/06/25,13:52:40,公告本公司董監事任期屆滿全面改選事宜
8,1810,和成,104/06/25,13:53:03,公告本公司股東會決議解除董事競業禁止限制事宜
9,1810,和成,104/06/25,13:53:22,公告本公司董事會推舉董事長事宜
10,1810,和成,104/07/06,11:51:09,公告本公司董事會決議股利配發除息基準日
11,1810,和成,104/07/06,11:52:23,公告本公司董事會委任薪資報酬委員事宜
12,1810,和成,104/07/06,11:53:46,本公司背書保證達公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第三款及第四款公告
13,1810,和成,104/07/28,09:43:29,公告修正本公司民國103年度年報部分資料
14,1810,和成,104/08/06,15:16:47,"代子公司和成企業(香港)有限公司公告解散, 結束營業清算案"
15,1810,和成,104/08/10,16:35:13,公告蘇迪勒颱風對本公司廠房天花板被掀掉 預估損失金額約新台幣2佰萬元
16,1810,和成,104/10/02,14:48:26,本公司背書保證達公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第四款公告
17,1810,和成,104/11/11,14:26:58,本公司背書保證達公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第三款及第四款公告
18,1810,和成,104/12/15,10:48:05,澄清工商時報B4版及相關媒體報導
