,公司代號,公司名稱,發言日期,發言時間,主旨
0,1817,凱撒衛,103/01/20,10:51:15,澄清工商時報報導
1,1817,凱撒衛,103/03/21,18:40:44,代重要子公司越南凱撒衛浴股份有限公司公告 董事會決議2013年度盈餘分派案
2,1817,凱撒衛,103/03/21,18:42:28,代重要子公司越南凱撒衛浴股份有限公司公告 董事會決議召開股東會相關事宜
3,1817,凱撒衛,103/03/27,18:13:35,公告本公司董事會決議召開一○三年股東常會相關事宜
4,1817,凱撒衛,103/03/27,18:14:35,董事會決議股利分派
5,1817,凱撒衛,103/04/01,15:15:26,本公司召開2013年法人說明會
6,1817,凱撒衛,103/04/21,15:06:07,代重要子公司越南凱撒衛浴(股)公司公告股東常會重要決議事項
7,1817,凱撒衛,103/05/05,15:44:02,公告本公司董事會通過因子公司金融機構借款而對 子公司背書保證，額度達公開發行公司資金貸與及 背書保證處理準則第二十五條第一項第三款
8,1817,凱撒衛,103/05/14,09:00:40,代子公司越南凱撒衛浴股份有限公司公告103/05/13越南國平陽省 反中暴動對本公司財務及營運尚無影響
9,1817,凱撒衛,103/05/15,13:56:11,代重要子公司越南凱撒衛浴股份有限公司公告， 針對越南反中暴動後續因應措施
10,1817,凱撒衛,103/05/16,14:05:47,代重要子公司越南凱撒衛浴股份有限公司公告， 越南凱撒衛浴工廠恢復正常營運
11,1817,凱撒衛,103/06/25,14:56:49,公告本公司一○三年股東常會重要決議事項
12,1817,凱撒衛,103/07/21,14:35:46,公告本公司決議除息基準日
13,1817,凱撒衛,103/07/21,14:40:46,公告本公司董事會通過因子公司金融機構借款而對子公司背書 保證展期，額度達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第三款
14,1817,凱撒衛,103/11/04,13:59:56,公告本公司董事會通過因子公司金融機構借款而對子公司背書 保證，額度達公開發行公司資金貸與及背書保證處理準則第二 十五條第一項第三款
15,1817,凱撒衛,103/12/26,17:44:37,公告本公司董事會通過因子公司金融機構借款而對子公司背 書保證，額度達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第三款
