,公司代號,公司名稱,發言日期,發言時間,主旨
0,1903,士紙,103/03/19,16:41:13,公告股東常會召開訊息
1,1903,士紙,103/03/19,17:28:51,董事會決議股利分派
2,1903,士紙,103/03/19,17:32:05,代子公司陽光士林開發股份有限公司公告其股利分派情形
3,1903,士紙,103/03/20,14:30:07,更正股利分派相關資訊。
4,1903,士紙,103/04/08,17:20:36,國稅局核定補徵營業稅。
5,1903,士紙,103/04/30,17:07:57,收到國稅局營業稅罰鍰裁處書。
6,1903,士紙,103/05/06,17:09:17,公告本公司103/05/06董事會重要議案。
7,1903,士紙,103/05/06,17:09:33,公告補充股東常會召開訊息
8,1903,士紙,103/05/06,22:51:43,董事會決議提請股東會討論永安廠生產線停止運作。
9,1903,士紙,103/05/09,07:59:43,公告本公司法人董事改派代表人
10,1903,士紙,103/06/27,14:46:52,公告103年股東常會重要決議事項
11,1903,士紙,103/06/27,14:47:05,公告本公司補選乙席董事
12,1903,士紙,103/07/11,08:46:35,發佈本公司會計主管異動訊息
13,1903,士紙,103/07/11,08:46:47,發佈本公司代理發言人異動訊息
14,1903,士紙,103/07/11,08:46:58,代重要子公司陽光士林開發(股)公司公告會計主管異動
15,1903,士紙,103/08/06,08:12:39,空氣污染檢測超標，經主管機關罰鍰累計達100萬元。
16,1903,士紙,103/08/13,08:03:21,公告本公司103/08/12董事會重要議案。
17,1903,士紙,103/10/30,17:36:29,103/8/12董事會決議補充公告。
18,1903,士紙,103/11/07,16:21:31,發佈本公司會計主管異動訊息
19,1903,士紙,103/11/07,16:22:00,公告本公司內部稽核主管異動
20,1903,士紙,103/11/07,16:22:39,公告本公司董事會決議解除經理人暫時兼代100%持有之 子公司經理競業禁止限制
21,1903,士紙,103/11/07,16:23:01,代重要子公司陽光士林開發(股)公司公告會計主管異動
22,1903,士紙,103/11/12,14:43:16,公告本公司研發主管異動訊息
23,1903,士紙,103/11/12,14:44:11,更正本公司103年10月累計營收申報金額。
