,公司代號,公司名稱,發言日期,發言時間,主旨
0,1906,寶隆,105/02/17,17:31:55,公告本公司監察人辭職
1,1906,寶隆,105/03/15,16:38:37,係因本公司有價證券於集中交易市場達公布注意交易 資訊標準，故公布相關財務業務等重大訊息，以利投資人 區別暸解
2,1906,寶隆,105/03/15,20:37:37,公告本公司董事會通過104年度財務報表暨合併財務報表案
3,1906,寶隆,105/03/15,20:39:07,本公司董事會決議召開105年股東常會
4,1906,寶隆,105/03/15,20:41:11,董事會決議股利分派
5,1906,寶隆,105/03/15,20:42:20,本公司董事會通過104年度員工酬勞分配案
6,1906,寶隆,105/03/16,14:34:44,更正-本公司董事會決議召開105年股東常會
7,1906,寶隆,105/05/03,17:08:00,公告本公司董事會通過105年第一季合併財務報表
8,1906,寶隆,105/06/15,19:14:37,公告本公司一百零五年度股東常會重要決議事項
9,1906,寶隆,105/06/15,19:15:18,本公司股東會決議除息基準日公告
10,1906,寶隆,105/06/15,19:16:13,公告本公司改選董事及監察人名單
11,1906,寶隆,105/06/15,19:17:02,公告本公司一Ｏ五年股東常會通過解除董事競業禁止之限制案
12,1906,寶隆,105/06/15,19:17:33,本公司董事一致推選黃萬村先生擔任董事長
13,1906,寶隆,105/06/15,19:18:49,本公司董事會通過聘任黃萬村先生為總經理
14,1906,寶隆,105/08/03,16:48:18,公告本公司董事會通過105年上半年度合併財務報表
15,1906,寶隆,105/08/03,16:48:56,公告本公司董事會決議委任薪酬委員會委員
16,1906,寶隆,105/08/10,16:21:27,係因本公司有價證券於集中交易市場達公布注意交易 資訊標準，故公布相關財務業務等重大訊息，以利投資人 區別瞭解
17,1906,寶隆,105/09/29,17:26:07,公告本公司董事會決議參與榮成紙業股份有限公司現金增資認股案
18,1906,寶隆,105/09/29,17:28:03,公告本公司董事會決議召開105年股東臨時會
19,1906,寶隆,105/10/01,21:52:06,公告本公司出售寶隆東方休閒事業投資股份有限公司股權案
20,1906,寶隆,105/10/06,16:05:53,係因本公司有價證券於集中交易市場達公布注意交易 資訊標準，故公布相關財務業務等重大訊息，以利投資人 區別瞭解
21,1906,寶隆,105/11/07,14:59:02,公告本公司董事會通過105年第三季合併財務報表
22,1906,寶隆,105/12/15,16:56:48,公告本公司一百零五年度股東臨時會重要決議事項
23,1906,寶隆,105/12/30,17:35:25,簽訂與榮成紙業股份有限公司工業用紙代理銷售合約
