,公司代號,公司名稱,發言日期,發言時間,主旨
0,2002,中鋼,108/01/02,15:14:46,代子公司中龍鋼鐵股份有限公司公告法人董事及監察人 之代表人變動
1,2002,中鋼,108/01/18,16:44:53,更正本公司107年11-12月衍生性商品申報交易資訊
2,2002,中鋼,108/01/18,18:18:29,公告本公司代理發言人變動
3,2002,中鋼,108/01/20,17:56:19,澄清媒體報導
4,2002,中鋼,108/01/22,13:32:27,公告本公司107年12月份自結合併營收及稅前盈餘
5,2002,中鋼,108/01/30,19:43:56,代子公司興達海洋基礎股份有限公司公告補充原107年6月28日 公告取得機器設備
6,2002,中鋼,108/02/11,20:40:04,代子公司Group Steel Corp. (M) Sdn. Bhd.公告處分資產
7,2002,中鋼,108/02/13,10:56:33,108.02.13工商時報第B1版報導澄清
8,2002,中鋼,108/02/25,14:38:38,公告本公司108年01月份自結合併營收及稅前盈餘
9,2002,中鋼,108/02/27,14:19:22,代子公司中龍鋼鐵公司公告生產部門副總經理暨代理發言人變動
10,2002,中鋼,108/03/04,14:01:25,本公司將於108年3月5日參加元富證券於台北舉辦之「2019年春季元富投資論壇」法人說明會
11,2002,中鋼,108/03/07,15:53:20,"代子公司中馬控股公告董事會決議增資中馬公司馬幣 139,000,000元"
12,2002,中鋼,108/03/12,13:34:21,公告本公司108年02月份自結合併營收及稅前盈餘
13,2002,中鋼,108/03/18,15:01:14,代子公司中龍鋼鐵股份有限公司公告董事會決議107年度股利分配
14,2002,中鋼,108/03/18,15:01:32,代子公司中龍鋼鐵股份有限公司公告中龍董事會決議 108年度發行國內普通公司債
15,2002,中鋼,108/03/18,15:01:50,代子公司中龍鋼鐵股份有限公司公告捐助中鋼集團 教育基金會辦理業務之推動
16,2002,中鋼,108/03/18,15:05:06,代重要子公司中龍鋼鐵公司公告取得機器設備
17,2002,中鋼,108/03/18,15:05:21,代子公司中龍鋼鐵公司公告業務部門助理副總經理暨 代理發言人變動
18,2002,中鋼,108/03/21,15:44:01,代子公司鋼堡科技股份有限公司公告取得不動產使用權資產
19,2002,中鋼,108/03/22,15:40:30,代子公司中鋼保全股份有限公司公告補充原106年9月29日 新建辦公大樓
20,2002,中鋼,108/03/22,16:06:49,代子公司中鋼光能股份有限公司公告取得不動產使用權資產
21,2002,中鋼,108/03/25,14:31:57,董事會決議107年度普通股股利分派
22,2002,中鋼,108/03/25,14:36:20,董事會決議107年度特別股股利分派
23,2002,中鋼,108/03/25,14:37:05,董事會決議召開108年股東常會相關事宜
24,2002,中鋼,108/03/25,14:37:36,董事會決議投資新台幣約25.92832億元， 進行「動力一場汽輪鼓風機汰舊換新計畫」
25,2002,中鋼,108/03/25,14:37:50,公告本公司取得機器設備
26,2002,中鋼,108/03/25,14:39:05,公告本公司設置公司治理主管
27,2002,中鋼,108/04/01,18:05:22,代子公司中龍鋼鐵股份有限公司公告補充原107年12月11日 取得機器設備事宜
28,2002,中鋼,108/04/29,13:53:11,公告本公司108年03月份自結合併營收及稅前盈餘
29,2002,中鋼,108/05/06,14:39:28,董事會決議投資新台幣約70.1781億元進行 新建煤礦封閉式建築第一期工程計畫
30,2002,中鋼,108/05/06,14:41:16,補充公告董事會決議召開108年股東常會相關事宜 (修正股東常會議程)
31,2002,中鋼,108/05/09,13:51:28,代子公司興達海洋基礎股份有限公司公告補充原107年6月28日 公告取得不動產
32,2002,中鋼,108/05/20,13:46:06,本公司將於108年5月21日參加中國信託於台北舉辦之「中國信託證券2019投資前瞻論壇」法人說明會
33,2002,中鋼,108/05/22,18:39:39,代子公司中能資源股份有限公司公告取得不動產使用權資產
34,2002,中鋼,108/05/27,14:26:43,公告本公司108年04月份自結合併營收及稅前盈餘
35,2002,中鋼,108/05/31,16:30:19,公告本公司風電事業發展委員會主任委員變動
36,2002,中鋼,108/06/03,14:44:05,代子公司中龍鋼鐵股份有限公司公告總經理變動
37,2002,中鋼,108/06/03,14:44:21,代子公司中龍鋼鐵股份有限公司公告發言人變動
38,2002,中鋼,108/06/10,15:03:10,代子公司中龍鋼鐵公司公告108年股東常會重要決議事項
39,2002,中鋼,108/06/19,16:02:13,本公司一Ο八年股東常會重要決議事項
40,2002,中鋼,108/06/19,16:06:18,股東常會決議許可本公司董事從事競業行為
41,2002,中鋼,108/06/19,16:06:33,本公司董事長續任公告
42,2002,中鋼,108/06/19,21:15:59,公告本公司全面改選第十七屆董事當選名單
43,2002,中鋼,108/06/19,21:16:19,本公司董事會決議委任薪酬委員會委員
44,2002,中鋼,108/06/19,21:17:13,公告本公司委任審計委員會委員
45,2002,中鋼,108/06/24,13:35:55,公告本公司108年05月份自結合併營收及稅前盈餘
46,2002,中鋼,108/06/24,15:52:04,更正108年5月自結損益申報作業
47,2002,中鋼,108/06/26,16:00:20,代子公司中龍鋼鐵公司公告財務部門助理副總經理暨 代理發言人變動
48,2002,中鋼,108/07/04,13:42:43,公告本公司除息基準日
49,2002,中鋼,108/07/17,16:08:58,代子公司中龍鋼鐵公司公告除息基準日
50,2002,中鋼,108/07/29,15:48:36,公告本公司108年06月份自結合併營收及稅前盈餘
51,2002,中鋼,108/08/01,13:33:30,代子公司中龍鋼鐵公司公告108年股東臨時會重要決議事項
52,2002,中鋼,108/08/12,20:38:47,公告本公司取得不動產
53,2002,中鋼,108/08/12,20:39:03,本公司董事會通過取得中發控股公司股權
54,2002,中鋼,108/08/21,13:54:58,代子公司中能資源公告取得中林儲區地下儲坑及備品倉庫事宜
55,2002,中鋼,108/08/21,13:56:19,代子公司中盈投資開發股份有限公司公告參與綠威環保科技股份 有限公司私募可轉換公司債案。
56,2002,中鋼,108/08/26,13:43:34,代子公司興達海洋基礎股份有限公司公告取得不動產
57,2002,中鋼,108/08/28,13:32:27,公告本公司108年07月份自結合併營收及稅前盈餘
58,2002,中鋼,108/08/29,14:58:16,代子公司中龍鋼鐵公司公告行政部門副總經理暨 代理發言人變動
59,2002,中鋼,108/09/05,14:07:08,代子公司興達海洋基礎股份有限公司公告補充原107年6月28日 公告取得不動產
60,2002,中鋼,108/09/18,13:46:46,公告本公司108年08月份自結合併營收及稅前盈餘
61,2002,中鋼,108/09/23,13:54:07,公告本公司總經理異動
62,2002,中鋼,108/09/23,13:54:50,公告本公司執行副總經理暨發言人變動
63,2002,中鋼,108/09/23,13:58:14,公告本公司業務部門副總經理暨代理發言人變動
64,2002,中鋼,108/09/24,15:29:59,公告本公司法人代表人董事變動
65,2002,中鋼,108/09/30,13:31:28,代子公司中龍鋼鐵股份有限公司公告法人董事代表人變動
66,2002,中鋼,108/10/07,11:55:52,針對108.10.07 聯合報報導說明
67,2002,中鋼,108/10/07,13:32:00,代子公司中龍鋼鐵股份有限公司公告補充原107年12月11日 取得機器設備事宜
68,2002,中鋼,108/10/24,14:35:00,公告本公司108年09月份自結合併營收及稅前盈餘
69,2002,中鋼,108/11/11,13:50:02,本公司將參加富邦證券舉辦之中鋼集團聯合法說
70,2002,中鋼,108/11/11,14:32:53,公告本公司取得機器設備
71,2002,中鋼,108/11/11,14:34:53,公告本公司取得機器設備
72,2002,中鋼,108/11/11,14:36:55,公告本公司出售日本東亞聯合鋼鐵公司(以下稱東亞聯鋼)股權事宜
73,2002,中鋼,108/11/11,14:37:39,本公司捐助中鋼集團教育基金會辦理業務之推動
74,2002,中鋼,108/11/22,14:05:41,代子公司興達海洋基礎股份有限公司公告補充原107年6月28日 公告取得不動產
75,2002,中鋼,108/11/27,13:50:59,公告本公司108年10月份自結合併營收及稅前盈餘
76,2002,中鋼,108/11/27,17:29:42,代重要子公司中龍鋼鐵公司補充原108年3月18日公告取得機器設備
77,2002,中鋼,108/11/28,11:47:09,澄清108.11.28自由時報報導說明
78,2002,中鋼,108/12/18,15:48:58,代子公司中龍鋼鐵公司公告業務部門助理副總經理暨 代理發言人變動
79,2002,中鋼,108/12/19,13:49:42,公告本公司108年11月份自結合併營收及稅前盈餘
80,2002,中鋼,108/12/19,16:34:43,代子公司中冠資訊股份有限公司公告取得不動產使用權資產
81,2002,中鋼,108/12/24,14:14:36,代子公司中鋼運通股份有限公司公告購買輕便型散裝貨輪
82,2002,中鋼,108/12/24,14:15:03,代孫公司CSEI TRANSPORT (PANAMA) CORPORATION 公告處分輕便型散裝貨輪
83,2002,中鋼,108/12/24,14:15:29,代孫公司CSE TRANSPORT CORPORATION 公告取得輕便型散裝貨輪
84,2002,中鋼,108/12/24,14:15:50,代子公司中鋼運通股份有限公司公告取得不動產使用權資產
85,2002,中鋼,108/12/24,17:03:39,代子公司中欣開發股份有限公司公告取得不動產使用權資產
86,2002,中鋼,108/12/25,16:34:55,代子公司中貿國際股份有限公司公告取得不動產使用權資產
87,2002,中鋼,108/12/30,15:48:09,代孫公司中鋼公寓大廈管理維護股份有限公司 公告取得不動產使用權資產
88,2002,中鋼,108/12/30,16:51:21,公告本公司工程部門副總經理變動
89,2002,中鋼,108/12/30,16:51:37,公告本公司技術部門副總經理變動
