,公司代號,公司名稱,發言日期,發言時間,主旨
0,2009,第一銅,107/01/02,16:36:48,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
1,2009,第一銅,107/03/12,18:12:17,本公司法人董事日本三菱伸銅株式會社變更代表人案。
2,2009,第一銅,107/03/19,17:55:28,公告本公司董事會決議召開107年股東常會相關事宜。
3,2009,第一銅,107/03/19,18:15:17,董事會決議不分派股利
4,2009,第一銅,107/03/19,18:15:51,公告本公司總經理任命案
5,2009,第一銅,107/06/06,15:21:36,更補正本公司106年度個別財務報告第70頁
6,2009,第一銅,107/06/28,17:32:25,公告本公司107年股東常會重要決議事項。
7,2009,第一銅,107/06/28,17:32:42,公告本公司107年全面改選董事暨同任期董事變動累計達三分之一
8,2009,第一銅,107/06/28,17:32:55,本公司107年股東常會通過解除新選任董事競業禁止之限制。
9,2009,第一銅,107/06/28,17:33:10,公告本公司設置審計委員會
10,2009,第一銅,107/06/28,17:33:31,公告本公司設置審計委員會，監察人即行解任
11,2009,第一銅,107/06/28,17:33:43,公告本公司董事會選任董事長
12,2009,第一銅,107/06/28,17:33:57,公告本公司董事會決議委任第四屆薪酬委員會委員
13,2009,第一銅,107/07/26,15:59:22,公告修正本公司106年度股東會年報部分資料
14,2009,第一銅,107/09/12,16:56:19,公告本公司召開107年法人說明會之相關訊息
