,公司代號,公司名稱,發言日期,發言時間,主旨
0,2012,春雨,106/02/15,15:54:51,公告重要子公司春雨(東莞)五金制品有限公司總經理異動。
1,2012,春雨,106/02/15,15:57:04,公告本公司財務主管異動
2,2012,春雨,106/03/24,16:56:52,公告本公司董事會決議股東常會召開日期、召集事由及 停止變更股東名簿記載日期等事宜。
3,2012,春雨,106/03/24,16:58:40,代重要子公司『SCHOLAR HOLDINGS LTD.』及『春雨(東莞)五 金制品有限公司』公告董事會決議無發放股利。
4,2012,春雨,106/03/24,17:13:33,董事會決議股利分派
5,2012,春雨,106/03/24,17:14:33,公告本公司代理發言人異動。
6,2012,春雨,106/03/24,18:33:07,公告本公司新增背書保證金額達新台幣三千萬元以上 且達最近期財務報表淨值百分之五以上。
7,2012,春雨,106/04/26,08:50:58,本公司受邀參加國泰綜合證券舉辦法人說明會。
8,2012,春雨,106/06/23,15:19:32,公告本公司董事長異動。
9,2012,春雨,106/06/23,15:21:03,代重要子公司Scholar Holdings LTD.公告董事長異動。
10,2012,春雨,106/06/23,15:22:56,代重要子公司春雨(東莞)五金制品有限公司公告董事長異動。
11,2012,春雨,106/06/28,15:09:45,公告本公司本年股東常會重要決議事項。
12,2012,春雨,106/06/28,15:12:10,公告本公司董事會選任董事長。
13,2012,春雨,106/08/01,16:41:31,公告本公司法人董事代表人異動。
14,2012,春雨,106/08/08,16:57:01,公告本公司董事會選任董事長
15,2012,春雨,106/08/08,16:57:59,公告本公司董事會決議除息基準日
16,2012,春雨,106/08/08,16:59:15,公告本公司提報董事會106年第二季合併財務報告
17,2012,春雨,106/08/08,17:00:00,公告本公司總經理退休
18,2012,春雨,106/08/08,17:00:48,代重要子公司春雨(東莞)五金制品有限公司公告新任財務主管
19,2012,春雨,106/08/08,17:08:57,代重要子公司”SCHOLAR HOLDINGS LTD.”公告法人董事 代表人變動。
20,2012,春雨,106/08/08,17:09:39,代重要子公司”SCHOLAR HOLDINGS LTD.”公告選任董事長
21,2012,春雨,106/08/08,17:10:31,"代重要子公司""春雨(東莞)五金制品有限公司""公告法人董事 代表人變動。"
22,2012,春雨,106/08/08,17:11:16,代重要子公司”SCHOLAR HOLDINGS LTD.”公告董事會 決議擬辦減資。
23,2012,春雨,106/08/11,15:04:58,"代重要子公司""春雨(東莞)五金制品有限公司""公告 選任董事長"
24,2012,春雨,106/08/21,16:27:53,澄清媒體有關本公司之報導
25,2012,春雨,106/09/27,15:40:10,公告本公司董事長兼任總經理
26,2012,春雨,106/09/27,15:42:19,公告本公司發言人及代理發言人異動
27,2012,春雨,106/10/31,16:36:52,公告本公司內部稽核主管異動
28,2012,春雨,106/11/08,16:31:57,公告本公司董事會決議通過內部稽核主管任命案
29,2012,春雨,106/11/08,16:33:11,公告本公司提報董事會106年第三季合併財務報告
30,2012,春雨,106/11/08,16:41:28,公告本公司新增對子公司SCHOLAR HOLDINGS LTD.資金貸與金額 達新臺幣一千萬元以上且達淨值百分之二以上。
31,2012,春雨,106/11/08,16:41:50,代子公司SCHOLAR HOLDINGS LTD.公告合計新增資金貸 與金額達新臺幣一千萬元以上且達淨值百分之二以上。
32,2012,春雨,106/11/08,16:42:47,公告新增背書保證金額達新臺幣三千萬元以上且 達最近期財務報表淨值百分之五以上。
33,2012,春雨,106/11/09,15:50:56,公告本公司與聯貸銀行團簽訂聯合授信合約。
