,公司代號,公司名稱,發言日期,發言時間,主旨
0,2013,中鋼構,105/01/15,11:57:49,公告本公司董事長異動
1,2013,中鋼構,105/01/15,12:00:38,本公司法人董事之代表人變動
2,2013,中鋼構,105/02/18,16:51:58,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
3,2013,中鋼構,105/03/03,15:58:27,更正本公司105年1月為他人背書保證申報事項
4,2013,中鋼構,105/03/16,15:49:11,代重要子公司聯鋼營造工程(股)公司 公告董事會通過解除董事競業禁止之限制
5,2013,中鋼構,105/03/16,15:51:13,代重要子公司聯鋼營造工程(股)公司 公告董事會決議股利分配事宜
6,2013,中鋼構,105/03/16,15:53:55,代重要子公司聯鋼營造工程(股)公司 公告董事會決議通過召開股東會事宜
7,2013,中鋼構,105/03/23,14:51:57,公告本公司第十三屆第十三次董事會會議決議通過 召開股東會事宜。
8,2013,中鋼構,105/03/23,14:56:19,公告本公司董事會通過104年度員工及董監酬勞分派案。
9,2013,中鋼構,105/03/23,15:00:32,董事會通過解除董事競業禁止之限制
10,2013,中鋼構,105/03/23,15:16:11,代重要子公司補充公告董事會通過104年度員工酬勞分派案。
11,2013,中鋼構,105/03/23,15:20:40,公告本公司董事會決議通過民國104年度個體財務報告 及合併財務報告
12,2013,中鋼構,105/03/23,15:33:29,董事會決議股利分派
13,2013,中鋼構,105/03/25,16:55:29,公告本公司對轉投資中鋼結構(昆山)有限公司新增 背書保證金額逾本公司最近財務報表淨值百分之五
14,2013,中鋼構,105/04/12,13:40:38,公告本公司對轉投資中鋼結構(昆山)有限公司新增 背書保證金額逾本公司最近財務報表淨值百分之五
15,2013,中鋼構,105/05/03,15:02:18,本公司法人董事之代表人變動
16,2013,中鋼構,105/05/03,15:03:09,公告本公司總經理異動
17,2013,中鋼構,105/05/12,11:02:00,補正本公司105年股東常會「議事手冊及會議補充資料」
18,2013,中鋼構,105/05/27,13:41:38,更正公告本公司第十三屆第十三次董事會會議決議通過召開 股東會議程四、討論事項之項次「(1)~(4)」改為「(2)~(5)」， 並重新上傳本公司105年股東常會議事手冊。
19,2013,中鋼構,105/05/27,16:52:14,本公司法人董事之代表人變動
20,2013,中鋼構,105/06/08,15:43:04,代重要子公司聯鋼營造工程股份有限公司公告股東會決議解除董事 郭新進先生競業禁止之限制。
21,2013,中鋼構,105/06/08,15:45:10,代重要子公司聯鋼營造工程股份有限公司公告股東會決議解除董事 陳擇良先生競業禁止之限制。
22,2013,中鋼構,105/06/08,15:46:26,代重要子公司聯鋼營造工程股份有限公司公告股東會決議解除董事 兼總經理林志榮先生競業禁止之限制。
23,2013,中鋼構,105/06/08,15:47:22,代重要子公司聯鋼營造工程(股)公司公告105年股東常會 重要決議事項
24,2013,中鋼構,105/06/08,15:48:08,代重要子公司聯鋼營造工程(股)公司公告除息基準日
25,2013,中鋼構,105/06/13,16:04:12,公告本公司105年股東常會重要決議事項
26,2013,中鋼構,105/06/13,16:06:21,公告本公司股東常會決議通過解除董事長郭新進先生競業禁止之 限制。
27,2013,中鋼構,105/06/13,16:07:48,公告本公司股東常會決議通過解除董事陳擇良先生競業禁止之 限制。
28,2013,中鋼構,105/06/13,16:09:21,公告本公司股利配發基準日
29,2013,中鋼構,105/07/22,17:08:06,更正105年5月、6月份當月營業收入及105年5月累計營業收入
30,2013,中鋼構,105/07/25,13:19:00,增列本公司105年股東會年報第76頁部分內容
31,2013,中鋼構,105/08/04,14:59:52,公告本公司轉投資中鋼結構(昆山)有限公司新增背書保證 金額逾本公司最近財務報表淨值百分之五
32,2013,中鋼構,105/08/08,14:15:01,公告本公司總經理變動
33,2013,中鋼構,105/08/08,14:19:50,公告本公司資金貸與子公司中鋼結構(昆山)有限公司
34,2013,中鋼構,105/08/10,16:13:39,本公司法人董事之代表人變動
35,2013,中鋼構,105/08/12,15:01:23,公告本公司發言人變動
36,2013,中鋼構,105/08/16,16:49:25,代重要子公司聯鋼營造工程(股)公司公告 法人董事之代表人變動
37,2013,中鋼構,105/08/22,16:01:22,本公司法人董事之代表人變動
38,2013,中鋼構,105/08/22,16:08:02,本公司法人董事之代表人變動
39,2013,中鋼構,105/08/24,18:36:26,代重要子公司聯鋼營造工程(股)公司公告 法人董事之代表人變動
40,2013,中鋼構,105/08/31,14:43:55,公告本公司董事長異動
41,2013,中鋼構,105/10/07,17:34:46,公告本公司生產部門研發處處長異動案。
42,2013,中鋼構,105/10/27,13:09:10,公告本公司對轉投資聯鋼工程(越南)責任有限公司新增 背書保證金額逾本公司最近財務淨值百分之五
43,2013,中鋼構,105/11/04,12:09:27,105/11/04工商時報第B4版報導澄清
44,2013,中鋼構,105/12/13,17:26:36,本公司法人董事之代表人變動
