,公司代號,公司名稱,發言日期,發言時間,主旨
0,2015,豐興,105/01/29,16:43:52,公告本公司104年12月份合併自結損益
1,2015,豐興,105/02/05,15:55:08,公告本公司105年1月份合併自結損益
2,2015,豐興,105/03/04,17:20:47,公告本公司105年2月份合併自結損益
3,2015,豐興,105/03/10,14:30:02,公告本公司董事會決議召開股東常會相關事宜
4,2015,豐興,105/03/10,14:34:15,公告本公司董事會通過104年員工及董事酬勞
5,2015,豐興,105/03/10,14:39:22,公告本公司董事會通過民國104年度個體財務報表及合併報表
6,2015,豐興,105/03/10,14:41:38,董事會決議股利分派
7,2015,豐興,105/03/15,14:44:16,公告更正本公司105年2月份合併自結損益申報作業 合併暨累計營業損益
8,2015,豐興,105/04/12,15:27:50,公告本公司105年3月份合併自結損益
9,2015,豐興,105/05/05,15:29:17,公告本公司董事會承認民國105年度第一季合併財務報表
10,2015,豐興,105/05/06,16:01:37,公告本公司105年4月份合併自結損益
11,2015,豐興,105/05/09,15:39:34,受華南永昌綜合證券邀請召開法人座談會
12,2015,豐興,105/06/06,17:04:59,公告本公司105年5月份合併自結損益
13,2015,豐興,105/06/08,13:36:51,公告本公司一0五年股東會重要決議
14,2015,豐興,105/06/08,13:38:44,本公司董事會決議發放現金股利相關事宜
15,2015,豐興,105/06/15,18:08:56,本公司受邀出席國泰證券高峰論壇
16,2015,豐興,105/07/11,16:45:09,公告本公司105年6月份合併自結損益
17,2015,豐興,105/07/29,15:41:51,公告本公司董事會承認民國105年度第二季合併財務報表
18,2015,豐興,105/08/04,17:16:19,公告本公司105年7月份合併自結損益
19,2015,豐興,105/09/07,16:41:20,公告本公司105年8月份合併自結損益
20,2015,豐興,105/10/07,17:18:55,公告本公司105年9月份合併自結損益
21,2015,豐興,105/10/27,14:20:28,公告本公司董事會承認民國105年度第三季合併財務報表
22,2015,豐興,105/11/04,14:55:46,公告更正本公司105年第3季IFRSs合併資產負債表及合併 權益變動表之部分項目
23,2015,豐興,105/11/04,16:34:31,公告本公司105年10月份合併自結損益
24,2015,豐興,105/12/06,16:28:41,公告本公司105年11月份合併自結損益
