,公司代號,公司名稱,發言日期,發言時間,主旨
0,2029,盛餘,101/01/30,16:46:43,公告本公司研發主管變動
1,2029,盛餘,101/03/14,16:10:10,本公司董事會通過一００年度決算財務報表
2,2029,盛餘,101/03/14,16:10:34,公告本公司董事會通過建議股利發放事宜
3,2029,盛餘,101/03/14,16:11:20,公告本公司董事會決議101年股東常會召開事宜
4,2029,盛餘,101/03/16,13:40:12,公告本公司法人董事改派代表人
5,2029,盛餘,101/03/16,13:40:34,公告本公司法人監察人改派代表人
6,2029,盛餘,101/06/15,13:45:09,公告本公司一０一年股東常會決議事項
7,2029,盛餘,101/06/15,13:45:45,公告本公司股東會決議通過解除本公司董事程贊育競業禁止之限制
8,2029,盛餘,101/06/15,13:46:00,公告本公司一百年度現金股利配發基準日
9,2029,盛餘,101/08/17,13:43:35,公告本公司董事會決議通過解除本公司經理人競業禁止之限制
10,2029,盛餘,101/11/15,15:12:06,公告本公司董事會決議通過解除本公司經理人競業禁止之限制
