,公司代號,公司名稱,發言日期,發言時間,主旨
0,2049,上銀,102/01/14,15:48:04,應證交所要求說明媒體報導
1,2049,上銀,102/03/25,18:46:37,董事會決議召開2013年股東常會公告
2,2049,上銀,102/03/25,18:59:12,董事會決議101年盈餘分派
3,2049,上銀,102/03/25,19:01:06,董事會決議盈餘轉增資發行新股
4,2049,上銀,102/03/27,16:37:40,公告102/03/27地震對本公司財務及業務無重大影響
5,2049,上銀,102/04/22,10:19:47,應證交所要求說明媒體報導
6,2049,上銀,102/05/10,16:51:51,代子公司德國上銀公司公告興建廠房案
7,2049,上銀,102/05/10,17:30:36,本公司依公開發行公司資金貸與及背書保證 處理準則第二十二條第一項第三款規定辦理
8,2049,上銀,102/05/10,17:30:54,本公司依公開發行公司資金貸與及背書保證 處理準則第二十二條第一項第三款規定辦理
9,2049,上銀,102/05/17,14:21:31,公告本公司召開法說會
10,2049,上銀,102/05/20,17:38:28,應證交所要求說明媒體報導
11,2049,上銀,102/05/21,16:04:38,應證交所要求說明媒體報導
12,2049,上銀,102/05/22,10:41:26,應證交所要求說明媒體報導
13,2049,上銀,102/05/27,15:15:38,更正本公司資金貸與日本上銀公司最近期財務報表之累積盈虧金額
14,2049,上銀,102/06/03,14:42:57,公告102/06/02地震對本公司財務及業務無重大影響
15,2049,上銀,102/06/10,11:56:28,應證交所要求說明媒體報導
16,2049,上銀,102/06/28,18:26:21,公告本公司102年度股東常會重要決議事項
17,2049,上銀,102/06/28,18:29:14,公告本公司102年度股東常會董監事改選結果
18,2049,上銀,102/06/28,18:30:39,公告本公司102年度股東常會通過解除董事競業禁止之限制案
19,2049,上銀,102/06/28,18:31:38,公告本公司推選董事長及副董事長
20,2049,上銀,102/06/28,18:32:52,公告本公司薪資報酬委員會任期屆滿
21,2049,上銀,102/07/01,11:23:12,應證交所要求說明媒體報導
22,2049,上銀,102/07/15,16:30:56,公告蘇力颱風對本公司財務及業務無重大影響
23,2049,上銀,102/07/22,17:41:16,公告本公司董事會決議分派股利基準日
24,2049,上銀,102/07/22,17:41:28,公告本公司董事會決議委任第二屆薪酬委員會委員
25,2049,上銀,102/08/16,13:33:23,公告本公司召開法說會
26,2049,上銀,102/10/15,11:16:03,應證交所要求說明媒體報導
27,2049,上銀,102/11/01,16:07:06,公告102/10/31花蓮地震對本公司財務及業務無重大影響
28,2049,上銀,102/11/07,18:55:09,本公司對天津羅昇企業有限公司 提起債權請求之民事訴訟及財產保全案
29,2049,上銀,102/11/08,11:32:26,應證交所要求說明媒體報導
30,2049,上銀,102/11/13,11:13:42,應證交所要求說明媒體報導
31,2049,上銀,102/11/13,17:37:17,本公司董事會決議向台中市政府申購精密機械科技創新園區 二期產業用地，後續待市府發函辦理相關事項。
32,2049,上銀,102/11/14,16:00:59,公告本公司召開法說會
33,2049,上銀,102/11/18,11:07:39,應證交所要求說明媒體報導
34,2049,上銀,102/12/10,11:05:20,應證交所要求說明媒體報導
35,2049,上銀,102/12/16,11:18:32,應證交所要求說明媒體報導
