,公司代號,公司名稱,發言日期,發言時間,主旨
0,2103,台橡,106/03/16,17:28:31,公告本公司董事會決議召開106年股東常會相關事宜
1,2103,台橡,106/03/16,17:28:49,代子公司TSRC (Lux.) Corporation S.a'r.l.公告總經理異動
2,2103,台橡,106/03/16,17:34:35,董事會決議股利分派
3,2103,台橡,106/05/04,14:36:25,本公司公告董事會決議通過轉投資公司台耀石化材料科技 股份有限公司解散清算案
4,2103,台橡,106/05/31,15:14:02,代子公司TSRC (Lux.) Corporation S.a r.l.公告股東會召開事宜
5,2103,台橡,106/05/31,15:58:29,代子公司TSRC (Lux.) Corporation S.a r.l.公告股東會 重要決議事宜
6,2103,台橡,106/06/22,15:05:10,公告本公司106年度股東常會重要決議事項
7,2103,台橡,106/07/12,13:49:00,公告股利配發基準日
8,2103,台橡,106/07/18,13:34:53,補充本公司105年度年報部分資料說明
9,2103,台橡,106/08/03,19:01:03,本公司於子公司台橡(南通)實業有限公司投資增設SEBS新生產線
10,2103,台橡,106/08/04,13:31:38,代子公司Dexco Polymers Operating Company LLC公告 股東會召開事宜
11,2103,台橡,106/08/04,13:31:56,代子公司POLYBUS CORPORATION PTE LTD公告股東會召開事宜
12,2103,台橡,106/08/04,13:32:13,代子公司TSRC(Hong Kong) Limited公告股東會召開事宜
13,2103,台橡,106/08/04,14:50:00,代子公司Dexco Polymers Operating Company LLC公告 股東會重要決議事宜
14,2103,台橡,106/08/04,14:50:18,代子公司TSRC(Hong Kong)Limited公告股東會重要決議事宜
15,2103,台橡,106/08/25,14:00:10,代子公司Polybus Corporation Pte Ltd公告股東會重要決議事宜
16,2103,台橡,106/10/16,18:37:50,代子公司TSRC (Lux.) Corporation S.a r.l.公告股東會 召開事宜
17,2103,台橡,106/10/16,19:14:35,代子公司TSRC (Lux.) Corporation S.a r.l.公告股東會 重要決議事宜
18,2103,台橡,106/10/27,13:56:55,本公司召開法人說明會
19,2103,台橡,106/11/28,16:27:09,代子公司申華化學工業有限公司公告2016年盈餘分配案
20,2103,台橡,106/11/28,16:27:27,代子公司Dexco Polymers L.P.公告現金分配案
21,2103,台橡,106/11/30,15:23:46,代子公司TSRC (Lux) Corporation S.a'r.l.公告股東會 召開事宜
22,2103,台橡,106/11/30,16:21:28,代子公司TSRC (Lux) Corporation S.a'r.l.公告股東會 重要決議事宜
