,公司代號,公司名稱,發言日期,發言時間,主旨
0,2106,建大,104/01/05,18:42:52,公告本公司董事會決議授權董事長洽議在中部地區取得土地擴廠案
1,2106,建大,104/01/05,18:43:48,公告本公司董事會決議授權董事長於中部地區洽議研發中心土地案
2,2106,建大,104/01/13,18:45:45,公告本公司標購取得土地
3,2106,建大,104/01/22,11:11:46,澄清蘋果日報報導建大資訊
4,2106,建大,104/02/05,08:40:39,本公司之員林廠待出貨區火警
5,2106,建大,104/02/13,08:57:17,本公司董事會通過子公司-建豐貿易股份有限公司變更 公司名稱及增資案
6,2106,建大,104/03/02,11:16:01,澄清經濟日報報導建大資訊
7,2106,建大,104/03/03,15:53:17,更正本公司103年10月-104年1月背書保證公告資訊
8,2106,建大,104/03/19,10:51:02,澄清經濟日報報導建大資訊
9,2106,建大,104/03/25,19:10:44,公告本公司董事會決議通過103年度個體財務報表及合併財務報 表案。
10,2106,建大,104/03/25,19:11:20,本公司董事會召開一０四年股東常會公告
11,2106,建大,104/03/25,19:12:22,公告本公司董事會決議授權董事長洽議於越南同奈省租賃土地案
12,2106,建大,104/05/12,08:30:09,公告本公司董事會決議通過一○四年第一季合併財務報表案。
13,2106,建大,104/05/12,08:33:48,本公司一Ｏ四年度增資計劃
14,2106,建大,104/05/12,08:35:18,本公司董事會召開一O四年股東常會公告
15,2106,建大,104/05/12,08:39:10,董事會決議股利分派
16,2106,建大,104/05/12,08:42:44,本公司之雲林廠倉庫火警
17,2106,建大,104/06/01,16:30:17,代本公司子公司建大橡膠(中國)有限公司公告新任總經理
18,2106,建大,104/06/01,16:32:36,代本公司子公司建泰橡膠(深圳)有限公司公告新任總經理
19,2106,建大,104/06/02,08:48:42,代本公司子公司建大橡膠(天津)有限公司公告新任副總經理
20,2106,建大,104/06/09,16:25:16,本公司受邀參加統一證券國際法人部舉辦統一證券2015年2H投資展望說明會
21,2106,建大,104/06/12,16:30:16,本公司薪酬委員會任期屆滿解任
22,2106,建大,104/06/23,17:59:49,公告本公司一O四年股東常會重要決議事項
23,2106,建大,104/06/23,18:01:18,建大公司104年股東常會改選後新任董、監事資料
24,2106,建大,104/06/23,18:02:22,公告本公司解除董事競業行為限制
25,2106,建大,104/06/23,18:03:02,建大公司104年新任董事長、副董事長
26,2106,建大,104/08/11,19:39:13,公告本公司董事會決議通過一○四年第二季合併財務報表案。
27,2106,建大,104/08/11,19:39:54,董事會決議增資配股相關日期
28,2106,建大,104/08/11,19:40:27,公告本公司104年新任薪酬委員
29,2106,建大,104/08/11,19:41:12,補充公告本公司董事會通過於越南同奈省租賃土地案
30,2106,建大,104/08/11,19:41:42,公告本公司董事會通過子公司於建大橡膠(天津)有限公司增資案
31,2106,建大,104/08/11,19:52:59,"更正轉投資公司名稱本公司董事會授權董事長全權處理通過經由 子公司KENDA INTERNATIONAL CORPORATION轉投資KENDA GLOBAL  HOLDING CO., LTD轉投資建大中國投資有限公司"
32,2106,建大,104/08/11,19:53:36,"更正轉投資公司名稱代子公司KENDA INTERNATIONAL CORPORATION 轉投資KENDA GLOBAL HOLDING CO., LTD.轉投資建大中國投資有 限公司"
33,2106,建大,104/08/11,19:54:18,"更正轉投資公司名稱代子公司KENDA GLOBAL HOLDING CO., LTD轉 投資建大中國投資有限公司"
34,2106,建大,104/08/11,19:54:43,更正轉投資公司名稱代子公司建大中國投資有限公司轉投資建大 橡膠(中國)有限公司
35,2106,建大,104/08/11,20:00:52,"補充公告本公司董事會決議子公司KENDA GLOBAL INVESTMENT CORPORATION(KGI)所投資之KENJOU INVESTMENT CO., LTD.(KJI), 投資寧波井上華翔汽車零部件有限公司(IHX)案"
36,2106,建大,104/08/24,17:20:11,補充公告本公司103年11月12日董事會通過設立建大橡膠 (印尼)有限公司並取得印尼土地使用權案
37,2106,建大,104/08/27,11:26:27,澄清經濟日報報導建大資訊
38,2106,建大,104/09/21,14:50:32,澄清工商時報報導建大資訊
39,2106,建大,104/09/22,17:19:04,補充公告本公司與越南SONADEZI CORPORATION簽訂土地使用權 租賃合約
40,2106,建大,104/10/06,16:51:15,公告變更本公司現金股利發放日
41,2106,建大,104/10/20,17:01:30,本公司受邀參加群益證券2015年下半年投資論壇
42,2106,建大,104/11/12,17:55:18,公告本公司董事會決議通過一○四年第三季合併財務報表案。
43,2106,建大,104/11/12,17:57:22,公告本公司董事會通過建大橡膠(越南)有限公司增資案
