,公司代號,公司名稱,發言日期,發言時間,主旨
0,2201,裕隆,103/01/07,15:43:42,公告本公司處份華南永昌私募組合基金
1,2201,裕隆,103/02/11,18:40:59,澄清聯合晚報有關今年集團營收超越3500億報導
2,2201,裕隆,103/02/25,14:49:21,公告本公司取得德信飛龍基金
3,2201,裕隆,103/02/25,14:49:33,代子公司中國鑄管廠股份有限公司公告取得德信飛龍基金
4,2201,裕隆,103/02/25,14:49:43,代子公司裕朋實業股份有限公司公告取得德信飛龍基金
5,2201,裕隆,103/02/25,14:49:53,代子公司裕景實業股份有限公司公告取得德信飛龍基金
6,2201,裕隆,103/03/24,18:40:19,公告本公司股利配發基準日
7,2201,裕隆,103/03/24,18:40:38,本公司董事會決議召開股東常會
8,2201,裕隆,103/03/24,18:40:52,董事會決議股利分派
9,2201,裕隆,103/04/22,09:27:49,公告本公司取得凱基凱富基金
10,2201,裕隆,103/05/20,15:53:58,公告本公司取得華南永昌好吉祥基金
11,2201,裕隆,103/06/03,13:58:07,代子公司裕朋實業股份有限公司公告處分德信飛龍基金
12,2201,裕隆,103/06/03,14:15:17,本公司受邀參加凱基證券於103年6月4日舉辦之上市公司法人說明會
13,2201,裕隆,103/06/19,13:56:06,公告本公司103年股東常會重要決議事項
14,2201,裕隆,103/06/27,14:56:18,公告本公司處份凱基凱富基金
15,2201,裕隆,103/07/25,16:56:58,公告本公司七月二十五日臨時董事會重大決議
16,2201,裕隆,103/07/25,17:28:58,公告本公司取得資產
17,2201,裕隆,103/09/03,13:56:37,本公司受邀參加台灣證券交易所主辦之上市公司法人說明會，會中介紹本公司財務營運概況。
18,2201,裕隆,103/09/12,08:20:58,代子公司盛慶(北京)投資管理有限公司公告董事會決議 辦理現金增資
19,2201,裕隆,103/09/15,08:29:24,代子公司裕隆中國汽車投資有限公司公告董事會通過 認購盛慶北京公司現金增資案
20,2201,裕隆,103/09/19,18:29:22,公告本公司與誠品生活股份有限公司簽署合作暨租賃 意向協議書
21,2201,裕隆,103/09/23,08:18:44,代子公司永翰投資(股)有限公司公告董事會通過 吸收合併裕泓投資(股)有限公司及力大投資(股)有限公司案
22,2201,裕隆,103/10/07,17:24:05,公告本公司處份華南永昌好吉祥基金
23,2201,裕隆,103/12/02,13:58:57,本公司受邀參加富邦證券所主辦之上市公司法人說明會
24,2201,裕隆,103/12/22,18:03:07,公告本公司與威秀影城股份有限公司簽署合作意向書
25,2201,裕隆,103/12/22,18:06:39,公告本公司董事會通過對子公司納智捷汽車(股)公司進行現金增資
