,公司代號,公司名稱,發言日期,發言時間,主旨
0,2207,和泰車,100/01/19,13:23:39,公告更正本公司99年度12月份背書保證餘額事宜
1,2207,和泰車,100/01/26,15:34:07,澄清報載有關本公司九十九年獲利報導
2,2207,和泰車,100/02/08,16:03:27,澄清報載有關本公司99年度獲利報導
3,2207,和泰車,100/03/03,17:26:21,澄清媒體報導本公司預測性財務資訊
4,2207,和泰車,100/03/14,11:48:23,公告100/03/11日本東北震災豐田汽車之相關訊息
5,2207,和泰車,100/03/17,14:07:15,針對日本東北震災豐田汽車之最新訊息
6,2207,和泰車,100/03/25,16:46:14,代本公司之子公司和通汽車投資公司公告對大陸投資案
7,2207,和泰車,100/03/25,16:56:13,公告本公司董事會決議１００年股東常會召開 日期及召集事由
8,2207,和泰車,100/03/31,17:33:31,針對日本東北震災對本公司進貨之影響
9,2207,和泰車,100/04/22,14:10:20,日本東北震災對國瑞生產及本公司進貨之影響
10,2207,和泰車,100/04/27,17:22:06,公告本公司董事會決議九十九年度盈餘分配案
11,2207,和泰車,100/05/06,15:41:06,公告本公司99年度自結損益與會計師查核數差異說明
12,2207,和泰車,100/05/06,17:54:28,更正本公司99年第4季資金貸與餘額
13,2207,和泰車,100/05/09,16:14:12,"更正本公司100年1,2,3月資金貸與餘額"
14,2207,和泰車,100/05/11,14:27:33,日本東北震災對國瑞生產及本公司進貨影響之 近況說明
15,2207,和泰車,100/05/23,15:18:48,公告本公司法人監察人代表人變更事宜
16,2207,和泰車,100/06/17,15:08:54,更正原公告之100年股東常會議事手冊
17,2207,和泰車,100/06/24,16:26:32,公告本公司100年6月24日一００年股東常會重要決議事項
18,2207,和泰車,100/06/24,16:27:36,公告本公司一００年董事會及股東常會決議發放現金股利 相關事項
19,2207,和泰車,100/07/04,17:42:32,澄清媒體報導本公司獲利挑戰一個資本額
20,2207,和泰車,100/07/18,11:13:33,公告更正本公司100年6月份背書保證餘額事宜
21,2207,和泰車,100/07/18,15:37:31,澄清媒體報導本公司預測性財務資訊
22,2207,和泰車,100/07/22,17:09:08,公告本公司法人董事代表人變更
23,2207,和泰車,100/09/15,15:48:13,和泰汽車之子公司天津和裕豐田汽車銷售服務有限公司 資金貸與和通汽車投資有限公司超限乙案。
24,2207,和泰車,100/10/04,11:10:46,澄清媒體報導本公司預測性財務資訊
25,2207,和泰車,100/10/25,16:47:24,和泰汽車之子公司天津和裕豐田汽車銷售服務有限公司 資金貸與和通汽車投資有限公司超限乙案。
26,2207,和泰車,100/10/25,16:52:57,代本公司之子公司和通汽車投資公司公告對大陸投資案
27,2207,和泰車,100/10/25,16:58:21,代本公司之子公司和通汽車投資公司公告對大陸投資案
28,2207,和泰車,100/10/28,17:00:08,澄清媒體報導本公司今年拚賺一個股本
29,2207,和泰車,100/10/31,17:00:28,澄清媒體報導100 Q4每股估賺3.22元
30,2207,和泰車,100/11/01,14:40:00,公告本公司董事會決議成立薪酬委員會
31,2207,和泰車,100/11/10,16:06:34,澄清媒體報導年營收上看900億
32,2207,和泰車,100/11/30,13:42:01,公告本公司更換股務代理機構事宜
33,2207,和泰車,100/12/02,17:10:47,澄清媒體報導本公司市佔率、營收及每股純益
34,2207,和泰車,100/12/16,14:13:27,更正本公司100年Q3大陸投資資訊本期認列投資(損)益
35,2207,和泰車,100/12/19,17:34:31,澄清媒體報導本公司每股EPS
