,公司代號,公司名稱,發言日期,發言時間,主旨
0,2227,裕日車,109/03/24,17:11:46,公告本公司董事會會議重要內容
1,2227,裕日車,109/03/24,17:12:38,公告本公司董事會決議召開股東常會相關事宜
2,2227,裕日車,109/03/24,17:13:17,公告本公司董事會通過108年度員工酬勞分配
3,2227,裕日車,109/04/09,14:10:48,公告本公司法人董事改派代表人
4,2227,裕日車,109/04/28,15:04:27,公告本公司董事會會議重要內容
5,2227,裕日車,109/04/28,15:10:12,董事會決議股利分派
6,2227,裕日車,109/04/28,15:12:54,補充公告本公司董事會決議召開股東常會相關事宜(增列議案)
7,2227,裕日車,109/05/12,17:21:56,公告本公司董事會會議重要內容
8,2227,裕日車,109/05/12,17:23:17,補充公告本公司董事會決議召開股東常會相關事宜(增列議案)
9,2227,裕日車,109/05/19,13:29:39,本公司受邀參加由富邦證券舉辦之法人說明會
10,2227,裕日車,109/06/19,09:54:33,公告本公司109年股東常會重要決議事項
11,2227,裕日車,109/06/19,09:56:41,公告本公司股東會決議股利配發基準日
12,2227,裕日車,109/06/19,09:59:06,本公司股東常會決議解除董事競業禁止之限制
13,2227,裕日車,109/06/19,10:39:08,公告本公司董事會會議重要內容
14,2227,裕日車,109/06/19,10:40:17,公告本公司董事會決議解除本公司經理人競業禁止
15,2227,裕日車,109/06/20,11:03:01,澄清109/06/20『工商時報』B04版有關報導
16,2227,裕日車,109/07/01,15:15:28,公告本公司代理發言人異動
17,2227,裕日車,109/08/04,16:50:47,公告本公司董事會會議重要內容
18,2227,裕日車,109/09/17,11:32:16,澄清109/09/17 工商時報B04版、自由時報A10版、蘋果日報 B2版有關報導
