,公司代號,公司名稱,發言日期,發言時間,主旨
0,2233,宇隆,100/03/10,18:07:21,公告本公司董事會決議召開一百年股東常會事宜
1,2233,宇隆,100/03/10,18:08:21,公告宇隆科技股份有限公司一百年股東常會受理股東提案權
2,2233,宇隆,100/03/10,18:08:43,公告本公司董事會決議解除經理人競業禁止限制案
3,2233,宇隆,100/03/10,18:09:03,公告本公司董事之法人代表人異動
4,2233,宇隆,100/03/10,18:09:19,公告本公司董事會決議通過擬辦理現金增資發行新股 作為上櫃前公開承銷之股份來源案。
5,2233,宇隆,100/03/14,17:06:02,公告日本發生強震對本公司財務及業務無重大影響
6,2233,宇隆,100/04/28,13:06:07,補充公告本公司董事會決議召開一百年股東常會事宜
7,2233,宇隆,100/04/28,13:08:16,公告本公司董事會決議通過99年度盈餘分配案
8,2233,宇隆,100/04/28,13:13:43,公告本公司法人董事之代表人異動
9,2233,宇隆,100/04/28,16:46:09,公告本公司盈餘轉增資暨員工紅利發行新股案
10,2233,宇隆,100/05/27,18:45:43,本公司公告申請股票上櫃之內部控制專案審查報告
11,2233,宇隆,100/06/02,10:14:11,澄清說明100年6月2日鉅亨網報導
12,2233,宇隆,100/06/09,16:21:32,公告本公司100年度股東常會重要決議事項
13,2233,宇隆,100/07/14,10:29:46,公告本公司董事會決議成立薪酬委員會
14,2233,宇隆,100/07/14,18:55:03,公告本公司董事會決議訂定除權息基準日
15,2233,宇隆,100/08/02,17:54:24,公告本公司內部稽核主管異動
16,2233,宇隆,100/08/23,18:11:19,公告本公司董事會決議辦理現金增資發行新股 作為上櫃新股承銷之相關事宜
17,2233,宇隆,100/08/23,18:11:45,公告本公司董事會決議通過內部稽核主管任用
18,2233,宇隆,100/08/23,18:12:10,公告本公司董事會承認100年上半年度財務報表暨合併財務報表
19,2233,宇隆,100/08/23,18:33:25,公告本公司董事之法人代表人異動
20,2233,宇隆,100/08/23,18:33:55,本公司增加間接增資對大陸地區投資事業 浙江宇鑽精密元件有限公司
21,2233,宇隆,100/08/26,15:30:33,澄清說明100年8月24日鉅亨網報導
22,2233,宇隆,100/08/26,16:09:12,公告本公司因會計師查核調整100年06月至100年07月之營收
23,2233,宇隆,100/09/06,18:06:50,公告本公司召開法說會相關內容
24,2233,宇隆,100/09/16,18:08:14,公告本公司召開法說會相關內容
25,2233,宇隆,100/09/16,18:08:48,公告本公司召開法說會相關內容
26,2233,宇隆,100/10/03,15:50:32,公告本公司初次上櫃現金增資委託代收及存儲價款專戶
27,2233,宇隆,100/10/03,18:25:50,更正-公告本公司初次上櫃現金增資委託代收及存儲價款專戶誤植
28,2233,宇隆,100/10/05,15:10:19,公告本公司股務代理機構名稱、辦公處所及聯絡電話
29,2233,宇隆,100/10/11,17:30:28,澄清說明100年10月11日鉅亨網報導
30,2233,宇隆,100/10/15,17:41:57,本公司重新辦理股票初次上櫃現金增資公開承銷公告
31,2233,宇隆,100/10/26,20:39:43,澄清說明100年10月26日經濟日報B1版報導
32,2233,宇隆,100/11/01,09:47:50,澄清說明100年11月01日工商時報CC3版報導
33,2233,宇隆,100/11/07,15:28:04,公告本公司股票初次上櫃前現金增資發行新股承銷價格訂定 及現金增資相關事宜
34,2233,宇隆,100/11/07,15:48:21,公告本公司薪酬委員會成員異動
35,2233,宇隆,100/11/11,08:18:23,公告本公司一百年現金增資收足股款暨增資基準日
36,2233,宇隆,100/11/11,21:48:25,本公司股票終止興櫃買賣及轉上櫃買賣公告
37,2233,宇隆,100/11/16,17:51:02,澄清說明100年11月7日鉅亨網報導
38,2233,宇隆,100/11/16,17:52:26,澄清說明100年11月14日鉅亨網報導
39,2233,宇隆,100/11/23,17:07:22,公告本公司薪酬委員會成員異動
