,公司代號,公司名稱,發言日期,發言時間,主旨
0,2241,艾姆勒,107/01/24,17:53:48,本公司受邀參加永豐金證券舉辦之法人說明會
1,2241,艾姆勒,107/01/24,18:21:57,本公司董事會決議召開107年股東常會相關事宜
2,2241,艾姆勒,107/04/24,18:50:00,公告本公司代理發言人異動
3,2241,艾姆勒,107/04/24,18:53:37,本公司受邀參加永豐金證券舉辦之法人說明會
4,2241,艾姆勒,107/04/24,19:11:15,董事會決議股利分派
5,2241,艾姆勒,107/04/30,17:49:33,公告本公司營運主管及研發主管異動
6,2241,艾姆勒,107/05/11,17:30:37,(更正及補充)107/4/24公告本公司代理發言人異動
7,2241,艾姆勒,107/05/11,17:31:25,補充公告107/4/30本公司營運主管及研發主管異動
8,2241,艾姆勒,107/06/14,17:35:32,公告本公司107年股東會重要決議事項
9,2241,艾姆勒,107/06/14,17:49:36,公告本公司107年度股東常會董事(含獨立董事)當選名單
10,2241,艾姆勒,107/06/14,17:50:40,公告本公司107年股東常會決議解除新任董事 及其代表人競業禁止之限制案
11,2241,艾姆勒,107/06/14,17:51:12,公告本公司第一屆薪資報酬委員會委員任期屆滿
12,2241,艾姆勒,107/06/14,17:51:50,公告本公司第一屆審計委員會任期屆滿及第二屆審計委員名單
13,2241,艾姆勒,107/06/14,17:52:23,公告本公司董事會選任董事長
14,2241,艾姆勒,107/07/02,15:47:54,本公司與應華精密科技股份有限公司將合資投資控股公司， 共同於中國市場開發新能源車散熱模組業務。
15,2241,艾姆勒,107/07/24,17:40:09,本公司受邀參加永豐金證券舉辦之法人說明會
16,2241,艾姆勒,107/07/30,17:26:40,公告本公司法人董事改派代表人
17,2241,艾姆勒,107/08/08,18:43:51,本公司與應華精密科技(股)公司將合資投資控股公司，公告 本公司董事會授權董事長相關事宜
18,2241,艾姆勒,107/10/23,17:29:59,本公司受邀參加永豐金證券舉辦之法人說明會
19,2241,艾姆勒,107/10/24,17:18:56,公告本公司董事會決議發行員工認股權憑證
20,2241,艾姆勒,107/10/24,17:19:33,公告本公司內部稽核主管異動
21,2241,艾姆勒,107/11/15,17:18:57,公告本公司董事會追認修訂107年度第一次員工認股權憑證 發行及認股辦法
22,2241,艾姆勒,107/11/20,18:26:46,公告本公司違反勞動基準法罰鍰事宜
