,公司代號,公司名稱,發言日期,發言時間,主旨
0,2301,光寶科,102/01/08,16:39:52,光寶科技母公司本業十二月份全球合併營收
1,2301,光寶科,102/01/09,15:33:22,說明1月9日媒體報導
2,2301,光寶科,102/01/21,16:20:09,本公司受法人拜訪說明公司簡介，應交易所規定，特此公告。
3,2301,光寶科,102/01/30,18:33:18,"本公司董事會通過,本公司透過子公司寶源股份有限公司併購 建興電子"
4,2301,光寶科,102/01/30,19:06:35,本公司代子公司寶源公司公告公開收購建興電子科技股份 有限公司之普通股股份
5,2301,光寶科,102/01/30,19:07:08,本公司舉辦線上法說會
6,2301,光寶科,102/01/30,19:10:39,公開收購建興電子科技股份有限公司普通股
7,2301,光寶科,102/01/30,20:12:43,依資金貸與及背書保證處理準則第二十二條第一項第二款 及第三款之規定公告資金貸與相關事宜
8,2301,光寶科,102/01/30,20:13:01,依資金貸與及背書保證處理準則第二十五條第一項第四款之規定 公告背書保證相關事宜
9,2301,光寶科,102/02/01,16:06:29,代子公司公告子公司間相互取得與處份資產交易
10,2301,光寶科,102/02/04,17:32:24,本公司董事會決議調整集團後續整併計畫
11,2301,光寶科,102/02/04,17:33:02,公開收購建興電子科技股份有限公司普通股(修改其他事項)
12,2301,光寶科,102/02/04,18:46:10,補充說明102年1月30日依資金貸與及背書保證處理準則第二十五條 第一項第四款之規定公告背書保證相關事宜
13,2301,光寶科,102/02/04,18:46:37,補充說明102年1月30日依資金貸與及背書保證處理準則第二十二條 第一項第二款及第三款之規定公告資金貸與相關事宜
14,2301,光寶科,102/02/05,18:19:41,光寶科技公司本業相關產品元月份全球合併營收
15,2301,光寶科,102/02/06,18:35:31,修正102年2月4日依資金貸與及背書保證處理準則 第二十二條第一項第二款及第三款之規定公告資金貸與相關事宜
16,2301,光寶科,102/02/06,18:35:53,修正102年2月4日依資金貸與及背書保證處理準則第二十五條 第一項第四款之規定公告背書保證相關事宜
17,2301,光寶科,102/02/22,17:37:45,受邀參加券商舉辦之海外法人說明會
18,2301,光寶科,102/02/22,17:48:39,公平交易委員會不禁止本公司、本公司子公司寶源公 司與建興電子結合案
19,2301,光寶科,102/02/26,18:17:17,美國競爭法主管機關同意本公司與建興電子結合案
