,公司代號,公司名稱,發言日期,發言時間,主旨
0,2302,麗正,100/03/11,17:38:26,係公告日本今日（3/11）下午1點46分左右發生芮氏規模8.9強震 對本公司之財務業務並無重大影響。
1,2302,麗正,100/04/06,14:58:28,召開一００年股東常會公告
2,2302,麗正,100/04/06,15:16:11,"本公司99年度股東常會決議以私募方式辦理現金增資發行 壹億股,屆期不繼續辦理。"
3,2302,麗正,100/04/29,14:07:58,補充召開一００年股東常會公告
4,2302,麗正,100/04/29,14:13:41,公告本公司決議分派股利之事宜
5,2302,麗正,100/05/06,15:54:36,更正補充召開一００年股東常會公告
6,2302,麗正,100/06/10,15:11:17,公告本公司100年5月份自結報表高流動資產、短期借款及一年內 到期長期負債等財務資訊。
7,2302,麗正,100/06/24,13:14:12,公告本公司100年股東常會重要決議事項
8,2302,麗正,100/06/24,13:27:14,公告本公司100年度股東常會補選監察人
9,2302,麗正,100/07/08,14:35:23,公告本公司100年6月份自結報表高流動資產、短期借款及一年內 到期長期負債等財務資訊。
10,2302,麗正,100/07/12,15:41:43,本公司之重要子公司麗正電子(中國)有限公司100年6月營收公告累 計值更正。
11,2302,麗正,100/07/22,09:26:04,補正本公司九十九年度年報部分資料
12,2302,麗正,100/08/03,11:34:34,公告本公司100年第1季合併財務報告附註十、母子公司間業務關係 及重要交易往來情形揭露金額誤植更正
13,2302,麗正,100/08/05,15:10:13,本司99年度盈餘轉增資發行新股暨配發現金股利公告
14,2302,麗正,100/08/10,13:17:50,公告本公司100年7月份自結報表高流動資產、短期借款及一年內 到期長期負債等財務資訊。
15,2302,麗正,100/09/01,15:35:25,公告本公司法人監察人改派代表人
16,2302,麗正,100/09/09,16:48:23,公告本公司100年8月份自結報表高流動資產、短期借款及一年內 到期長期負債等財務資訊。
17,2302,麗正,100/09/23,16:48:30,更正本公司(1)100年第1季財報、100年上半年度財報及合併 財報資金貸與他人附註揭露事項(2)100年1月至100年8月月資金 貸與資訊揭露明細表。
18,2302,麗正,100/10/07,16:06:26,公告本公司100年9月份自結報表高流動資產、短期借款及一年內 到期長期負債等財務資訊。
19,2302,麗正,100/12/26,13:17:50,公告本公司更換股務代理機構事宜
20,2302,麗正,100/12/30,13:53:34,公告本公司董事會決議成立薪酬委員會
