,公司代號,公司名稱,發言日期,發言時間,主旨
0,2305,全友,106/02/16,02:06:25,公告本公司董事會通過重編民國104年度之個體財務報告 及合併財務報告及105年前3季各期財務報告
1,2305,全友,106/02/20,19:22:35,公告本公司奉主管機關來函令重編民國105年前三季各期 合併財務季報告事宜
2,2305,全友,106/02/21,14:20:24,補充說明106年2月16日公告106年2月15日重編104年度財報 及105年前三季財報緣由並更正會計師查核意見部份文字
3,2305,全友,106/02/21,18:04:24,本公司擬訂於106年5月17日(星期三)上午9時，假新竹市科 學工業園區工業東三路6號本公司會議室，召開105年度股東常會
4,2305,全友,106/02/21,18:22:30,更正今日重訊序號2主旨應為召開106年股東常會
5,2305,全友,106/03/07,17:33:07,公告本公司董事會通過再次重編105年前3季各期財務報告
6,2305,全友,106/03/23,14:51:33,公告本公司董事會通過決議不分派股利
7,2305,全友,106/05/17,15:06:45,本公司民國一Ο六年股東常會重要決議事項
8,2305,全友,106/05/17,15:09:25,本公司106年股東常會全面改選董事(含獨董)當選名單
9,2305,全友,106/05/17,15:11:03,本公司106年股東常會決議解除董事競業之限制
10,2305,全友,106/05/17,15:11:46,本公司成立審計委員會
11,2305,全友,106/05/17,15:12:13,本公司第二屆薪資報酬委員會委員任期屆滿
12,2305,全友,106/05/24,17:15:57,代重要子公司全友電腦科技(吳江)有限公司公告取得理財商品
13,2305,全友,106/05/25,15:21:03,本公司董事會決議選任董事長及副董事長
14,2305,全友,106/05/25,15:23:28,本公司董事會決議委任第三屆薪酬委員會委員
15,2305,全友,106/07/06,15:49:45,代重要子公司全友電腦科技(吳江)有限公司公告處分理財商品
16,2305,全友,106/07/18,14:58:01,代重要子公司全友電腦科技(吳江)有限公司公告董事會 決議不分配股利
17,2305,全友,106/07/21,15:40:23,代重要子公司上海中晶科技有限公司公告取得理財商品
18,2305,全友,106/07/21,15:44:30,代重要子公司上海中晶科技有限公司公告董事會決議發放 股利
19,2305,全友,106/07/24,17:05:35,代重要子公司上海中晶科技有限公司公告贖回理財商品
20,2305,全友,106/08/25,14:37:30,代重要子公司全友電腦科技(吳江)有限公司公告認列處分 土地使用權及廠房附屬設備利益
21,2305,全友,106/08/25,17:02:31,代重要子公司上海嘉慧光電子技術有限公司公告董事會 決議發放股利
22,2305,全友,106/10/24,15:12:35,代重要子公司全友電腦科技(吳江)有限公司公告取得理財商品
23,2305,全友,106/12/20,14:27:11,公告本公司召開法人說明會相關資訊
