,公司代號,公司名稱,發言日期,發言時間,主旨
0,2313,華通,107/01/02,13:53:52,代重要子公司華通電腦(惠州)有限公司公告董事會決議 盈餘分配案
1,2313,華通,107/01/30,09:01:26,說明1/30經濟日報C4版
2,2313,華通,107/02/02,13:43:56,代子公司華通精密線路板(惠州)有限公司公告購買機器設備
3,2313,華通,107/02/23,13:58:37,本公司財務主管屆齡退休異動公告
4,2313,華通,107/03/08,15:07:59,董事會決議召開107年股東常會公告
5,2313,華通,107/03/08,15:08:25,董事會決議股利分派
6,2313,華通,107/03/08,15:09:00,公告本公司背書保證餘額符合公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第一款
7,2313,華通,107/03/08,15:09:34,代子公司公告董監事變動
8,2313,華通,107/03/09,11:48:04,說明3/9經濟日報C4版
9,2313,華通,107/03/13,15:02:31,代子公司華通電腦(惠州)有限公司公告購買機器設備
10,2313,華通,107/03/14,08:39:34,本公司參加法人說明會相關資訊
11,2313,華通,107/04/16,10:19:36,說明4/16經濟日報C1版
12,2313,華通,107/05/03,14:19:09,公告本公司董事會通過財務主管異動
13,2313,華通,107/05/03,14:20:19,公告本公司背書保證餘額符合公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第一款
14,2313,華通,107/05/03,14:22:09,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第三款
15,2313,華通,107/05/03,14:23:19,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第二款第四款
16,2313,華通,107/05/03,14:24:07,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第二款第三款
17,2313,華通,107/05/03,14:24:57,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第二款第三款第四款
18,2313,華通,107/05/11,13:40:11,代子公司華通電腦(重慶)有限公司公告購買機器設備
19,2313,華通,107/05/23,13:46:06,代子公司華通精密線路板(惠州)有限公司公告購買機器設備
20,2313,華通,107/06/14,14:49:15,本公司107年股東常會重大決議
21,2313,華通,107/06/14,14:50:03,公告本公司董事會決議除息基準日
22,2313,華通,107/07/18,16:28:09,係因本公司有價證券於集中交易市場達公布注意交易資訊標 準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
23,2313,華通,107/08/03,14:02:26,公告本公司董事會通過107年度第二季合併財務報表損益數據 摘錄
24,2313,華通,107/08/03,14:07:37,公告本公司背書保證餘額符合公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第一款
25,2313,華通,107/08/03,14:09:20,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第三款第四款
26,2313,華通,107/08/03,14:10:12,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第二款第三款
27,2313,華通,107/08/03,14:11:45,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第二款第三款
28,2313,華通,107/09/06,15:18:31,代子公司華通電腦(重慶)有限公司公告董監事改選名單
29,2313,華通,107/10/30,14:11:39,代重要子公司公告董事會決議盈餘分配案 盈餘分配案
30,2313,華通,107/10/30,14:12:01,代重要子公司公告盈餘分派除息基準日訂定 股利配發基準日
31,2313,華通,107/11/02,13:51:10,公告本公司董事會通過107年度第三季合併財務報表損益數據 摘錄
32,2313,華通,107/11/02,13:52:42,公告本公司背書保證餘額符合公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第一款
33,2313,華通,107/11/02,13:53:53,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第三款
34,2313,華通,107/11/02,13:54:38,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第三款
35,2313,華通,107/11/02,13:55:21,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第二款第三款
36,2313,華通,107/11/02,13:56:11,公告本公司對單一企業背書保證餘額符合公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第二款第三款
