,公司代號,公司名稱,發言日期,發言時間,主旨
0,2324,仁寶,102/01/22,15:53:05,本公司澄清民國102年1月22日媒體報導內容
1,2324,仁寶,102/01/29,19:04:16,公告處分頎邦科技股份有限公司股票
2,2324,仁寶,102/01/31,15:27:53,董事會決議參與威寶電信(股)公司現金增資
3,2324,仁寶,102/03/11,17:44:30,仁寶參加美林證券舉辦之法人說明會
4,2324,仁寶,102/03/25,18:20:58,董事會決議參與威寶電信(股)公司現金增資
5,2324,仁寶,102/03/25,18:22:21,公告董事會決議召集102年股東常會事宜
6,2324,仁寶,102/03/25,20:50:09,本公司董事會決議通過買回本公司股份
7,2324,仁寶,102/03/29,17:09:44,修訂本公司董事會決議通過買回本公司股份
8,2324,仁寶,102/03/29,18:27:39,仁寶電腦本日董事會通過101年度財務報表
9,2324,仁寶,102/03/29,18:29:14,本公司對大同股份有限公司提起仲裁案相關說明
10,2324,仁寶,102/04/03,15:32:03,公告本公司買回股份之金額達新台幣三億元以上
11,2324,仁寶,102/04/30,18:14:29,知悉董事從事大陸地區之競業情形
12,2324,仁寶,102/05/08,18:57:42,仁寶電腦工業股份有限公司舉辦102年第一季營運結果法人說明會
13,2324,仁寶,102/05/09,16:43:03,仁寶電腦本日董事會通過102年第一季財務報表
14,2324,仁寶,102/05/09,16:48:34,公告本公司董事會決議許可經理人之競業情形
15,2324,仁寶,102/05/09,16:50:18,仁寶電腦董事會通過欣寶電子股份有限公司與 頎邦科技股份有限公司股份轉換案
16,2324,仁寶,102/05/09,16:51:26,董事會決議股利分派
17,2324,仁寶,102/05/10,16:30:22,公告本公司買回股份之金額達新台幣三億元以上
18,2324,仁寶,102/05/16,16:32:40,公告本公司買回股份之金額達新台幣三億元以上
19,2324,仁寶,102/05/17,14:50:22,仁寶參加德意志銀行舉辦之法人說明會
20,2324,仁寶,102/05/24,18:20:29,仁寶參加大和國泰證券舉辦之法人說明會
21,2324,仁寶,102/05/25,14:05:39,公告本公司買回本公司股份期間屆滿之相關資料
22,2324,仁寶,102/06/03,15:48:09,公告102年6月2日地震對本公司財務或業務並無重大影響
23,2324,仁寶,102/06/18,10:50:17,補正本公司101年度年報資料
24,2324,仁寶,102/06/21,17:10:49,公告本公司102年股東常會重要決議事項
25,2324,仁寶,102/06/21,17:11:10,公告本公司102年股東常會增選第十一屆董事1人
26,2324,仁寶,102/06/21,17:11:28,公告本公司股東會決議許可董事之競業情形
27,2324,仁寶,102/06/21,17:11:47,公告本公司董事會決議股息發放事宜
28,2324,仁寶,102/06/26,17:54:48,仁寶參加UBS舉辦之法人說明會
29,2324,仁寶,102/07/22,16:45:51,調整本公司現金股利配息比率事宜
30,2324,仁寶,102/08/01,13:52:06,本公司澄清民國102年8月1日媒體報導內容
31,2324,仁寶,102/08/12,16:21:06,董事會決議參與威寶電信(股)公司現金增資
