,公司代號,公司名稱,發言日期,發言時間,主旨
0,2328,廣宇,102/01/09,15:29:13,本公司101年十二月份營收及合併營收公告
1,2328,廣宇,102/03/15,17:14:54,監察人變動
2,2328,廣宇,102/03/25,18:19:59,董事會決議召開102年股東常會公告
3,2328,廣宇,102/03/27,15:53:05,公告今日地震對本公司財務業務並無重大影響
4,2328,廣宇,102/04/17,16:12:42,董事會決議盈餘及員工紅利轉增資發行新股
5,2328,廣宇,102/04/17,16:12:59,董事會決議股利分派
6,2328,廣宇,102/05/17,17:23:39,本公司102年第一季關係人交易申報數與會計師查核 （核閱）數差異說明
7,2328,廣宇,102/06/11,17:34:01,本公司監察人補選公告
8,2328,廣宇,102/06/11,17:39:01,公告本公司102年股東常會重要決議事項
9,2328,廣宇,102/07/18,13:30:54,公告本公司董事會決議102年除權除息基準日
10,2328,廣宇,102/07/18,13:31:05,公告修正本公司101年度年報部份內容
11,2328,廣宇,102/11/13,18:02:27,處分大陸地區投資事業富柏工業 (深圳)有限公司
