,公司代號,公司名稱,發言日期,發言時間,主旨
0,2329,華泰,107/01/31,17:17:17,公告本公司106年12月自結合併財務報表中高流動性資產 及短期借款明細
1,2329,華泰,107/02/27,15:57:32,公告本公司107年1月自結合併財務報表中高流動性資產 及短期借款明細
2,2329,華泰,107/03/28,17:07:37,本公司董事會決議107年股東常會召開事宜
3,2329,華泰,107/03/28,17:09:33,"代本公司之子公司OSE PHILIPPINES, INC.公告資金貸與 OSE PROPERTIES, INC.新台幣132,003千元之改善計畫。"
4,2329,華泰,107/03/28,17:10:24,本公司董事會決議不分派股利
5,2329,華泰,107/03/30,16:52:21,公告本公司107年2月自結合併財務報表中高流動性資產 及短期借款明細
6,2329,華泰,107/04/27,16:17:31,公告本公司107年3月自結合併財務報表中高流動性資產 及短期借款明細
7,2329,華泰,107/05/08,17:21:43,"代本公司之子公司OSE PHILIPPINES, INC.公告資金貸與 OSE PROPERTIES, INC.新台幣132,003千元之改善計畫。"
8,2329,華泰,107/05/15,16:01:12,本公司董事會決議107年股東常會召開事宜(新增議案)
9,2329,華泰,107/05/15,16:01:28,公告本公司董事會決議辦理減資彌補虧損
10,2329,華泰,107/05/15,16:02:10,公告本公司董事會決議發行限制員工權利新股
11,2329,華泰,107/05/31,16:11:47,公告本公司107年4月自結合併財務報表中高流動性資產 及短期借款明細
12,2329,華泰,107/06/01,16:11:13,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
13,2329,華泰,107/06/29,15:43:03,公告本公司107年股東常會重要決議事項
14,2329,華泰,107/06/29,15:43:27,公告本公司107年5月自結合併財務報表中高流動性資產 及短期借款明細
15,2329,華泰,107/07/05,14:34:15,本公司減資致債權人公告
16,2329,華泰,107/07/13,18:04:33,公告更正本公司106年度年報部份資料內容
17,2329,華泰,107/07/31,14:49:37,公告本公司107年6月自結合併財務報表中高流動性資產 及短期借款明細
18,2329,華泰,107/08/13,17:05:52,"代本公司之子公司OSE PHILIPPINES, INC.公告資金貸與 OSE PROPERTIES, INC.新台幣132,003千元之改善計畫。"
19,2329,華泰,107/08/13,17:06:10,公告本公司董事會決議授權董事長訂定 減資基準日及減資換發股票基準日等減資相關事宜
20,2329,華泰,107/08/31,17:03:00,公告本公司董事長訂定減資基準日
21,2329,華泰,107/08/31,17:03:47,公告本公司107年7月自結合併財務報表中高流動性資產 及短期借款明細
22,2329,華泰,107/09/28,16:54:10,公告本公司107年8月自結合併財務報表中高流動性資產 及短期借款明細
23,2329,華泰,107/10/09,18:22:47,公告本公司減資彌補虧損辦理資本變更登記完成
24,2329,華泰,107/10/09,18:24:48,公告本公司董事長訂定減資換發股票基準日暨換發 股票作業計畫等相關事宜
25,2329,華泰,107/10/31,17:09:15,公告本公司107年9月自結合併財務報表中高流動性資產 及短期借款明細
26,2329,華泰,107/11/13,15:48:28,"代本公司之子公司OSE PHILIPPINES, INC.公告資金貸與 OSE PROPERTIES, INC.新台幣132,003千元之改善計畫。"
27,2329,華泰,107/11/13,15:49:16,公告本公司董事會決議通過會計主管異動
28,2329,華泰,107/11/29,16:56:55,本公司受邀參加元大證券舉辦之法人說明會
29,2329,華泰,107/11/30,15:42:41,公告本公司107年10月自結合併財務報表中高流動性資產 及短期借款明細
30,2329,華泰,107/12/03,10:46:34,澄清媒體報導
31,2329,華泰,107/12/28,14:00:20,公告本公司107年11月自結合併財務報表中高流動性資產 及短期借款明細
