,公司代號,公司名稱,發言日期,發言時間,主旨
0,2332,友訊,101/01/11,13:58:22,友訊科技參加瑞士信貸證券台灣投資論壇相關資訊
1,2332,友訊,101/02/17,15:04:30,友訊科技舉辦100年第四季營運結果法人說明會
2,2332,友訊,101/03/01,18:13:56,本公司董事會決議召開一○一年股東常會
3,2332,友訊,101/03/03,14:42:55,說明有關媒體報導本公司事宜
4,2332,友訊,101/03/03,14:45:51,說明有關媒體報導本公司事宜
5,2332,友訊,101/03/12,13:36:58,友訊科技參加美林證券投資人會議相關資訊
6,2332,友訊,101/04/02,15:32:17,更正本公司100年12月衍生性商品交易公告內容。
7,2332,友訊,101/04/05,15:53:26,本公司之子公司D-Link International 新增對本公司資金貸與額度
8,2332,友訊,101/04/17,10:00:36,友訊科技舉辦101年第一季營運結果法人說明會
9,2332,友訊,101/04/24,09:49:28,更正本公司101年03月關係人交易公告內容。
10,2332,友訊,101/04/26,18:11:34,本公司董事會決議發放現金股利案
11,2332,友訊,101/05/07,14:36:56,友訊科技參加花旗環球證券台灣投資人會議相關資訊
12,2332,友訊,101/05/08,09:58:23,代子公司D-Link International更正101年01~03月 資金貸與限額公告內容。
13,2332,友訊,101/05/11,14:32:16,本公司薪酬委員會委員異動案
14,2332,友訊,101/05/11,16:08:00,更正本公司薪酬委員會委員異動案
15,2332,友訊,101/05/22,16:41:12,代子公司D-Link International公告減資相關事宜
16,2332,友訊,101/05/30,15:39:53,友訊科技參加法國巴黎百富勤證券亞洲投資人會議相關資訊
17,2332,友訊,101/06/01,14:34:31,代子公司D-Link International公告其於101年3月底 對本公司資金貸與額度超過其淨值40％之改善情形
18,2332,友訊,101/06/22,14:49:46,公告本公司101年股東常會重要決議事項
19,2332,友訊,101/06/22,14:50:01,本公司101年股東常會補選董事一席案選舉結果公告
20,2332,友訊,101/06/22,14:50:13,公告本公司法人董事之代表人異動
21,2332,友訊,101/06/22,14:50:26,公告本公司董事會改選董事長案
22,2332,友訊,101/06/22,14:50:38,公告本公司民國101年除息基準日
23,2332,友訊,101/06/22,14:50:51,公告本公司法人監察人之代表人異動
24,2332,友訊,101/06/22,16:58:51,第8次買回本公司股份
25,2332,友訊,101/07/06,17:43:12,公告本公司調整國內第三次無擔保轉換公司債轉換價格
26,2332,友訊,101/08/16,15:30:04,友訊科技舉辦101年第二季營運結果法人說明會
27,2332,友訊,101/08/22,15:32:20,公告本公司買回本公司股份期間屆滿之相關資料
28,2332,友訊,101/09/04,13:52:57,友訊科技參加瑞士信貸證券投資人會議相關資訊
29,2332,友訊,101/09/07,18:19:35,代子公司DI補公告董事會決議董事變動案
30,2332,友訊,101/09/07,18:19:49,代子公司DI補公告董事會決議董事變動案
31,2332,友訊,101/09/07,18:20:02,代子公司DI補公告董事會決議董事任期屆滿改選案
32,2332,友訊,101/10/18,15:04:55,說明有關媒體報導本公司事宜
33,2332,友訊,101/10/30,19:05:56,友訊第九次買回本公司股份案
34,2332,友訊,101/12/12,16:54:55,公告本公司第九次買回本公司股份期間未滿已執行完畢之相關資 料
