,公司代號,公司名稱,發言日期,發言時間,主旨
0,2337,旺宏,109/01/02,17:39:19,本公司訂購廠務工程公告
1,2337,旺宏,109/01/08,14:18:53,本公司召開2019年第四季法人說明會
2,2337,旺宏,109/02/04,19:53:33,本公司訂購機器設備公告
3,2337,旺宏,109/02/17,18:02:18,本公司第11屆第4次董事會決議「限制員工權利新股」註銷 之減資基準日
4,2337,旺宏,109/02/18,20:50:11,本公司2019年第四季營運報告
5,2337,旺宏,109/02/24,14:13:36,本公司受邀參加國泰證券舉辦之「記憶體及電子元件產業座談會」
6,2337,旺宏,109/03/06,15:11:24,本公司第11屆第5次董事會決議核可 「六吋晶圓廠淘汰停產」
7,2337,旺宏,109/03/06,16:15:12,董事會通過2020年股利分派案並提請本公司股東會決議
8,2337,旺宏,109/03/06,16:15:27,董事會通過辦理國內現金增資、現金增資發行新股參與發行 海外存託憑證案並提請本公司股東會決議
9,2337,旺宏,109/03/06,16:15:43,董事會通過私募普通股或私募國內或海外轉換公司債案並提 請股東會決議
10,2337,旺宏,109/03/06,16:15:55,本公司第11屆第5次董事會通過召集一○九年股東常會
11,2337,旺宏,109/04/10,14:25:20,本公司召開2020年第一季法人說明會
12,2337,旺宏,109/04/29,16:23:16,本公司2020年第一季營運報告
13,2337,旺宏,109/05/27,14:02:23,本公司受邀參加花旗證券舉辦之「花旗證券亞太科技論壇」
14,2337,旺宏,109/05/27,14:05:26,本公司受邀參加證交所與元富證券舉辦之「2020年 TWSE x 元富證券 A Post-Pandemic World: Taiwan Market Outlook 線上法人說明會」
15,2337,旺宏,109/05/27,14:07:35,本公司受邀參加證交所與永豐金證券舉辦之「Taiwan Double Good」線上引資活動
16,2337,旺宏,109/05/27,14:28:38,一○九年股東常會重要決議事項
17,2337,旺宏,109/05/27,14:28:58,解除董事競業禁止
18,2337,旺宏,109/06/02,19:30:52,本公司第11屆第7次董事會通過捐贈「國立成功大學」事宜
19,2337,旺宏,109/06/02,19:31:06,本公司第11屆第7次董事會通過資本支出預算
20,2337,旺宏,109/06/12,15:46:48,本公司受邀參加UBS舉辦之「UBS Virtual Taiwan Corporate Days」
21,2337,旺宏,109/06/12,15:52:32,本公司受邀參加Macquarie舉辦之「Asia Tech Virtual Conference」
22,2337,旺宏,109/07/01,16:23:45,本公司訂定109年除息基準日
23,2337,旺宏,109/07/20,17:19:08,本公司召開2020年第二季法人說明會
24,2337,旺宏,109/07/28,17:02:25,本公司第11屆第8次董事會決議「限制員工權利新股」註銷 之減資基準日
25,2337,旺宏,109/07/29,16:17:50,本公司2020年第二季營運報告
26,2337,旺宏,109/08/10,15:00:50,本公司受邀參加Bank of America Merril Lynch舉辦之「2020 Taiwan Tech Corporate Day」
27,2337,旺宏,109/08/10,15:06:12,本公司受邀參加統一證券舉辦之投資論壇
28,2337,旺宏,109/08/10,15:10:49,本公司受邀參加花旗證券舉辦之「台灣企業論壇」
29,2337,旺宏,109/08/10,15:15:07,本公司受邀參加證交所與Goldman Sachs舉辦之「Taiwan Stock Exchange - Goldman Sachs Taiwan Virtual Corporate Day」
30,2337,旺宏,109/08/10,15:18:57,本公司受邀參加富邦證券舉辦之投資論壇
31,2337,旺宏,109/09/02,18:40:58,本公司受邀參加日盛證券舉辦之「日盛證券太陽獅秋季台股企業日」
32,2337,旺宏,109/10/13,14:08:05,本公司召開2020年第三季法人說明會
