,公司代號,公司名稱,發言日期,發言時間,主旨
0,2338,光罩,102/02/23,14:28:08,更正本公司102年01月營收公告。
1,2338,光罩,102/03/22,10:07:12,本公司董事會決議股利分派
2,2338,光罩,102/03/22,11:25:25,董事會決議召開102年股東常會相關事宜
3,2338,光罩,102/04/11,16:06:27,澄清101年4月10日時報資訊新聞及中央通訊社資訊新聞內容
4,2338,光罩,102/04/11,16:11:48,更正澄清102年4月10日時報資訊新聞及中央通訊社資訊新聞內容
5,2338,光罩,102/04/30,16:39:17,公告本公司法人董事改派代表人事宜
6,2338,光罩,102/04/30,16:42:42,公告本公司薪資報酬委員會委員新任
7,2338,光罩,102/06/10,15:53:49,本公司102年股東常會之重要決議事項
8,2338,光罩,102/06/18,17:03:32,公告本公司董事會決議102年除息基準日
9,2338,光罩,102/07/17,17:13:01,更正本公司101年度年報部份資料
10,2338,光罩,102/07/18,13:15:05,更正本公司101年度年報部份資料
11,2338,光罩,102/08/12,17:36:11,公告本公司董事會通過102年度第二季合併財務報表 及重要決議事項。
