,公司代號,公司名稱,發言日期,發言時間,主旨
0,2345,智邦,100/01/31,18:20:11,代子公司-鈺程科技(股)公司公告合併寶定科技(股)公司事宜
1,2345,智邦,100/02/15,14:31:17,澄清100/02/15工商時報提及本公司之新聞
2,2345,智邦,100/03/07,19:10:28,本公司董事會召集100年股東常會公告
3,2345,智邦,100/03/07,19:16:14,公告本公司董事會通過大陸投資之相關資料
4,2345,智邦,100/03/14,12:03:31,公告日本地震對本公司財務業務並無重大影響
5,2345,智邦,100/03/29,14:01:52,董事會通過99年度財務報告及合併財務報告
6,2345,智邦,100/03/29,14:03:41,代重要子公司Global Business Investment(BVI)Corp. 公告董事會決議減資
7,2345,智邦,100/03/29,14:05:22,代重要子公司Accton Investment Corp.(BVI)公告董事會決議減資
8,2345,智邦,100/04/27,17:55:31,公告本公司董事會決議發放股利事宜
9,2345,智邦,100/04/27,17:59:54,董事會通過100年第一季財務報告及合併財務報告
10,2345,智邦,100/04/27,18:01:18,補充本公司董事會召集100年股東常會公告
11,2345,智邦,100/04/27,18:08:51,本公司董事會決議擬以99年度盈餘分配轉增資發行新股
12,2345,智邦,100/06/09,15:48:23,公告本公司100年度股東會重要決議事項
13,2345,智邦,100/06/09,15:49:33,公告本公司股東會通過解除董事競業禁止之限制案
14,2345,智邦,100/07/08,15:32:45,公告本公司董事會決議100年配股及配息基準日
15,2345,智邦,100/07/08,15:36:09,本公司改選總經理
16,2345,智邦,100/07/08,15:38:08,本公司董事會通過研發主管之任命
17,2345,智邦,100/07/15,17:17:36,公告調整本公司配股、配息比率
18,2345,智邦,100/08/01,08:47:20,依金管會指示補正本公司98及99年年報部分資料
19,2345,智邦,100/08/26,17:34:35,董事會通過100年上半年財務報告及合併財務報告
20,2345,智邦,100/08/26,17:35:39,本公司董事會通過變更內部稽核主管
21,2345,智邦,100/08/26,17:35:56,本公司董事會通過變更代理發言人
22,2345,智邦,100/08/26,17:36:51,公告取得鈺登科技(股)公司股權
23,2345,智邦,100/08/26,17:37:20,"代子公司Global Business Investments(BVI)Corp. 公告出售SMC Networks,Inc.股權"
24,2345,智邦,100/08/26,17:38:10,"代子公司鈺登科技(股)公司公告取得SMC Networks,Inc.股權"
25,2345,智邦,100/08/26,17:38:32,董事會通過申請庫藏股買回
26,2345,智邦,100/09/14,14:48:14,澄清100/09/14工商時報提及本公司之新聞
27,2345,智邦,100/10/27,17:43:41,董事會通過100年第三季財務報告及合併財務報告
28,2345,智邦,100/10/27,17:44:23,公告本公司董事會決議成立薪資報酬委員會
29,2345,智邦,100/10/28,08:06:25,"修正-代子公司Global Business Investments(BVI)Corp.公告出售 SMC Networks,Inc.股權-交易金額"
30,2345,智邦,100/10/28,08:06:43,"修正-代子公司鈺登科技(股)公司公告取得SMC Networks,Inc.股權 交易金額"
31,2345,智邦,100/10/28,13:13:36,澄清100/10/28經濟日報提及本公司之新聞
32,2345,智邦,100/10/28,16:47:47,公告第11次買回庫藏股實施期間屆滿之執行結果
33,2345,智邦,100/12/08,16:22:17,公告本公司第十一次買回庫藏股註銷減資基準日 為民國100年12月15日
34,2345,智邦,100/12/09,13:59:03,"補充-代子公司Global Business Investments(BVI)Corp.公告 出售SMC Networks,Inc.股權-處分損益及每股淨值"
35,2345,智邦,100/12/09,15:24:42,"補充-代子公司鈺登科技(股)公司公告取得SMC Networks,Inc. 股權每股淨值"
